[LXX | EL | OT | Psalms | Chapter 49 | Verse 1] Ψαλμὸς τῷ Ἀσάφ. Θεὸς θεῶν Κύριος ἐλάλησε, καὶ ἐκάλεσε τὴν γῆν ἀπὸ ἀνατολῶν ἡλίου μέχρι δυσμῶν.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 2] Ἐκ Σιὼν ἡ εὐπρέπεια τῆς ὡραιότητος αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 3] Ὁ Θεὸς ἐμφανῶς ἥξει, ὁ Θεὸς ἡμῶν, καὶ οὐ παρασιωπήσεται· πῦρ ἐναντίον αὐτοῦ καυθήσεται, καὶ κύκλῳ αὐτοῦ καταιγὶς σφοδρά.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 4] Προσκαλέσεται τὸν οὐρανὸν ἄνω, καὶ τὴν γῆν διακρῖναι τὸν λαὸν αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 5] Συναγάγετε αὐτῷ τοὺς ὁσίους αὐτοῦ, τοὺς διατιθεμένους τὴν διαθήκην αὐτοῦ ἐπὶ θυσίαις.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 6] Καὶ ἀναγγελοῦσιν οἱ οὐρανοὶ τὴν δικαιοσύνην αὐτοῦ, ὅτι Θεὸς κριτής ἐστι· διάψαλμα.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 7] Ἄκουσον λαός μου καὶ λαλήσω σοι, Ἰσραὴλ, καὶ διαμαρτύρομαί σοι· ὁ Θεὸς ὁ Θεός σου εἰμὶ ἐγώ.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 8] Οὐκ ἐπὶ ταῖς θυσίαις σου ἐλέγξω σε, τὰ δὲ ὁλοκαυτώματά σου ἐνώπιόν μου ἐστὶ διαπαντός.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 9] Οὐ δέξομαι ἐκ τοῦ οἴκου σου μόσχους, οὐδὲ ἐκ τῶν ποιμνίων σου χιυάρους·
[LXX | EL | OT | Psalms | Chapter 49 | Verse 10] Ὅτι ἐμά ἐστι πάντα τὰ θηρία τοῦ δρυμοῦ, κτήνη ἐν τοῖς ὄρεσι, καὶ βόες.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 11] Ἔγνωκα πάντα τὰ πετεινὰ τοῦ οὐρανοῦ, καὶ ὡραιότης ἀγροῦ μετʼ ἐμοῦ ἐστιν.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 12] Ἐὰν πεινάσω, οὐ μή σοι εἴπω, ἐμὴ γάρ ἐστιν ἡ οἰκουμένη καὶ τὸ πλήρωμα αὐτῆς.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 13] Μὴ φάγομαι κρέα ταύρων, ἢ αἷμα τράγων πίομαι;
[LXX | EL | OT | Psalms | Chapter 49 | Verse 14] Θῦσον τῷ Θεῷ θυσίαν αἰνέσεως, καὶ ἀπόδος τῷ ὑψίστῳ τὰς εὐχάς σου.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 15] Καὶ ἐπικάλεσαί με ἐν ἡμέρᾳ θλίψεως, καὶ ἐξελοῦμαί σε, καὶ δοξάσεις με. διάψαλμα.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 16] Τῷ δὲ ἁμαρτωλῷ εἶπεν ὁ Θεὸς, ἱνατί σὺ διηγῇ τὰ δικαιώματά μου, καὶ ἀναλαμβάνεις τὴν διαθήκην μου διὰ στόματός σου;
[LXX | EL | OT | Psalms | Chapter 49 | Verse 17] Σὺ δὲ ἐμίσησας παιδείαν, καὶ ἐξέβαλες τοὺς λόγους μου εἰς τὰ ὀπίσω.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 18] Εἰ ἐθεώρεις κλέπτην, συνέτρεχες αὐτῷ, καὶ μετὰ μοιχῶν τὴν μερίδα σου ἐτίθεις.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 19] Τὸ στόμα σου ἐπλεόνασε κακίαν, καὶ ἡ γλῶσσά σου περιέπλεκε δολιότητα.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 20] Καθήμενος κατὰ τοῦ ἀδελφοῦ σου κατελάλεις, καὶ κατὰ τοῦ υἱοῦ τῆς μητρός σου ἐτίθεις σκάνδαλον.
[LXX | EL | OT | Psalms | Chapter 49 | Verse 21] Ταῦτα ἐποίησας, καὶ ἐσίγησα, ὑπέλαβες ἀνομίαν ὅτι ἔσομαί σοι ὅμοιος· ἐλέγξω σε, καὶ παραστήσω κατὰ πρόσωπόν σου.
