[LXX | EL | OT | Psalms | Chapter 34 | Verse 1] Τῷ Δαυίδ. Δικάσον, Κύριε, τοὺς ἀδικοῦντάς με, πολέμησον τοὺς πολεμοῦντάς με.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 2] Ἐπιλαβοῦ ὅπλου καὶ θυρεοῦ, καὶ ἀνάστηθι εἰς βοήθειάν μοι.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 3] Ἔκχεον ῥομφαίαν, καὶ σύγκλεισον ἐξεναντίας τῶν καταδιωκόντων με· εἰπὸν τῇ ψυχῇ μου, σωτηρία σου ἐγώ εἰμι.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 4] Αἰσχυνθείησαν καὶ ἐντραπείησαν οἱ ζητοῦντες τὴν ψυχήν μου, ἀποστραφείησαν εἰς τὰ ὀπίσω, καὶ καταισχυνθείησαν οἱ λογιζόμενοί μοι κακά.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 5] Γενηθήτωσαν ὡσεὶ χοῦς κατὰ πρόσωπον ἀνέμου, καὶ ἄγγελος Κυρίου ἐκθλίβων αὐτούς.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 6] Γενηθήτω ἡ ὁδὸς αὐτῶν σκότος καὶ ὀλίσθημα, καὶ ἄγγελος Κυρίου καταδιώκων αὐτούς.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 7] Ὅτι δωρεὰν ἔκρυψάν μοι διαφθορὰν παγίδος αὐτῶν, μάτην ὠνείδισαν τὴν ψυχήν μου.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 8] Ἐλθέτω αὐτοῖς παγὶς ἣν οὐ γινώσκουσι, καὶ ἡ θήρα ἣν ἔκρυψαν, συλλαβέτω αὐτοὺς, καὶ ἐν τῇ παγίδι πεσοῦνται ἐν αὐτῇ.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 9] Ἡ δὲ ψυχή μου ἀγαλλιάσεται ἐπὶ τῷ Κυρίῳ, τερφθήσεται ἐπὶ τῷ σωτηρίῳ αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 10] Πάντα τὰ ὀστᾶ μου ἐροῦσι, Κύριε τίς ὅμοιός σοι; ῥυόμενος πτωχὸν ἐκ χειρὸς στερεωτέρων αὐτοῦ, καὶ πτωχὸν καὶ πένητα ἀπὸ τῶν διαρπαζόντων αὐτόν.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 11] Ἀναστάντες μάρτυρες ἄδικοι, ἃ οὐκ ἐγίνωσκον, ἐπηρώτων με.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 12] Ἀνταπεδίδοσάν μοι πονηρὰ ἀντὶ καλῶν, καὶ ἀτεκνίαν τῇ ψυχῇ μου.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 13] Ἐγὼ δὲ ἐν τῷ αὐτοὺς παρενοχλεῖν μοι, ἐνεδυόμην σάκκον· καὶ ἐταπείνουν ἐν νηστείᾳ τὴν ψυχήν μου, καὶ ἡ προσευχή μου εἰς κόλπον μου ἀποστραφήσεται.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 14] Ὡς πλησίον ὡς ἀδελφὸν ἡμέτερον οὕτως εὐηρέστουν, ὡς πενθῶν καὶ σκυθρωπάξων οὕτως ἐταπεινούμην.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 15] Καὶ κατʼ ἐμοῦ εὐφράνθησαν, καὶ συνήχθησαν, συνήχθησαν ἐπʼ ἐμὲ μάστιγες καὶ οὐκ ἔγνων· διεσχίσθησαν καὶ οὐ κατενύγησαν.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 16] Ἐπείρασάν με, ἐξεμυκτήρισάν με μυκτηρισμὸν, ἔβρυξαν ἐπʼ ἐμὲ τοὺς ὀδόντας αὐτῶν.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 17] Κύριε πότε ἐπόψῃ; ἀποκατάστησον τὴν ψυχήν μου ἀπὸ τῆς κακουργίας αὐτῶν, ἀπὸ λεόντων τὴν μονογενῆ μου.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 18] Ἐξομολογήσομαί σοι καὶ ἐν ἐκκλησίᾳ πολλῇ, ἐν λαῷ βαρεῖ αἰνέσω σε.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 19] Μὴ ἐπιχαρείησάν μοι οἱ ἐχθραίνοντές μοι ματαίως, οἱ μισοῦντές με δωρεὰν, καὶ διανεύοντες ὀφθαλμοῖς.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 20] Ὅτι ἐμοὶ μὲν εἰρηνικὰ ἐλάλουν, καὶ ἐπʼ ὀργῇ δόλους διελογίζοντο.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 21] Καὶ ἐπλάτυναν ἐπʼ ἐμὲ τὸ στόμα αὐτῶν, εἶπαν, εὖγε, εὖγε, εἶδον οἱ ὀφθαλμοὶ ἡμῶν.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 22] Εἶδες Κύριε, μὴ παρασιωπήσῃς, Κύριε μὴ ἀποστῇς ἀπʼ ἐμοῦ.
[LXX | EL | OT | Psalms | Chapter 34 | Verse 23] Ἐξεγέρθητι Κύριε, καὶ πρόσχες τῇ κρίσει μου, ὁ Θεός μου καὶ ὁ Κύριός μου εἰς τὴν δίκην μου.
