[LXX | EL | OT | Psalms | Chapter 90 | Verse 1] Αἶνος ᾠδῆς τῷ Δαυίδ. Ὁ κατοικῶν ἐν βοηθείᾳ τοῦ ὑψίστου, ἐν σκέπῃ τοῦ Θεοῦ τοῦ οὐρανοῦ αὐλισθήσεται.
[LXX | EL | OT | Psalms | Chapter 90 | Verse 2] Ἐρεῖ τῷ Κυρίῳ, ἀντιλήπτωρ μου εἶ καὶ καταφυγή μου, ὁ Θεός μου, ἐλπιῶ ἐπʼ αὐτόν.
[LXX | EL | OT | Psalms | Chapter 90 | Verse 3] Ὅτι αὐτὸς ῥύσεταί σε ἐκ παγίδος θηρευτῶν, ἀπὸ λόγου ταραχώδους.
[LXX | EL | OT | Psalms | Chapter 90 | Verse 4] Ἐν τοῖς μεταφρένοις αὐτοῦ ἐπισκιάσει σοι, καὶ ὑπὸ τὰς πτέρυγας αὐτοῦ ἐλπιεῖς· ὅπλῳ κυκλώσει σε ἡ ἀλήθεια αὐτοῦ.
[LXX | EL | OT | Psalms | Chapter 90 | Verse 5] Οὐ φοβηθήσῃ ἀπὸ φόβου νυκτερινοῦ, ἀπὸ βέλους πετομένου ἡμέρας,
[LXX | EL | OT | Psalms | Chapter 90 | Verse 6] ἀπὸ πράγματος διαπορευομένου ἐν σκότει, ἀπὸ συμπτώματος καὶ δαιμονίου μεσημβρινοῦ.
[LXX | EL | OT | Psalms | Chapter 90 | Verse 7] Πεσεῖται ἐκ τοῦ κλίτους σου χιλιὰς, καὶ μυριὰς ἐκ δεξιῶν σου, πρὸς σὲ δὲ οὐκ ἐγγιεῖ.
[LXX | EL | OT | Psalms | Chapter 90 | Verse 8] Πλὴν τοῖς ὀφθαλμοῖς σου κατανοήσεις, καὶ ἀνταπόδοσιν ἁμαρτωλῶν ὄψει.
[LXX | EL | OT | Psalms | Chapter 90 | Verse 9] Ὅτι σὺ Κύριε ἡ ἐλπίς μου, τὸν ὕψιστον ἔθου καταφυγήν σου.
[LXX | EL | OT | Psalms | Chapter 90 | Verse 10] Οὐ προσελεύσεται πρὸς σὲ κακὰ, καὶ μάστιξ οὐκ ἐγγιεῖ τῷ σκηνώματί σου.
[LXX | EL | OT | Psalms | Chapter 90 | Verse 11] Ὅτι τοῖς ἀγγέλοις αὐτοῦ ἐντελεῖται περὶ σοῦ, τοῦ διαφυλάξαι σε ἐν πάσαις ταῖς ὁδοῖς σου.
[LXX | EL | OT | Psalms | Chapter 90 | Verse 12] Ἐπὶ χειρῶν ἀροῦσί σε, μή ποτε προσκόψῃς πρὸς λίθον τὸν πόδα σου.
[LXX | EL | OT | Psalms | Chapter 90 | Verse 13] Ἐπʼ ἀσπίδα καὶ βασιλίσκον ἐπιβήσῃ, καὶ καταπατήσεις λέοντα καὶ δράκοντα.
[LXX | EL | OT | Psalms | Chapter 90 | Verse 14] Ὅτι ἐπʼ ἐμὲ ἤλπισε, καὶ ῥύσομαι αὐτόν· σκεπάσω αὐτὸν, ὅτι ἔγνω τὸ ὄνομά μου.
[LXX | EL | OT | Psalms | Chapter 90 | Verse 15] Ἐπικαλέσεται πρὸς μὲ, καὶ εἰσακούσομαι αὐτοῦ, μετʼ αὐτοῦ εἰμι ἐν θλίψει, καὶ ἐξελοῦμαι αὐτὸν, καὶ δοξάσω αὐτόν.
[LXX | EL | OT | Psalms | Chapter 90 | Verse 16] Μακρότητι ἡμερῶν ἐμπλήσω αὐτὸν, καὶ δείξω αὐτῷ τὸ σωτήριόν μου.
