[OEB | EN | OT | Hosea | Chapter 13 | Verse 1] When Ephraim used to speak there was trembling; a prince was he in Israel. But he incurred guilt through Baal and died.
[OEB | EN | OT | Hosea | Chapter 13 | Verse 2] And now they go on sinning. They make for themselves molten gods – idols of silver, skilfully made, wholly the work of smiths. Yet to such they sacrifice! And they who sacrifice kiss calf idols!
[OEB | EN | OT | Hosea | Chapter 13 | Verse 3] Therefore they shall be like the morning mist, like the dew that early disappears, like the chaff which blows away from the threshing floor, like the smoke from the window.
[OEB | EN | OT | Hosea | Chapter 13 | Verse 4] Yet it was I, the Lord your God, ever since the land of Egypt, you know no other god but me, nor has there been any saviour except me.
[OEB | EN | OT | Hosea | Chapter 13 | Verse 5] It was I who shepherded you in the wilderness, in the land of burning heat.
[OEB | EN | OT | Hosea | Chapter 13 | Verse 6] When they were pastured they became full, when they were full their hearts became proud. Therefore they forgot me!
[OEB | EN | OT | Hosea | Chapter 13 | Verse 7] So now I will be to them like a lion, like a leopard will I lay in wait by the path.
[OEB | EN | OT | Hosea | Chapter 13 | Verse 8] I will fall upon them like a bear robbed of her cubs, I will tear open their chests, like a lion will devour them, and like a wild beast will tear them in pieces.
[OEB | EN | OT | Hosea | Chapter 13 | Verse 9] You are destroyed, Israel, by me, your only helper.
[OEB | EN | OT | Hosea | Chapter 13 | Verse 10] I want to rule you! Where are your princes in your cities, those of whom you demanded, ‘Give me kings and princes.’
[OEB | EN | OT | Hosea | Chapter 13 | Verse 11] I give you kings in my anger, and take them away in my wrath.
[OEB | EN | OT | Hosea | Chapter 13 | Verse 12] Ephrahn’s iniquity is gathered up, his sin is laid by in store.
[OEB | EN | OT | Hosea | Chapter 13 | Verse 13] The pangs of childbirth come upon him, but he is an unwise child. For this is no time to refuse to leave the womb!
[OEB | EN | OT | Hosea | Chapter 13 | Verse 14] Should I deliver them from the power of Sheol? Should I redeem them from death? Death, where are your plagues? Sheol, where is your pestilence? Compassion is forever hidden from my eyes.
[OEB | EN | OT | Hosea | Chapter 13 | Verse 15] Though he is flourishing among his brothers, there will come an east wind, the Lord’s wind, coming up from the wilderness. His fountain will dry up, his spring shall be parched. The wind will strip the treasury, all the precious things.
