[OEB | EN | OT | Hosea | Chapter 6 | Verse 1] saying, ‘Come let us return to the Lord, for he has torn us but he will heal us, he has injured us but he will bandage our wounds,
[OEB | EN | OT | Hosea | Chapter 6 | Verse 2] he will revive in a couple of days, on the third day he will raise us up again, to live in his presence.
[OEB | EN | OT | Hosea | Chapter 6 | Verse 3] Let us know, let us eagerly seek to know the Lord. His coming is as sure as the sunrise. He will come to us like the winter rain, as the spring rain that waters the earth.’
[OEB | EN | OT | Hosea | Chapter 6 | Verse 4] What can I make of you, Ephraim! What can I make of you, Judah! Your love is like a morning cloud, like the dew which early goes away.
[OEB | EN | OT | Hosea | Chapter 6 | Verse 5] That is why I have hewn them by the prophets, I have slain them by the words of my mouth. My judgment is like the light that goes forth,
[OEB | EN | OT | Hosea | Chapter 6 | Verse 6] for it is love that I delight in and not sacrifice, and knowledge of God and not burnt offerings.
[OEB | EN | OT | Hosea | Chapter 6 | Verse 7] But they after the manner of men have transgressed the covenant, there they have played me false.
[OEB | EN | OT | Hosea | Chapter 6 | Verse 8] Gilead is a city of evildoers, tracked with bloody footprints,
[OEB | EN | OT | Hosea | Chapter 6 | Verse 9] and as bandits lie in wait for a man, so a band of priests murder on the way to Shechem. How terrible is the evil they do!
[OEB | EN | OT | Hosea | Chapter 6 | Verse 10] In Bethel I have seen a horrible thing. There Ephraim plays the prostitute, Israel is defiled.
[OEB | EN | OT | Hosea | Chapter 6 | Verse 11] Judah for you also a harvest is set. When I would restore the fortunes of my people,
