[OEB | EN | OT | Hosea | Chapter 10 | Verse 1] A luxuriant vine is Israel. He bore fruit lavishly. In proportion to the increase of his fruit he increased altars to idols. In proportion to the beauty of his land he made beautiful the sacred pillars.
[OEB | EN | OT | Hosea | Chapter 10 | Verse 2] Their heart is false, now they must be punished. God himself will break the necks of their altars, he will destroy their sacred pillars.
[OEB | EN | OT | Hosea | Chapter 10 | Verse 3] Yes, soon they will be saying, ‘We have no king, for we have not revered the Lord, and a king, what could he do for us anyway?’
[OEB | EN | OT | Hosea | Chapter 10 | Verse 4] Speaking words, perjuring themselves, making agreements, and litigation springs up like a poisonous weed in a ploughed field.
[OEB | EN | OT | Hosea | Chapter 10 | Verse 5] The inhabitants of Samaria will tremble with fear for their calf of Beth-aven. Its people will mourn over it, and so will its priests, who had rejoiced for its glory, now departed from it.
[OEB | EN | OT | Hosea | Chapter 10 | Verse 6] It will be carried off to Assyria as a present to the patron king. Disgrace will Ephraim bear and Israel will be ashamed of its idol.
[OEB | EN | OT | Hosea | Chapter 10 | Verse 7] As for Samaria, her king will disappear, like foam on the face of the waters.
[OEB | EN | OT | Hosea | Chapter 10 | Verse 8] And the high places of Aven will be destroyed, the shrines of Israel’s sin, thorns and thistles will grow on their altars, and they will say to the mountains, ‘Cover us,’ and to the hills, ‘Fall upon us.’
[OEB | EN | OT | Hosea | Chapter 10 | Verse 9] From the time of Gibeah, Israel has sinned. There they took their stand. Will not war overtake them in Gibeah because of the wicked?
[OEB | EN | OT | Hosea | Chapter 10 | Verse 10] When I please, I will punish them. Nations will gather against them to chain them for their double crimes.
[OEB | EN | OT | Hosea | Chapter 10 | Verse 11] Ephraim indeed was a trained heifer that loved to thresh grain, and I myself laid a yoke upon his fair neck, I made Ephraim draw and Judah must plough, Jacob must turn the soil for himself.
[OEB | EN | OT | Hosea | Chapter 10 | Verse 12] Sow for yourselves righteousness, reap the fruits of love. Break up your fallow ground, for it is time to seek the Lord, so righteousness may come to you.
[OEB | EN | OT | Hosea | Chapter 10 | Verse 13] But you have ploughed wickedness, iniquity have you reaped. You have eaten the fruit of lies. Because you have trusted in your own path, in the multitude of your warriors,
[OEB | EN | OT | Hosea | Chapter 10 | Verse 14] the alarm of war will sound in your cities and all your fortresses will be ruined, as Shalman laid in ruins Beth-arbel in the day of battle, when mothers were dashed to pieces over their children.
[OEB | EN | OT | Hosea | Chapter 10 | Verse 15] Thus will I do to you, Bethel, because of the enormity of your wickedness. When dawn breaks, so will the king of Israel be broken.
