[OEB | EN | OT | Hosea | Chapter 11 | Verse 1] When Israel was young, then I began to love him, and out of Egypt I called my son.
[OEB | EN | OT | Hosea | Chapter 11 | Verse 2] The more I called them, the further they went away from me. They kept sacrificing to Baals and making offerings to idols.
[OEB | EN | OT | Hosea | Chapter 11 | Verse 3] Yet it was I who taught Ephraim to walk, taking them up in my arms, but they did not know that I healed them.
[OEB | EN | OT | Hosea | Chapter 11 | Verse 4] With humane cords I ever drew them, with bands of love. I was to them as one who lifts up the yoke from off their jaws, and bending toward them, I gave them food to eat.
[OEB | EN | OT | Hosea | Chapter 11 | Verse 5] No! They return to the land of Egypt, Assyria will be their king, for they have refused to return to me.
[OEB | EN | OT | Hosea | Chapter 11 | Verse 6] Therefore the swords will whirl in their cities, will devour in their fortresses.
[OEB | EN | OT | Hosea | Chapter 11 | Verse 7] For my people are bent in rebellion against me, even if they call on the Most High he will not raise them.
[OEB | EN | OT | Hosea | Chapter 11 | Verse 8] How can I give you up, Ephraim! Give you over, Israel! How am I to give you up as Admah! Make you like Zeboim! My heart asserts itself, my sympathies are all aglow.
[OEB | EN | OT | Hosea | Chapter 11 | Verse 9] I will not carry into effect the fierceness of my anger, I will not turn to destroy Ephraim, for God am I, and not man, holy in the midst of you, therefore I will not consume.
[OEB | EN | OT | Hosea | Chapter 11 | Verse 10] They will follow after the Lord. Like a lion he will roar, and when he roars his children will come trembling from the west.
[OEB | EN | OT | Hosea | Chapter 11 | Verse 11] They will come trembling like the birds from Egypt, like doves from the land of Assyria. And I will bring them back to their houses, – declares the Lord.
