[LXX | EL | OT | Proverbs | Chapter 3 | Verse 1] Υἱὲ, ἐμῶννομίμων μὴ ἐπιλανθάνου, τὰ δὲ ῥήματά μου τηρείτω σὴ καρδία·
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 2] Μῆκος γὰρ βίου, καὶ ἔτη ζωῆς, καὶ εἰρήνην προσθήσουσί σοι.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 3] Ἐλεημοσύναι καὶ πίστεις μὴ ἐκλειπέτωσάν σε· ἄφαψαι δὲ αὐτὰς ἐπὶ σῷ τραχήλῳ, καὶ εὑρήσεις χάριν·
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 4] καὶ προνοοῦ καλὰ ἐνώπιον Κυρίου καὶ ἀνθρώπων.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 5] Ἴσθι πεποιθὼς ἐν ὅλῃ τῇ καρδίᾳ ἐπὶ Θεῷ, ἐπὶ δὲ σῇ σοφίᾳ μὴ ἐπαίρου.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 6] Πάσαις ὁδοῖς σου γνώριζε αὐτὴν, ἵνα ὀρθοτομῇ τὰς ὁδούς σου.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 7] Μὴ ἴσθι φρόνιμος παρὰ σεαυτῷ, φοβοῦ δὲ τὸν Θεὸν, καὶ ἔκκλινε ἀπὸ παντὸς κακοῦ.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 8] Τότε ἴασις ἔσται τῷ σώματί σου, καὶ ἐπιμέλεια τοῖς ὀστέοις σου.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 9] Τίμα τὸν Κύριον ἀπὸ σῶν δικαίων πόνων, καὶ ἀπάρχου αὐτῷ ἀπὸ σῶν καρπῶν δικαιοσύνης·
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 10] Ἵνα πίμπληται τὰ ταμιεῖά σου πλησμονῆς σίτῳ, οἴνῳ δὲ αἱ ληνοί σου ἐκβλύζωσιν.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 11] Υἱὲ, μὴ ὀλιγώρει παιδείας Κυρίου, μηδὲ ἐκλύου ὑπʼ αὐτοῦ ἐλεγχόμενος.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 12] Ὃν γὰρ ἀγαπᾷ Κύριος, ἐλέγχει, μαστιγοῖ δὲ πάντα υἱὸν ὃν παραδέχεται.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 13] Μακάριος ἄνθρωπος ὃς εὗρε σοφίαν, καὶ θνητὸς ὃς εἶδε φρόνησιν.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 14] Κρεῖσσον γὰρ αὐτὴν ἐμπορεύεσθαι, ἢ χρυσίου καὶ ἀργυρίου θησαυρούς.
