[LXX | EL | OT | Proverbs | Chapter 24 | Verse 1] Υἱέ, μὴ ζηλώσῃς κακοὺς ἄνδρας, μηδὲ ἐπιθυμήσῃς εἶναι μετʼ αὐτῶν.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 2] Ψευδῆ γὰρ μελετᾷ ἡ καρδία αὐτῶν, καὶ πόνους τὰ χείλη αὐτῶν λαλεῖ.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 3] Μετὰ σοφίας οἰκοδομεῖται οἶκος, καὶ μετὰ συνέσεως ἀνορθοῦται.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 4] Μετὰ αἰσθήσεως ἐμπίμπλανται ταμιεῖα ἐκ παντὸς πλούτου τιμίου καὶ καλοῦ.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 5] Κρείσσων σοφὸς ἰσχυροῦ, καὶ ἀνὴρ φρόνησιν ἔχων γεωργίου μεγάλου.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 6] Μετὰ κυβερνήσεως γίνεται πόλεμος, βοήθεια δὲ μετὰ καρδίας βουλευτικῆς.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 7] Σοφία καὶ ἔννοια ἀγαθὴ ἐν πύλαις σοφῶν· σοφοὶ οὐκ ἐκκλίνουσιν ἐκ στόματος Κυρίου,
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 8] ἀλλὰ λογίζονται ἐν συνεδρίοις· ἀπαιδεύτοις συναντᾷ θάνατος,
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 9] ἀποθνήσκει δὲ ἄφρων ἐν ἁμαρτίαις· ἀκαθαρσία δὲ ἀνδρὶ λοιμῷ,
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 10] ἐμμολυνθήσεται ἐν ἡμέρᾳ κακῇ, καὶ ἐν ἡμέρᾳ θλίψεως ἕως ἂν ἐκλίπῃ.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 11] Ῥῦσαι ἀγομένους εἰς θάνατον, καὶ ἐκπρίου κτεινομένους, μὴ φείσῃ.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 12] Ἐὰν δὲ εἴπῃς, οὐκ οἶδα τοῦτον, γίνωσκε, ὅτι Κύριος καρδίας πάντων γινώσκει· καὶ ὁ πλάσας πνοὴν πᾶσιν, αὐτὸς οἶδε πάντα, ὃς ἀποδίδωσιν ἑκάστῳ κατὰ τὰ ἔργα αὐτοῦ.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 13] Φάγε μέλι υἱὲ, ἀγαθὸν γὰρ κηρίον, ἵνα γλυκανθῇ σου ὁ φάρυγξ.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 14] Οὕτως αἰσθητήσῃ σοφίαν τῇ σῇ ψυχῇ· ἐὰν γὰρ εὕρῃς, ἔσται καλὴ ἡ τελευτή σου, καὶ ἐλπίς σε οὐκ ἐγκαταλείψει.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 15] Μὴ προσαγάγῃς ἀσεβῆ νομῇ δικαίων, μηδὲ ἀπατηθῇς χορτασίᾳ κοιλίας.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 16] Ἑπτάκις γὰρ πεσεῖται δίκαιος καὶ ἀναστήσεται, οἱ δὲ ἀσεβεῖς ἀσθενήσουσιν ἐν κακοῖς.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 17] Ἐὰν πέσῃ ὁ ἐχθρός σου, μὴ ἐπιχαρῇς αὐτῷ, ἐν δὲ τῷ ὑποσκελίσματι αὐτοῦ μὴ ἐπαίρου.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 18] Ὅτι ὄψεται Κύριος καὶ οὐκ ἀρέσει αὐτῷ, καὶ ἀποστρέψει τὸν θυμὸν αὐτοῦ ἀπʼ αὐτοῦ.
