[LXX | EL | OT | Proverbs | Chapter 1 | Verse 1] ΠΑΡΟΙΜΙΑΙ Σαλωμῶντος υἱοῦ Δαυὶδ, ὃς ἐβασίλευσεν ἐν Ἰσραήλ·
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 2] γνῶναι σοφίαν καὶ παιδείαν, νοῆσαί τε λόγους φρονήσεως,
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 3] δέξασθαί τε στροφὰς λόγων, νοῆσαί τε δικαιοσύνην ἀληθῆ, καὶ κρίμα κατευθύνειν·
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 4] Ἵνα δῷ ἀκάκοις πανουργίαν, παιδὶ δὲ νέῳ αἴσθησίν τε καὶ ἔννοιαν.
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 5] Τῶν δὲ γὰρ ἀκούσας σοφὸς σοφώτερος ἔσται, ὁ δὲ νοήμων κυβέρνησιν κτήσεται·
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 6] Νοήσει τε παραβολὴν καὶ σκοτεινὸν λόγον, ῥήσεις τε σοφῶν καὶ αἰνίγματα.
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 7] Ἀρχὴ σοφίας φόβος Κυριου, σύνεσις δὲ ἀγαθὴ πᾶσι τοῖς ποιοῦσιν αὐτήν· εὐσέβεια δὲ εἰς Θεὸν ἀρχὴ αἰσθήσεως, σοφίαν δὲ καὶ παιδείαν ἀσεβεῖς ἐξουθενήσουσιν.
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 8] Ἄκουε υἱὲ παιδείαν πατρός σου, καὶ μὴ ἀπώσῃ θεσμοὺς μητρός σου.
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 9] Στέφανον γὰρ χαρίτων δέξῃ σῇ κορυφῇ, καὶ κλοιὸν χρύσεον περὶ σῷ τραχήλῳ.
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 10] Υἱὲ μή σε πλανήσωσιν ἄνδρες ἀσεβεῖς, μηδὲ βουληθῇς.
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 11] Ἐὰν παρακαλέσωσί σε, λέγοντες, ἐλθὲ μεθʼ ἡμῶν, κοινώνησον αἵματος, κρύψωμεν δὲ εἰς γῆν ἄνδρα δίκαιον ἀδίκως,
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 12] καταπίωμεν δὲ αὐτὸν ὥσπερ ᾅδης ζῶντα, καὶ ἄρωμεν αὐτοῦ τὴν μνήμην ἐκ γῆς,
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 13] τὴν κτῆσιν αὐτοῦ τὴν πολυτελῆ καταλαβώμεθα, πλήσωμεν δὲ οἴκους ἡμετέρους σκύλων·
