[LXX | EL | OT | Proverbs | Chapter 11 | Verse 1] Ζυγοί δόλιοι βδέλυγμα ἐνώπιον Κυρίου, στάθμιον δὲ δίκαιον δεκτὸν αὐτῷ.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 2] Οὗ ἐὰν εἰσέλθῃ ὕβρις, ἐκεῖ καὶ ἀτιμία· στόμα δὲ ταπεινῶν μελετᾷ σοφίαν.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 3] Ἀποθανὼν δίκαιος ἔλιπε μετάμελον, πρόχειρος δὲ γίνεται καὶ ἐπίχαρτος ἀσεβῶν ἀπώλεια.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 5] Δικαιοσύνη ἀμώμους ὀρθοτομεῖ ὁδοὺς, ἀσέβεια δὲ περιπίπτει ἀδικίᾳ.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 6] Δικαιοσύνη ἀνδρῶν ὀρθῶν ῥύεται αὐτούς, τῇ δὲ ἀπωλείᾳ αὐτῶν ἁλίσκονται παράνομοι.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 7] Τελευτήσαντος ἀνδρὸς δικαίου, οὐκ ὄλλυται ἐλπίς, τὸ δὲ καύχημα τῶν ἀσεβῶν ὄλλυται.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 8] Δίκαιος ἐκ θήρας ἐκδύνει, ἀντʼ αὐτοῦ δὲ παραδίδοται ὁ ἀσεβής.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 9] Ἐν στόματι ἀσεβῶν παγὶς πολίταις, αἴσθησις δὲ δικαίων εὔοδος.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 10] Ἐν ἀγαθοῖς δικαίων κατώρθωσε πόλις,
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 11] στόμασι δὲ ἀσεβῶν κατεσκάφη.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 12] Μυκτηρίζει πολίτας ἐνδεὴς φρενῶν, ἀνὴρ δὲ φρόνιμος ἡσυχίαν ἄγει.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 13] Ἀνὴρ δίγλωσσος ἀποκαλύπτει βουλὰς ἐν συνεδρίῳ, πιστὸς δὲ πνοῇ κρύπτει πράγματα.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 14] Οἷς μὴ ὑπάρχει κυβέρνησις, πίπτουσιν ὥσπερ φύλλα, σωτηρία δὲ ὑπάρχει ἐν πολλῇ βουλῇ.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 15] Πονηρὸς κακοποιεῖ ὅταν συνμίξῃ δικαίῳ, μισεῖ δὲ ἦχον ἀσφαλείας.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 16] Γυνὴ εὐχάριστος ἐγείρει ἀνδρὶ δόξαν, θρόνος δὲ ἀτιμίας γυνὴ μισοῦσα δίκαια· πλούτου ὀκνηροὶ ἐνδεεῖς γίνονται, οἱ δὲ ἀνδρεῖοι ἐρείδονται πλούτῳ.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 17] Τῇ ψυχῇ αὐτοῦ ἀγαθὸν ποιεῖ ἀνὴρ ἐλεήμων, ἐξολλύει δὲ αὐτοῦ σῶμα ὁ ἀνελεήμων.
