[LXX | EL | OT | Proverbs | Chapter 23 | Verse 1] Ἐὰν καθίσῃς δειπνεῖν ἐπὶ τραπέζης δυνάστου, νοητῶς νόει τὰ παρατιθέμενά σοι.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 2] Καὶ ἐπίβαλλε τὴν χεῖρά σου, εἰδὼς ὅτι τοιαῦτά σε δεῖ παρασκευάσαι· εἰ δὲ ἀπληστότερος εἶ,
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 3] μὴ ἐπιθύμει τῶν ἐδεσμάτων αὐτοῦ, ταῦτα γὰρ ἔχεται ζωῆς ψευδοῦς.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 4] Μὴ παρεκτείνου πένης ὢν πλουσίῳ, τῇ δὲ σῇ ἐννοίᾳ ἀπόσχου.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 5] Ἐὰν ἐπιστήσῃς τὸ σὸν ὄμμα πρὸς αὐτὸν, οὐδαμοῦ φανεῖται· κατεσκεύασται γὰρ αὐτῷ πτέρυγες ὥσπερ ἀετοῦ, καὶ ὑποστρέφει εἰς τὸν οἶκον τοῦ προεστηκότος αὐτοῦ.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 6] Μὴ συνδείπνει ἀνδρὶ βασκάνῳ, μηδὲ ἐπιθύμει τῶν βρωμάτων αὐτοῦ,
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 7] ὃν τρόπον γὰρ εἴ τις καταπίοι τρίχα, οὕτως ἐσθίει καὶ πίνει· μηδὲ πρὸς σὲ εἰσαγάγῃς αὐτὸν, καὶ φάγῃς τὸν ψωμόν σου μετʼ αὐτοῦ,
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 8] ἐξεμέσει γὰρ αὐτὸν, καὶ λυμανεῖται τοὺς λόγους σου τοὺς καλούς.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 9] Εἰς ὦτα ἄφρονος μηδὲν λέγε, μήποτε μυκτηρίσῃ τοὺς συνετοὺς λόγους σου.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 10] Μὴ μεταθῇς ὅρια αἰώνια, εἰς δὲ κτῆμα ὀρφανῶν μὴ εἰσέλθῃς·
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 11] Ὁ γὰρ λυτρούμενος αὐτοὺς Κύριος, κραταιός ἐστι, καὶ κρινεῖ τὴν κρίσιν αὐτῶν μετὰ σοῦ.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 12] Δὸς εἰς παιδείαν τὴν καρδίαν σου, τὰ δὲ ὦτά σου ἑτοίμασον λόγοις αἰσθήσεως.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 13] Μὴ ἀπόσχῃ νήπιον παιδεύειν, ὅτι ἐὰν πατάξῃς αὐτὸν ῥάβδῳ, οὐ μὴ ἀποθάνῃ.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 14] Συ μὲν γὰρ πατάξεις αὐτὸν ῥάβδῳ, τὴν δὲ ψυχὴν αὐτοῦ ἐκ θανάτου ῥύσῃ.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 15] Υἱὲ, ἐὰν σοφὴ γένηταί σου ἡ καρδία, εὐφρανεῖς καὶ τὴν ἐμὴν καρδίαν,
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 16] καὶ ἐνδιατρίψει λόγοις τὰ σὰ χείλη πρὸς τὰ ἐμὰ χείλη ἐὰν ὀρθὰ ὦσι.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 17] Μὴ ζηλούτω ἡ καρδία σου ἁμαρτωλοὺς, ἀλλὰ ἐν φόβῳ Κυρίου ἴσθι ὅλην τὴν ἡμέραν.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 18] Ἐὰν γὰρ τηρήσῃς αὐτὰ, ἔσται σοι ἔκγονα, ἡ δὲ ἐλπίς σου οὐκ ἀποστήσεται.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 19] Ἄκουε υἱὲ, καὶ σοφὸς γίνου, καὶ κατεύθυνε ἐννοίας σῆς καρδίας.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 20] Μὴ ἴσθι οἰνοπότης, μηδὲ ἐκτείνου συμβολαῖς, κρεῶν τε ἀγορασμοῖς.
