[LXX | EL | OT | Proverbs | Chapter 18 | Verse 1] Προφάσεις ζητεῖ ἀνὴρ βουλόμενος χωρίζεσθαι ἀπὸ φίλων, ἐν παντὶ δὲ καιρῷ ἐπονείδιστος ἔσται.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 2] Οὐ χρείαν ἔχει σοφίας ἐνδεὴς φρενῶν, μᾶλλον γᾶρ ἄγεται ἀφροσύνῃ.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 3] Ὅταν ἔλθῃ ἀσεβὴς εἰς βάθος κακῶν, καταφρονεῖ, ἐπέρχεται δὲ αὐτῷ ἀτιμία καὶ ὄνειδος.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 4] Ὕδωρ βαθὺ λόγος ἐν καρδίᾳ ἀνδρὸς, ποταμὸς δὲ ἀναπηδύει καὶ πηγὴ ζωῆς.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 5] Θαυμάσαι πρόσωπον ἀσεβοῦς οὐ καλὸν, οὐδὲ ὅσιον ἐκκλίνειν τὸ δίκαιον ἐν κρίσει.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 6] Χείλη ἄφρονος ἄγουσιν αὐτὸν εἰς κακὰ, τὸ δὲ στόμα αὐτοῦ τὸ θρασὺ θάνατον ἐπικαλεῖται.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 7] Στόμα ἄφρονος συντριβὴ αὐτῷ, τὰ δὲ χείλη αὐτοῦ παγὶς τῇ ψυχῇ αὐτοῦ.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 8] Ὀκνηροὺς καταβάλλει φόβος, ψυχαὶ δὲ ἀνδρογύνων πεινάσουσιν.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 9] Ὁ μὴ ἰώμενος αὐτὸν ἐν τοῖς ἔργοις αὐτοῦ, ἀδελφός ἐστι τοῦ λυμαινομένου ἑαυτόν.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 10] Ἐκ μεγαλωσύνης ἰσχύος ὄνομα Κυρίου, αὐτῷ δὲ προσδραμόντες δίκαιοι ὑψοῦνται.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 11] Ὕπαρξις πλουσίου ἀνδρὸς πόλις ὀχυρὰ, ἡ δὲ δόξα αὐτῆς μέγα ἐπισκιάζει.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 12] Πρὸ συντριβῆς ὑψοῦται καρδία ἀνδρὸς, καὶ πρὸ δόξης ταπεινοῦνται.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 13] Ὃς ἀποκρίνεται λόγον πρὶν ἀκοῦσαι, ἀφροσύνη αὐτῷ ἐστι καὶ ὄνειδος.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 14] Θυμὸν ἀνδρὸς πρᾳΰνει θεράπων φρόνιμος, ὀλιγόψυχον δὲ ἄνδρα τίς ὑποίσει;
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 15] Καρδία φρονίμου κτᾶται αἴσθησιν, ὦτα δὲ σοφῶν ζητεῖ ἔννοιαν.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 16] Δόμα ἀνθρώπου ἐμπλατύνει αὐτὸν, καὶ παρὰ δυνάσταις καθιζάνει αὐτόν.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 17] Δίκαιος ἑαυτοῦ κατήγορος ἐν πρωτολογίᾳ, ὡς δʼ ἂν ἐπιβάλῃ ὁ ἀντίδικος ἐλέγχεται.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 18] Ἀντιλογίας παύει σιγηρὸς, ἐν δὲ δυναστείαις ὁρίζει.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 19] Ἀδελφὸς ὑπὸ ἀδελφοῦ βοηθούμενος, ὡς πόλις ὀχυρὰ καὶ ὑψηλὴ, ἰσχύει δὲ ὥσπερ τεθεμελιωμένον βασίλειον.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 20] Ἀπὸ καρπῶν στόματος ἀνὴρ πίμπλησι κοιλίαν αὐτοῦ, ἀπὸ δὲ καρπῶν χειλέων αὐτοῦ ἐμπλησθήσεται.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 21] Θάνατος καὶ ζωὴ ἐν χειρὶ γλώσσης, οἱ δὲ κρατοῦντες αὐτῆς ἔδονται τοὺς καρποὺς αὐτῆς.
[LXX | EL | OT | Proverbs | Chapter 18 | Verse 22] Ὃς εὗρε γυναῖκα ἀγαθὴν, εὗρε χάριτας, ἔλαβε δὲ παρὰ Θεοῦ ἱλαρότητα· ὃς ἐκβάλλει γυναῖκα ἀγαθὴν, ἐκβάλλει τὰ ἀγαθὰ, ὁ δὲ κατέχων μοιχαλίδα, ἄφρων καὶ ἀσεβής.
