[LXX | EL | OT | Proverbs | Chapter 4 | Verse 1] Ἀκούσατε, παῖδες, παιδείαν πατρὸς, καὶ προσέχετε γνῶναι ἔννοιαν.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 2] Δῶρον γὰρ ἀγαθὸν δωροῦμαι ὑμῖν, τὸν ἐμὸν νόμον μὴ ἐγκαταλίπητε.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 3] Υἱὸς γὰρ ἐγενόμην κᾀγὼ πατρὶ ὑπήκοος, καὶ ἀγαπώμενος ἐν προσώπῳ μητρός.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 4] Οἳ ἔλεγον καὶ ἐδίδασκόν με, ἐρειδέτω ὁ ἡμέτερος λόγος εἰς σὴν καρδίαν· φύλασσε ἐντολὰς,
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 5] μὴ ἐπιλάθῃ· Μηδὲ παρίδῃς ῥῆσιν ἐμοῦ στόματος,
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 6] μηδὲ ἐγκαταλίπῃς αὐτὴν, καὶ ἀνθέξεταί σου· ἐράσθητι αὐτῆς, καὶ τηρήσει σε.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 8] Περιχαράκωσον αὐτὴν, καὶ ὑψώσει σε· τίμησον αὐτὴν, ἵνα σε περιλάβῃ·
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 9] Ἵνα δῷ τῇ σῇ κεφαλῇ στέφανον χαρίτων, στεφάνῳ δὲ τρυφῆς ὑπερασπίσῃ σου.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 10] Ἄκουε υἱὲ καὶ δέξαι ἐμοὺς λόγους, καὶ πληθυνθήσεται ἔτη ζωῆς σου, ἵνα σοι γένωνται πολλαὶ ὁδοὶ βίου.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 11] Ὁδοὺς γὰρ σοφίας διδάσκω σε, ἐμβιβάζω δέ σε τροχιαῖς ὀρθαῖς.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 12] Ἐὰν γὰρ πορεύῃ, οὐ συγκλεισθήσεταί σου τὰ διαβήματα· ἐὰν δὲ τρέχῃς, οὐ κοπιάσεις.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 13] Ἐπιλαβοῦ ἐμῆς παιδείας, μὴ ἀφῇς, ἀλλὰ φύλαξον αὐτὴν σεαυτῷ εἰς ζωήν σου.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 14] Ὁδοὺς ἀσεβῶν μὴ ἐπέλθῃς, μηδὲ ζηλώσῃς ὁδοὺς παρανόμων.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 15] Ἐν ᾧ ἂν τόπῳ στρατοπεδεύσωσι, μὴ ἐπέλθῃς ἐκεὶ, ἔκκλινον δὲ ἀπʼ αὐτῶν καὶ παράλλαξον.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 16] Οὐ γὰρ μὴ ὑπνώσωσιν, ἐὰν μὴ κακοποιήσωσιν· ἀφῄρηται ὁ ὕπνος αὐτῶν, καὶ οὐ κοιμῶνται.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 17] Οἵδε γὰρ σιτοῦνται σῖτα ἀσεβείας, οἴνῳ δὲ παρανόμῳ μεθύσκονται.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 18] Αἱ δὲ ὁδοὶ τῶν δικαίων ὁμοίως φωτὶ λάμπουσι, προπορεύονται καὶ φωτίζουσιν, ἕως κατορθώσῃ ἡ ἡμέρα.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 19] Αἱ δὲ ὁδοὶ τῶν ἀσεβῶν σκοτειναὶ, οὐκ οἴδασι πῶς προσκόπτουσιν.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 20] Υἱὲ ἐμῇ ῥήσει πρόσεχε, τοῖς δὲ ἐμοῖς λόγοις παράβαλλε σὸν οὖς.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 21] Ὅπως μὴ ἐκλίπωσί σε αἱ πηγαί σου, φύλασσε αὐτὰς ἐν καρδίᾳ.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 22] Ζωὴ γάρ ἐστι τοῖς εὑρίσκουσιν αὐτὰς, καὶ πάσῃ σαρκὶ ἴασις.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 23] Πάσῃ φυλακῇ τήρει σὴν καρδίαν, ἐκ γὰρ τούτων ἔξοδοι ζωῆς.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 24] Περίελε σεαυτοῦ σκολιὸν στόμα, καὶ ἄδικα χείλη μακρὰν ἀπὸ σοῦ ἄπωσαι.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 25] Οἱ ὀφθαλμοί σου ὀρθὰ βλεπέτωσαν, τὰ δὲ βλέφαρά σου νευέτω δίκαια.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 26] Ὀρθὰς τροχιὰς ποίει σοῖς ποσί, καὶ τὰς ὁδούς σου κατεύθυνε.
[LXX | EL | OT | Proverbs | Chapter 4 | Verse 27] Μὴ ἐκκλίνῃς εἰς τὰ δεξιὰ, μηδὲ εἰς τὰ ἀριστερά, ἀπόστρεψον δὲ σὸν πόδα ἀπὸ ὁδοῦ κακῆς· ὁδοὺς γὰρ τὰς ἐκ δεξιῶν οἶδεν ὁ Θεὸς, διεστραμμέναι δέ εἰσιν αἱ ἐξ ἀριστερῶν· αὐτὸς δὲ ὀρθὰς ποιήσει τὰς τροχιάς σου, τὰς δὲ πορείας σου ἐν εἰρήνῃ προάξει.
