[LXX | EL | OT | Proverbs | Chapter 5 | Verse 1] Υἱὲ, ἐμῇ σοφίᾳ πρόσεχε, ἐμοῖς δὲ λόγοις παράβαλλε σὸν οὖς,
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 2] ἵνα φυλάξῃς ἔννοιαν ἀγαθήν· αἴσθησις δὲ ἐμῶν χειλέων ἐντέλλεταί σοι·
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 3] Μὴ πρόσεχε φαύλῃ γυναικί. Μέλι γὰρ ἀποστάζει ἀπὸ χειλέων γυναικὸς πόρνης, ἣ πρὸς καιρὸν λιπαίνει σὸν φάρυγγα,
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 4] ὕστερον μέντοι πικρότερον χολῆς εὑρήσεις, καὶ ἠκονημένον μᾶλλον μαχαίρας διστόμου.
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 5] Τῆς γὰρ ἀφροσύνης οἱ πόδες κατάγουσι τοὺς χρωμένους αὐτῇ μετὰ θανάτου εἰς τὸν ᾅδην, τὰ δὲ ἴχνη αὐτῆς οὐκ ἐρείδεται.
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 6] Ὁδοὺς γὰρ ζωῆς οὐκ ἐπέρχεται, σφαλεραὶ δὲ αἱ τροχιαὶ αὐτῆς, καὶ οὐκ εὔγνωστοι.
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 7] Νῦν οὖν υἱὲ ἄκουέ μου, καὶ μὴ ἀκύρους ποιήσεις ἐμοὺς λόγους.
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 8] Μακρὰν ποίησον ἀπʼ αὐτῆς σὴν ὁδόν· μὴ ἐγγίσῃς πρὸς θύραις οἴκων αὐτῆς,
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 9] ἵνα μὴ πρόῃ ἄλλοις ζωήν σου, καὶ σὸν βίον ἀνελεήμοσιν·
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 10] Ἵνα μὴ πλησθῶσιν ἀλλότριοι σῆς ἰσχύος, οἱ δὲ σοὶ πόνοι εἰς οἴκους ἀλλοτρίων ἔλθεσι·
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 11] Καὶ μεταμεληθήσῃ ἐπʼ ἐσχάτων, ἡνίκα ἂν κατατριβῶσι σάρκες σώματός σου,
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 12] καὶ ἐρεῖς, πῶς ἐμίσησα παιδείαν, καὶ ἐλέγχους ἐξέκλινεν ἡ καρδία μου;
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 13] Οὐκ ἤκουον φωνὴν παιδεύοντός με καὶ διδάσκοντός με, οὐδὲ παρέβαλλον τὸ οὖς μου.
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 14] Παρʼ ὀλίγον ἐγενόμην ἐν παντὶ κακῷ, ἐν μέσῳ ἐκκλησίας καὶ συναγωγῆς.
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 15] Πίνε ὕδατα ἀπὸ σῶν ἀγγείων, καὶ ἀπὸ σῶν φρεάτων πηγῆς.
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 16] Μὴ ὑπερεκχείσθω σοι ὕδατα ἐκ τῆς σῆς πηγῆς, εἰς δὲ σὰς πλατείας διαπορευέσθω τὰ σὰ ὕδατα.
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 17] Ἔστω σοι μόνῳ ὑπάρχοντα, καὶ μηδεὶς ἀλλότριος μετασχέτω σοι.
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 18] Ἡ πηγή σου τοῦ ὕδατος ἔστω σοι ἰδία, καὶ συνευφραίνου μετὰ γυναικὸς τῆς ἐκ νεότητός σου.
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 19] Ἔλαφος φιλίας καὶ πῶλος σῶν χαρίτων ὁμιλείτω σοι, ἡ δὲ ἰδία ἡγείσθω σου καὶ συνέστω σοι ἐν παντὶ καιρῷ· ἐν γὰρ τῇ ταύτης φιλίᾳ συμπεριφερόμενος, πολλοστὸς ἔσῃ.
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 20] Μὴ πολὺς ἴσθι πρὸς ἀλλοτρίαν, μηδὲ συνέχου ἀγκάλαις τῆς μὴ ἰδίας.
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 21] Ἐνώπιον γάρ εἰσι τῶν τοῦ Θεοῦ ὀφθαλμῶν ὁδοὶ ἀνδρὸς, εἰς δὲ πάσας τὰς τροχιὰς αὐτοῦ σκοπεύει.
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 22] Παρανομίαι ἄνδρα ἀγρεύουσι, σειραῖς δὲ τῶν ἑαυτοῦ ἁμαρτιῶν ἕκαστος σφίγγεται.
[LXX | EL | OT | Proverbs | Chapter 5 | Verse 23] Οὗτος τελευτᾷ μετὰ ἀπαιδεύτων, ἐκ δὲ πλήθους τῆς ἑαυτοῦ βιότητος ἐξεῤῥίφη, καὶ ἀπώλετο διʼ ἀφροσύνην.
