[LXX | EL | OT | Proverbs | Chapter 16 | Verse 2] Πάντα τὰ ἔργα τοῦ ταπεινοῦ φανερὰ παρὰ τῷ Θεῷ, οἱ δὲ ἀσεβεῖς ἐν ἡμέρᾳ κακῇ ὀλοῦνται.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 5] Ἀκάθαρτος παρὰ Θεῷ πᾶς ὑψηλοκάρδιος, χειρὶ δὲ χεῖρας ἐμβαλὼν ἀδίκως οὐκ ἀθωωθήσεται·
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 7] ἀρχὴ ὁδοῦ ἀγαθῆς τὸ ποιεῖν τὰ δίκαια, δεκτὰ δὲ παρὰ Θεῷ μᾶλλον ἢ θύειν θυσίας·
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 8] ὁ ζητῶν τὸν Κύριον εὑρήσει γνῶσιν μετὰ δικαιοσύνης, οἱ δὲ ὀρθῶς ζητοῦντες αὐτὸν εὑρήσουσιν εἰρήνην.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 9] Πάντα τὰ ἔργα τοῦ Κυρίου μετὰ δικαιοσύνης, φυλάσσεται δὲ ὁ ἀσεβὴς εἰς ἡμέραν κακήν.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 10] Μαντεῖον ἐπὶ χείλεσι βασιλέως, ἐν δὲ κρίσει οὐ μὴ πλανηθῇ τὸ στόμα αὐτοῦ.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 11] Ῥοπὴ ζυγοῦ δικαιοσύνη παρὰ Κυρίῳ, τὰ δὲ ἔργα αὐτοῦ στάθμια δίκαια.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 12] Βδέλυγμα βασιλεῖ ὁ ποιῶν κακὰ, μετὰ γὰρ δικαιοσύνης ἑτοιμάζεται θρόνος ἀρχῆς.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 13] Δεκτὰ βασιλεῖ χείλη δίκαια, λόγους δέ ὀρθοὺς ἀγαπᾷ.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 14] Θυμὸ βασιλέως ἄγγελος θανάτου, ἀνὴρ δὲ σοφὸς ἐξιλάσεται αὐτόν.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 15] Ἐν φωτὶ ζωῆς υἱὸς βασιλέως, οἱ δὲ προσδεκτοὶ αὐτῷ ὥσπερ νέφος ὄψιμον.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 16] Νοσσιαὶ σοφίας αἱρετώτεραι χρυσίου, νοσσιαὶ δὲ φρονήσεως αἱρετώτεραι ὑπὲρ ἀργύριον.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 17] Τρίβοι ζωῆς ἐκκλίνουσιν ἀπὸ κακῶν, μῆκος δὲ βίου ὁδοὶ δικαιοσύνης. Ὁ δεχόμενος παιδείαν ἐν ἀγαθοῖς ἔσται, ὁ δὲ φυλάσσων ἐλέγχους σοφισθήσεται· ὃς φυλάσσει τὰς ἑαυτοῦ ὁδοὺς, τηρεῖ τὴν ἑαυτοῦ ψυχήν· ἀγαπῶν δὲ ζωὴν αὐτοῦ, φείσεται στόματος αὐτοῦ.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 18] Πρὸ συντριβῆς ἡγεῖται ὕβρις, πρὸ δὲ πτώματος κακοφροσύνη.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 19] Κρείσσων πρᾳΰθυμος μετὰ ταπεινώσεως, ἢ ὃς διαιρεῖται σκῦλα μετὰ ὑβριστῶν.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 20] Συνετὸς ἐν πράγμασιν εὑρετὴς ἀγαθῶν, πεποιθὼς δὲ ἐπὶ Θεῷ μακαριστός.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 21] Τοὺς σοφοὺς καὶ συνετοὺς φαύλους καλοῦσιν, οἱ δὲ γλυκεῖς ἐν λόγῳ πλείονα ἀκούσονται.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 22] Πηγὴ ζωῆς ἔννοια τοῖς κεκτημένοις, παιδεία δὲ ἀφρόνων κακή.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 23] Καρδία σοφοῦ νοήσει τὰ ἀπὸ τοῦ ἰδίου στόματος, ἐπὶ δὲ χείλεσι φορέσει ἐπιγνωμοσύνην·
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 24] Κηρία μέλιτος λόγοι καλοί, γλύκασμα δὲ αὐτοῦ ἴασις ψυχῆς.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 25] Εἰσὶν ὁδοὶ δοκοῦσαι εἶναι ὀρθαὶ ἀνδρὶ, τὰ μέντοι τελευταῖα αὐτῶν βλέπει εἰς πυθμένα ᾅδου.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 26] Ἀνὴρ ἐν πόνοις πονεῖ ἑαυτῷ, καὶ ἐκβιάζεται τὴν ἀπώλειαν ἑαυτοῦ. Ὁ μέντοι σκολιὸς ἐπὶ τῷ ἑαυτοῦ στόματι φορεῖ τὴν ἀπώλειαν·
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 27] ἀνὴρ ἄφρων ὀρύσσει ἑαυτῷ κακὰ, ἐπὶ δὲ τῶν ἑαυτοῦ χειλέων θησαυρίζει πῦρ.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 28] Ἀνὴρ σκολιὸς διαπέμπεται κακὰ, καὶ λαμπτῆρα δόλου πυρσεύσει κακοῖς, καὶ διαχωρίζει φίλους.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 29] Ἀνὴρ παράνομος ἀποπειρᾶται φίλων, καὶ ἀπάγει αὐτοὺς ὁδοὺς οὐκ ἀγαθάς.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 30] Στηρίζων δὲ ὀφθαλμοὺς αὐτοῦ διαλογίζεται διεστραμμένα, ὁρίζει δὲ τοῖς χείλεσιν αὐτοῦ πάντα τὰ κακά· οὗτος κάμινός ἐστι κακίας.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 31] Στέφανος καυχήσεως γῆρας, ἐν δὲ ὁδοῖς δικαιοσύνης εὑρίσκεται.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 32] Κρείσσων ἀνὴρ μακρόθυμος ἰσχυροῦ, ὁ δὲ κρατῶν ὀργῆς κρείσσων καταλαμβανομένου πόλιν.
[LXX | EL | OT | Proverbs | Chapter 16 | Verse 33] Εἰς κόλπους ἐπέρχεται πάντα τοῖς ἀδίκοις, παρὰ δὲ Κυρίου πάντα τὰ δίκαια.
