[LXX | EL | OT | Proverbs | Chapter 9 | Verse 1] Ἡ σοφία ᾠκοδόμησεν ἑαυτῇ οἶκον, καὶ ὑπήρεισε στύλους ἑπτά.
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 2] Ἔσφαξε τὰ ἑαυτῆς θύματα, ἐκέρασεν εἰς κρατῆρα τὸν ἑαυτῆς οἶνον, καὶ ἡτοιμάσατο τὴν ἑαυτῆς τράπεζαν.
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 3] Ἀπέστειλε τοὺς ἑαυτῆς δούλους, συγκαλοῦσα μετὰ ὑψηλοῦ κηρύγματος ἐπὶ κρατῆρα, λέγουσα,
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 4] Ὅς ἐστιν ἄφρων, ἐκκλινάτω πρὸς μέ· καὶ τοῖς ἐνδεέσι φρενῶν εἶπεν,
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 5] ἔλθατε, φάγετε τῶν ἐμῶν ἄρτων, καὶ πίετε οἶνον ὃν ἐκέρασα ὑμῖν.
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 6] Ἀπολείπετε ἀφροσύνην, ἵνα εἰς τὸν αἰῶνα βασιλεύσητε· καὶ ζητήσατε φρόνησιν, καὶ κατορθώσατε ἐν γνώσει σύνεσιν.
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 7] Ὁ παιδεύων κακοὺς λήψεται ἑαυτῷ ἀτιμίαν· ἐλέγχων δὲ τὸν ἀσεβῆ μωμήσεται ἑαυτόν.
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 8] Μὴ ἔλεγχε κακοὺς, ἵνα μὴ μισήσωσί σε· ἔλεγχε σοφὸν, καὶ ἀγαπήσει σε.
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 9] Δίδου σοφῷ ἀφορμὴν, καὶ σοφώτερος ἔσται· γνώριζε δικαίῳ, καὶ προσθήσει τοῦ δέχεσθαι.
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 10] Ἀρχὴ σοφίας φόβος Κυρίου, καὶ βουλὴ ἁγίων σύνεσις· τὸ γὰρ γνῶναι νόμον, διανοίας ἐστὶν ἀγαθῆς.
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 11] Τούτῳ γὰρ τῷ τρόπῳ πολὺν ζήσεις χρόνον, καὶ προστεθήσεταί σοι ἔτη ζωῆς σου.
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 12] Υἱὲ ἐὰν σοφὸς γένῃ σεαυτῷ, σοφὸς ἔσῃ καὶ τοῖς πλησίον· ἐὰν δὲ κακὸς ἀποβῇς, μόνος ἂν ἀντλήσεις κακά· ὃς ἐρείδεται ἐπὶ ψεύδεσιν, οὗτος ποιμαίνει ἀνέμους, ὁ δʼ αὐτὸς διώξεται ὄρνεα πετόμενα· ἀπέλιπε γὰρ ὁδοὺς τοῦ ἑαυτοῦ ἀμπελῶνος, τοὺς δὲ ἄξονας τοῦ ἰδίου γεωργίου πεπλάνηται· διαπορεύεται δὲ διʼ ἀνύδρου ἐρήμου, καὶ γῆν διατεταγμένην ἐν διψώδεσι, συνάγει δὲ χερσὶν ἀκαρπίαν.
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 13] Γυνὴ ἄφρων καὶ θρασεῖα ἐνδεὴς ψωμοῦ γίνεται, ἣ οὐκ ἐπίσταται αἰσχύνην.
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 14] Ἐκάθισεν ἐπὶ θύραις τοῦ ἑαυτῆς οἴκου, ἐπὶ δίφρου ἐμφανῶς ἐν πλατείαις,
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 15] προσκαλουμένη τοὺς παριόντας καὶ κατευθύνοντας ἐν ταῖς ὁδοῖς αὐτῶν·
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 16] Ὅς ἐστιν ὑμῶν ἀφρονέστατος, ἐκκλινάτω πρὸς μέ· καὶ τοῖς ἐνδεέσι φρονήσεως παρακελεύομαι, λέγουσα,
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 17] ἄρτων κρυφίων ἡδέως ἅψασθε, καὶ ὕδατος κλοπῆς γλυκεροῦ.
[LXX | EL | OT | Proverbs | Chapter 9 | Verse 18] Ὁ δὲ οὐκ οἶδεν ὅτι γηγενεῖς παρʼ αὐτῇ ὄλλυνται, καὶ ἐπὶ πέταυρον ᾅδου συναντᾷ· ἀλλὰ ἀποπήδησον, μὴ χρονίσῃς ἐν τῷ τόπῳ, μηδὲ ἐπιστήσῃς τὸ σὸν ὄμμα πρὸς αὐτὴν, οὕτως γὰρ διαβήσῃ ὕδωρ ἀλλότριον· ἀπὸ δὲ ὕδατος ἀλλοτρίου ἀπόσχου, καὶ ἀπὸ πηγῆς ἀλλοτρίας μὴ πίῃς ἵνα πολὺν ζησῃς χρόνον, προστεθῇ δέ σοι ἔτη ζωῆς.
