[LXX | EL | OT | Proverbs | Chapter 12 | Verse 1] Ὁ ἀγαπῶν παιδείαν, ἀγαπᾷ αἴσθησιν· ὁ δὲ μισῶν ἐλέγχους, ἄφρων.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 2] Κρείσσων ὁ εὑρὼν χάριν παρὰ Κυρίῳ, ἀνὴρ δὲ παράνομος παρασιωπηθήσεται.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 3] Οὐ κατορθώσει ἄνθρωπος ἐξ ἀνόμου, αἱ δὲ ῥίζαι τῶν δικαίων οὐκ ἐξαρθήσονται.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 4] Γυνὴ ἀνδρεία στέφανος τῷ ἀνδρὶ αὐτῆς· ὥσπερ δὲ ἐν ξύλῳ σκώληξ, οὕτως ἄνδρα ἀπόλλυσι γυνὴ κακοποιός.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 5] Λογισμοὶ δικαίων κρίματα, κυβερνῶσι δὲ ἀσεβεῖς δόλους.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 6] Λόγοι ἀσεβῶν δόλιοι, στόμα δὲ ὀρθῶν ῥύσεται αὐτούς.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 7] Οὗ ἐὰν στραφῇ ὁ ἀσεβὴς, ἀφανίζεται, οἶκοι δὲ δικαίων παραμένουσι·
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 8] Στόμα συνετοῦ ἐγκωμιάζεται ὑπὸ ἀνδρὸς, νωθροκάρδιος δὲ μυκτηρίζεται.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 9] Κρείσσων ἀνὴρ ἐν ἀτιμίᾳ δουλεύων ἑαυτῷ, ἢ τιμὴν ἑαυτῷ περιτιθεὶς καὶ προσδεόμενος ἄρτου.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 10] Δίκαιος οἰκτείρει ψυχὰς κτηνῶν αὐτοῦ, τὰ δὲ σπλάγχνα τῶν ἀσεβῶν ἀνελεήμονα.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 11] Ὁ ἐργαζόμενος τὴν ἑαυτοῦ γῆν, ἐμπλησθήσεται ἄρτων, οἱ δὲ διώκοντες μάταια, ἐνδεεῖς φρενῶν· ὅς ἐστιν ἡδὺς ἐν οἴνων διατριβαῖς, ἐν τοῖς ἑαυτοῦ ὀχυρώμασι καταλείψει ἀτιμίαν.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 12] Ἐπιθυμίαι ἀσεβῶν κακαὶ, αἱ δὲ ῥίζαι τῶν εὐσεβῶν ἐν ὀχυρώμασι.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 13] Διʼ ἁμαρτίαν χειλέων ἐμπίπτει εἰς παγίδας ἁμαρτωλὸς, ἐκφεύγει δὲ ἐξ αὐτῶν δίκαιος· ὁ βλέπων λεῖα ἐλεηθήσεται, ὁ δὲ συναντῶν ἐν πύλαις ἐκθλίψει ψυχάς.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 14] Ἀπὸ καρπῶν στόματος ψυχὴ ἀνδρὸς πλησθήσεται ἀγαθῶν, ἀνταπόδομα δὲ χειλέων αὐτοῦ δοθήσεται αὐτῷ.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 15] Ὁδοὶ ἀφρόνων ὀρθαὶ ἐνώπιον αὐτῶν, εἰσακούει δὲ συμβουλίας σοφός.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 16] Ἄφρων αὐθημερὸν ἐξαγγέλλει ὀργὴν αὐτοῦ, κρύπτει δὲ τὴν ἑαυτοῦ ἀτιμίαν ἀνὴρ πανοῦργος.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 17] Ἐπιδεικνυμένην πίστιν ἀπαγγέλλει δίκαιος, ὁ δὲ μάρτυς τῶν ἀδίκων δόλιος.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 18] Εἰσὶν οἳ λέγοντες τιτρώσκουσι, μάχαιραι· γλῶσσαι δὲ σοφῶν ἰῶνται.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 19] Χείλη ἀληθινὰ κατορθοῖ μαρτυρίαν, μάρτυς δὲ ταχὺς γλῶσσαν ἔχει ἄδικον.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 20] Δόλος ἐν καρδίᾳ τεκταινομένου κακὰ, οἱ δὲ βουλόμενοι εἰρήνην εὐφρανθήσονται.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 21] Οὐκ ἀρέσει τῷ δικαίῳ οὐδὲν ἄδικον, οἱ δὲ ἀσεβεῖς πλησθήσονται κακῶν.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 22] Βδέλυγμα Κυρίῳ χείλη ψευδῆ, ὁ δὲ ποιῶν πίστεις δεκτὸς παρʼ αὐτῷ.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 23] Ἀνὴρ συνετὸς θρόνος αἰσθήσεως, καρδία δὲ ἀφρόνων συναντήσεται ἀραῖς.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 24] Χεὶρ ἐκλεκτῶν κρατήσει εὐχερῶς, δόλιοι δὲ ἔσονται ἐν προνομῇ.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 25] Φοβερὸς λόγος καρδίαν ταράσσει ἀνδρὸς δικαίου, ἀγγελία δὲ ἀγαθὴ εὐφραίνει αὐτόν.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 26] Ἐπιγνώμων δίκαιος ἑαυτοῦ φίλος ἔσται, ἁμαρτάνοντας δὲ καταδιώξεται κακὰ, ἡ δὲ ὁδὸς τῶν ἀσεβῶν πλανήσει αὐτούς.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 27] Οὐκ ἐπιτεύξεται δόλιος θήρας, κτῆμα δὲ τίμιον ἀνὴρ καθαρός.
[LXX | EL | OT | Proverbs | Chapter 12 | Verse 28] Ἐν ὁδοῖς δικαιοσύνης ζωὴ, ὁδοὶ δὲ μνησικάκων εἰς θάνατον.
