[LXX | EL | OT | Proverbs | Chapter 31 | Verse 10] Γυναῖκα ἀνδρείαν τίς εὑρήσει; τιμιωτέρα δέ ἐστι λίθων πολυτελῶν ἡ τοιαύτη.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 11] Θαρσεῖ ἐπʼ αὐτῇ ἡ καρδία τοῦ ἀνδρὸς αὐτῆς· ἡ τοιαύτη καλῶν σκύλων οὐκ ἀπορήσει.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 12] Ἐνεργεῖ γὰρ τῷ ἀνδρὶ εἰς ἀγαθὰ πάντα τὸν βίον.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 13] Μηρυομένη ἔρια καὶ λινὸν, ἐποίησεν εὔχρηστον ταῖς χερσὶν αὐτῆς.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 14] Ἐγένετο ὡσεὶ ναῦς ἐμπορευομένη μακρόθεν, συνάγει δὲ αὕτη τὸν βίον.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 15] Καὶ ἀνίσταται ἐκ νυκτῶν, καὶ ἔδωκε βρώματα τῷ οἴκῳ, καὶ ἔργα ταῖς θεραπαίναις.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 16] Θεωρήσασα γεώργιον ἐπρίατο, ἀπὸ δὲ καρπῶν χειρῶν αὐτῆς κατεφύτευσεν κτῆμα.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 17] Ἀναζωσαμένη ἰσχυρῶς τὴν ὀσφῦν αὐτῆς ἤρεισε τοὺς βραχίονας αὐτῆς εἰς ἔργον.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 18] Καὶ ἐγεύσατο ὅτι καλόν ἐστι τὸ ἐργάζεσθαι, καὶ οὐκ ἀποσβέννυται ὁ λύχνος αὐτῆς ὅλην τὴν νύκτα.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 19] τοὺς πήχεις αὐτῆς ἐκτείνει ἐπὶ τὰ συμφέροντα, τὰς δὲ χεῖρας αὐτῆς ἐρείδει εἰς ἄτρακτον.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 20] Χεῖρας δὲ αὐτῆς διήνοιξε πένητι, καρπὸν δὲ ἐξέτεινεν πτωχῷ.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 21] Οὐ φροντίζει τῶν ἐν οἴκῳ ὁ ἀνὴρ αὐτῆς ὅταν που χρονίζῃ, πάντες γὰρ οἱ παρʼ αὐτῆς ἐνδεδυμένοι εἰαί.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 22] Δισσὰς χλαίνας ἐποίησε τῷ ἀνδρὶ αὐτῆς, ἐκ δὲ βύσσου καὶ πορφύρας ἑαυτῇ ἐνδύματα.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 23] Περίβλεπτος δὲ γίνεται ὁ ἀνὴρ αὐτῆς ἐν πύλαις, ἡνίκα ἂν καθίσῃ ἐν συνεδρίῳ μετὰ τῶν γερόντων κατοίκων τῆς γῆς.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 24] Σινδόνας ἐποίησε καὶ ἀπέδοτο περιζώματα τοῖς Χαναναίοις. στόμα αὐτῆς διήνοιξε προσεχόντως καὶ ἐννόμως, καὶ τάξιν ἐστείλατο τῇ γλώσσῃ αὐτῆς.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 25] Ἰσχὺν καὶ εὐπρέπειαν ἐνεδύσατο, καὶ εὐφράνθη ἐν ἡμέραις ἐσχάταις.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 26] Στεγναὶ διατριβαὶ οἴκων αὐτῆς, σῖτα δὲ ὀκνηρὰ οὐκ ἔφαγεν.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 27] Τὸ στόμα δὲ ἀνοίγει σοφῶς καὶ νομοθέσμως. Ἡ δὲ ἐλεημοσύνη αὐτῆς
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 28] ἀνέστησε τὰ τέκνα αὐτῆς καὶ ἐπλούτησαν, καὶ ὁ ἀνὴρ αὐτῆς ᾔνεσεν αὐτήν.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 29] Πολλαὶ θυγατέρες ἐκτήσαντο πλοῦτον, πολλαὶ ἐποίησαν δύναμιν· σὺ δὲ ὑπέρκεισαι, ὑπερῇρας πάσας.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 30] Ψευδεῖς ἀρέσκειαι, καὶ μάταιον κάλλος γυναικος· γυνὴ γὰρ συνετὴ εὐλογεῖται, φόβον δὲ Κυρίου αὕτη αἰνείτω.
[LXX | EL | OT | Proverbs | Chapter 31 | Verse 31] Δότε αὐτῇ ἀπὸ καρπῶν χειλέων αὐτῆς, καὶ αἰνείσθω ἐν πύλαις ὁ ἀνὴρ αὐτῆς.
