[LXX | EL | OT | Proverbs | Chapter 20 | Verse 1] Ἀκολάστον οἶνος, καὶ ὑβριστικὸν μέθη, πᾶς δὲ ἄφρων τοιούτοις συμπλέκεται.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 2] Οὐ διαφέρει ἀπειλὴ βασιλέως θυμοῦ λέοντος, ὁ δὲ παροξύνων αὐτὸν ἁμαρτάνει εἰς τὴν ἑαυτοῦ ψυχήν.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 3] Δόξα ἀνδρὶ ἀποστρέφεσθαι λοιδορίας, πᾶς δὲ ἄφρων τοιούτοις συμπλέκεται.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 4] Ὀνειδιζόμενος ὀκνηρὸς οὐκ αἰσχύνεται, ὡσαύτως καὶ ὁ δανειζόμενος σῖτον ἐν ἀμητῷ.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 5] Ὕδωρ βαθὺ βουλὴ ἐν καρδίᾳ ἀνδρὸς, ἀνὴρ δὲ φρόνιμος ἐξαντλήσει αὐτήν.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 6] Μέγα ἄνθρωπος, καὶ τίμιον ἀνὴρ ἐλεήμων, ἄνδρα δὲ πιστὸν ἔργον εὑρεῖν.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 7] Ὃς ἀναστρέφεται ἄμωμος ἐν δικαιοσύνῃ, μακαρίους τοὺς παῖδας αὐτοῦ καταλείψει.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 8] Ὅταν βασιλεὺς δίκαιος καθίσῃ ἐπὶ θρόνου, οὐκ ἐναντιοῦται ἐν ὀφθαλμοῖς αὐτοῦ πᾶν πονηρόν.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 9] Τίς καυχήσεται ἁγνὴν ἔχειν τὴν καρδίαν; ἢ τίς παῤῥησιάσεται καθαρὸς εἶναι ἀπὸ ἁμαρτιῶν; Κακολογοῦντος πατέρα ἢ μητέρα σβεσθήσεται λαμπτὴρ, αἱ δὲ κόραι τῶν ὀφθαλμῶν αὐτοῦ ὄψονται σκότος. Μερὶς ἐπισπουδαζομένη ἐν πρώτοις, ἐν τοῖς τελευταίοις οὐκ εὐλογηθήσεται. Μὴ εἴπῃς, τίσομαι τὸν ἐχθρὸν, ἀλλʼ ὑπόμεινον τὸν Κύριον, ἵνα σοι βοηθήσῃ.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 10] Στάθμιον μέγα καὶ μικρὸν, καὶ μέτρα δισσὰ, ἀκάθαρτα ἐνώπιον Κυρίου καὶ ἀμφότερα, καὶ ὁ ποιῶν αὐτά.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 11] Ἐν τοῖς ἐπιτηδεύμασιν αὐτοῦ συμποδισθήσεται νεανίσκος μετὰ ὁσίου, καὶ εὐθεῖα ἡ ὁδὸς αὐτοῦ.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 12] Οὖς ἀκούει, καὶ ὀφθαλμὸς ὁρᾷ, Κυρίου ἔργα καὶ ἀμφότερα.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 13] Μὴ ἀγάπα καταλαλεῖν, ἵνα μὴ ἐξαρθῇς· διάνοιξον τοὺς ὀφθαλμούς σου, καὶ ἐμπλήσθητι ἄρτων.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 23] Βδέλυγμα Κυρίῳ δισσὸν στάθμιον, καὶ ζυγὸς δόλιος οὐ καλὸν ἐνώπιον αὐτοῦ.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 24] Παρὰ Κυρίου εὐθύνεται τὰ διαβήματα ἀνδρὶ, θνητὸς δὲ πῶς ἂν νοήσαι τὰς ὁδοὺς αὐτοῦ;
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 25] Παγὶς ἀνδρὶ ταχύ τι τῶν ἰδίων ἁγιάσαι, μετὰ γὰρ τὸ εὔξασθαι μετανοεῖν γίνεται.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 26] Λικμήτωρ ἀσεβῶν βασιλεὺς σοφὸς, καὶ ἐπιβαλεῖ αὐτοῖς τροχόν.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 27] Φῶς Κυρίου πνοὴ ἀνθρώπων, ὃς ἐρευνᾷ ταμιεῖα κοιλίας.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 28] Ἐλεημοσύνη καὶ ἀλήθεια φυλακὴ βασιλεῖ, καὶ περικυκλώσουσιν ἐν δικαιοσύνῃ τὸν θρόνον αὐτοῦ.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 29] Κόσμος νεανίαις σοφία, δόξα δὲ πρεσβυτέρων πολιαί.
[LXX | EL | OT | Proverbs | Chapter 20 | Verse 30] Ὑπώπια καὶ συντρίμματα συναντᾷ κακοῖς, πληγαὶ δὲ εἰς ταμιεῖα κοιλίας.
