[LXX | EL | OT | Proverbs | Chapter 15 | Verse 1] Ὀργὴ ἀπόλλυσι καὶ φρονίμους, ἀπόκρισις δὲ ὑποπίπτουσα ἀποστρέφει θυμὸν, λόγος δὲ λυπηρὸς ἐγείρει ὀργάς.
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 2] Γλῶσσα σοφῶν καλὰ ἐπίσταται, στόμα δὲ ἀφρόνων ἀναγγέλλει κακά.
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 3] Ἐν παντὶ τόπῳ ὀφθαλμοὶ Κυρίου σκοπεύουσι κακούς τε καὶ ἀγαθούς.
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 4] Ἴασις γλώσσης δένδρον ζωῆς, ὁ δὲ συντηρῶν αὐτὴν πλησθήσεται πνεύματος.
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 5] Ἄφρων μυκτηρίζει παιδείαν πατρὸς, ὁ δὲ φυλάσσων ἐντολὰς, πανουργότερος· ἐν πλεοναζούσῃ δικαιοσύνῃ ἰσχὺς πολλὴ, οἱ δὲ ἀσεβεῖς ὁλόῤῥιζοι ἐκ γῆς ἀπολοῦνται.
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 6] Οἴκοις δικαίων ἰσχὺς πολλή, καρποὶ δὲ ἀσεβῶν ἀπολοῦνται.
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 7] Χείλη σοφῶν δέδεται αἰσθήσει, καρδίαι δὲ ἀφρόνων οὐκ ἀσφαλεῖς.
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 8] Θυσίαι ἀσεβῶν βδέλυγμα Κυρίῳ, εὐχαὶ δὲ κατευθυνόντων δεκταὶ παρʼ αὐτῷ.
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 9] Βδέλυγμα Κυρίῳ ὁδοὶ ἀσεβοῦς, διώκοντας δὲ δικαιοσύνην ἀγαπᾷ.
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 10] Παιδεία ἀκάκου γνωρίζεται ὑπὸ τῶν παριόντων, οἱ δὲ μισοῦντες ἐλέγχους τελευτῶσιν αἰσχρῶς.
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 11] Ἅδης καὶ ἀπώλεια φανερὰ παρὰ τῷ Κυρίῳ· πῶς οὐχὶ καὶ αἱ καρδίαι τῶν ἀνθρώπων;
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 12] Οὐκ ἀγαπήσει ἀπαίδευτος τοὺς ἐλέγχοντας αὐτόν, μετὰ δὲ σοφῶν οὐχ ὁμιλήσει.
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 13] Καρδίας εὐφραινομένης πρόσωπον θάλλει, ἐν δὲ λύπαις οὔσης σκυθρωπάζει.
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 14] Καρδία ὀρθὴ ζητεῖ αἴσθησιν, στόμα δὲ ἀπαιδεύτων γνώσεται κακά.
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 15] Πάντα τὸν χρόνον οἱ ὀφθαλμοὶ τῶν κακῶν προσδέχονται κακὰ, οἱ δὲ ἀγαθοὶ ἡσυχάζουσι διαπαντός.
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 16] Κρεῖσσον μικρὰ μερὶς μετὰ φόβου Κυρίου, ἢ θησαυροὶ μεγάλοι μετὰ ἀφοβίας.
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 17] Κρείσσων ξενισμὸς μετὰ λαχάνων πρὸς φιλίαν καὶ χάριν, ἢ παράθεσις μόσχων μετὰ ἔχθρας.
[LXX | EL | OT | Proverbs | Chapter 15 | Verse 18] Ἀνὴρ θυμώδης παρασκευάζει μάχας· μακρόθυμος δὲ καὶ τὴν μέλλουσαν καταπρᾳΰνει· μακρόθυμος ἀνὴρ κατασβέσει κρίσεις, ὁ δὲ ἀσεβὴς ἐγείρει μᾶλλον.
