[BSB | EN | OT | Judges | Chapter 5 | Verse 1] On that day Deborah and Barak son of Abinoam sang this song:
[BSB | EN | OT | Judges | Chapter 5 | Verse 2] “When the princes take the lead in Israel, when the people volunteer, bless the LORD.
[BSB | EN | OT | Judges | Chapter 5 | Verse 3] Listen, O kings! Give ear, O princes! I will sing to the LORD; I will sing praise to the LORD, the God of Israel.
[BSB | EN | OT | Judges | Chapter 5 | Verse 4] O LORD, when You went out from Seir, when You marched from the land of Edom, the earth trembled, the heavens poured out rain, and the clouds poured down water.
[BSB | EN | OT | Judges | Chapter 5 | Verse 5] The mountains quaked before the LORD, the One of Sinai, before the LORD, the God of Israel.
[BSB | EN | OT | Judges | Chapter 5 | Verse 6] In the days of Shamgar son of Anath, in the days of Jael, the highways were deserted and the travelers took the byways.
[BSB | EN | OT | Judges | Chapter 5 | Verse 7] Life in the villages ceased; it ended in Israel, until I, Deborah, arose, a mother in Israel.
[BSB | EN | OT | Judges | Chapter 5 | Verse 8] When they chose new gods, then war came to their gates. Not a shield or spear was found among forty thousand in Israel.
[BSB | EN | OT | Judges | Chapter 5 | Verse 9] My heart is with the princes of Israel, with the volunteers among the people. Bless the LORD!
[BSB | EN | OT | Judges | Chapter 5 | Verse 10] You who ride white donkeys, who sit on saddle blankets, and you who travel the road, ponder
[BSB | EN | OT | Judges | Chapter 5 | Verse 11] the voices of the singers at the watering places. There they shall recount the righteous acts of the LORD, the righteous deeds of His villagers in Israel. Then the people of the LORD went down to the gates:
[BSB | EN | OT | Judges | Chapter 5 | Verse 12] ‘Awake, awake, O Deborah! Awake, awake, sing a song! Arise, O Barak, and take hold of your captives, O son of Abinoam!’
[BSB | EN | OT | Judges | Chapter 5 | Verse 13] Then the survivors came down to the nobles; the people of the LORD came down to me against the mighty.
[BSB | EN | OT | Judges | Chapter 5 | Verse 14] Some came from Ephraim, with their roots in Amalek; Benjamin came with your people after you. The commanders came down from Machir, the bearers of the marshal’s staff from Zebulun.
[BSB | EN | OT | Judges | Chapter 5 | Verse 15] The princes of Issachar were with Deborah, and Issachar was with Barak, rushing into the valley at his heels. In the clans of Reuben there was great indecision.
[BSB | EN | OT | Judges | Chapter 5 | Verse 16] Why did you sit among the sheepfolds to hear the whistling for the flocks? In the clans of Reuben there was great indecision.
[BSB | EN | OT | Judges | Chapter 5 | Verse 17] Gilead remained beyond the Jordan. Dan, why did you linger by the ships? Asher stayed at the coast and remained in his harbors.
[BSB | EN | OT | Judges | Chapter 5 | Verse 18] Zebulun was a people who risked their lives; Naphtali, too, on the heights of the battlefield.
[BSB | EN | OT | Judges | Chapter 5 | Verse 19] Kings came and fought; then the kings of Canaan fought at Taanach by the waters of Megiddo, but they took no plunder of silver.
[BSB | EN | OT | Judges | Chapter 5 | Verse 20] From the heavens the stars fought; from their courses they fought against Sisera.
[BSB | EN | OT | Judges | Chapter 5 | Verse 21] The River Kishon swept them away, the ancient river, the River Kishon. March on, O my soul, in strength!
[BSB | EN | OT | Judges | Chapter 5 | Verse 22] Then the hooves of horses thundered— the mad galloping of his stallions.
[BSB | EN | OT | Judges | Chapter 5 | Verse 23] ‘Curse Meroz,’ says the angel of the LORD. ‘Bitterly curse her inhabitants; for they did not come to help the LORD, to help the LORD against the mighty.’
[BSB | EN | OT | Judges | Chapter 5 | Verse 24] Most blessed among women is Jael, the wife of Heber the Kenite, most blessed of tent-dwelling women.
[BSB | EN | OT | Judges | Chapter 5 | Verse 25] He asked for water, and she gave him milk. In a magnificent bowl she brought him curds.
[BSB | EN | OT | Judges | Chapter 5 | Verse 26] She reached for the tent peg, her right hand for the workman’s hammer. She struck Sisera and crushed his skull; she shattered and pierced his temple.
[BSB | EN | OT | Judges | Chapter 5 | Verse 27] At her feet he collapsed, he fell, there he lay still; at her feet he collapsed, he fell; where he collapsed, there he fell dead.
[BSB | EN | OT | Judges | Chapter 5 | Verse 28] Sisera’s mother looked through the window; she peered through the lattice and lamented: ‘Why is his chariot so long in coming? What has delayed the clatter of his chariots?’
[BSB | EN | OT | Judges | Chapter 5 | Verse 29] Her wisest ladies answer; indeed she keeps telling herself,
[BSB | EN | OT | Judges | Chapter 5 | Verse 30] ‘Are they not finding and dividing the spoil— a girl or two for each warrior, a plunder of dyed garments for Sisera, the spoil of embroidered garments for the neck of the looter?’
[BSB | EN | OT | Judges | Chapter 5 | Verse 31] So may all your enemies perish, O LORD! But may those who love You shine like the sun at its brightest.” And the land had rest for forty years.
