[LXX | EL | OT | 2 Samuel | Chapter 8 | Verse 1] Καὶ ἐγένετο μετὰ ταῦτα, καὶ ἐπάταξε Δαυὶδ τοὺς ἀλλοφύλους, καὶ ἐτροπώσατο αὐτούς· καὶ ἔλαβε Δαυὶδ τὴν ἀφωρισμένην ἐκ χειρὸς τῶν ἀλλοφύλων.
[LXX | EL | OT | 2 Samuel | Chapter 8 | Verse 2] Καὶ ἐπάταξε Δαυὶδ τὴν Μωὰβ, καὶ διεμέτρησεν αὐτοὺς ἐν σχοινίοις, κοιμίσας αὐτοὺς ἐπὶ τὴν γῆν· καὶ ἐγένετο τὰ δύο σχοινίσματα τοῦ θανατῶσαι, καὶ τὰ δύο σχοινίσματα ἐζώγρησε· καὶ ἐγένετο Μωὰβ τῷ Δαυὶδ εἰς δούλους φέροντας ξένια.
[LXX | EL | OT | 2 Samuel | Chapter 8 | Verse 3] Καὶ ἐπάταξε Δαυὶδ τὸν Ἁδρααζὰρ υἱὸν Ῥαὰβ, βασιλέα Σουβὰ, πορευομένου αὐτοῦ ἐπιστῆσαι τὴν χεῖρα αὐτοῦ ἐπὶ τὸν ποταμὸν Εὐφράτην.
[LXX | EL | OT | 2 Samuel | Chapter 8 | Verse 4] Καὶ προκατελάβετο Δαυὶδ τῶν αὐτοῦ χίλια ἅρματα, καὶ ἑπτὰ χιλιάδας ἱππέων, καὶ εἴκοσι χιλιάδας ἀνδρῶν πεζῶν· καὶ παρέλυσε Δαυὶδ πάντα τὰ ἅρματα, καὶ ὑπελείπετο ἑαυτῷ ἑκατὸν ἅρματα.
[LXX | EL | OT | 2 Samuel | Chapter 8 | Verse 5] Καὶ παραγίνεται Συρία Δαμασκοῦ βοηθῆσαι τῷ Ἀδρααζὰρ βασιλεῖ Σουβὰ, καὶ ἐπάταξε Δαυὶδ ἐν τῷ Σύρῳ εἴκοσι δύο χιλιάδας ἀνδρῶν.
[LXX | EL | OT | 2 Samuel | Chapter 8 | Verse 6] Καὶ ἔθετο Δαυὶδ φρουρὰν ἐν Συρίᾳ τῇ κατὰ Δαμασκὸν, καὶ ἐγένετο ὁ Σύρος τῷ Δαυὶδ εἰς δούλους φέροντας ξένια· καὶ ἔσωσε Κύριος τὸν Δαυὶδ ἐν πᾶσιν οἷς ἐπορεύετο.
[LXX | EL | OT | 2 Samuel | Chapter 8 | Verse 7] Καὶ ἔλαβε Δαυὶδ τοὺς χλιδῶνας τοὺς χρυσοῦς, οἳ ἦσαν ἐπὶ τῶν παίδων τῶν Ἀδρααζὰρ βασιλέως Σουβὰ, καὶ ἤνεγκεν αὐτὰ εἰς Ἱερουσαλήμ· καὶ ἔλαβεν αὐτὰ Σουσακὶμ βασιλεὺς Αἰγύπτου, ἐν τῷ ἀναβῆναι αὐτὸν εἰς Ἱερουσαλὴμ ἐν ἡμέραις Ῥοβοὰμ υἱοῦ Σαλωμῶντος.
[LXX | EL | OT | 2 Samuel | Chapter 8 | Verse 8] Καὶ ἐκ τῆς Μετεβὰκ καὶ ἐκ τῶν ἐκλεκτῶν πόλεων τοῦ Ἀδρααζὰρ ἔλαβεν ὁ βασιλεὺς Δαυὶδ χαλκὸν πολὺν σφόδρα· ἐν αὐτῷ ἐποίησε Σαλωμὼν τὴν θάλασσαν τὴν χαλκῆν, καὶ τοὺς στύλους, καὶ τοὺς λουτῆρας, καὶ πάντα τὰ σκεύη.
[LXX | EL | OT | 2 Samuel | Chapter 8 | Verse 9] Καὶ ἤκουσε Θοοὺ ὁ βασιλεὺς Ἡμὰθ, ὅτι ἐπάταξε Δαυὶδ πᾶσαν τὴν δύναμιν Ἀδρααζὰρ,
[LXX | EL | OT | 2 Samuel | Chapter 8 | Verse 10] καὶ ἀπέστειλε Θοοὺ Ἰεδδουρὰμ τὸν υἱὸν αὐτοῦ πρὸς βασιλέα Δαυὶδ ἐρωτῆσαι αὐτὸν τὰ εἰς εἰρήνην, καὶ εὐλογῆσαι αὐτὸν ὑπὲρ οὗ ἐπολέμησε τὸν Ἀδρααζὰρ, καὶ ἐπάταξεν αὐτὸν, ὅτι ἀντικείμενος ἦν τῷ Ἀδρααζάρ· καὶ ἐν ταῖς χερσὶν αὐτοῦ ἦσαν σκεύη ἀργυρᾶ, καὶ σκεύη χρυσᾶ, καὶ σκεύη χαλκᾶ.
[LXX | EL | OT | 2 Samuel | Chapter 8 | Verse 11] Καὶ ταῦτα ἡγίασεν ὁ βασιλεὺς Δαυὶδ τῷ Κυρίῳ, μετὰ τοῦ ἀργυρίου καὶ μετὰ τοῦ χρυσίου οὗ ἡγίασεν ἐκ πασῶν τῶν πόλεων ὧν κατεδυνάστευσεν,
