[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 1] Καὶ ἐπεσκέψατο Δαυὶδ τὸν λαὸν τὸν μετʼ αὐτοῦ, καὶ κατέστησεν ἐπʼ αὐτῶν χιλιάρχους καὶ ἑκατοντάρχους.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 2] Καὶ ἀπέστειλε Δαυὶδ τὸν λαὸν τὸ τρίτον ἐν χειρὶ Ἰωὰβ, καὶ τὸ τρίτον ἐν χειρὶ Ἀβεσσὰ υἱοῦ Σαρουίας ἀδελφοῦ Ἰωὰβ, καὶ τὸ τρίτον ἐν χειρὶ Ἐθὶ τοῦ Γεθαίου· καὶ εἶπε Δαυὶδ πρὸς τὸν λαὸν, ἐξελθὼν ἐξελεύσομαι καί γε ἐγὼ μεθʼ ὑμῶν.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 3] Καὶ εἶπαν, οὐκ ἐξελεύσῃ, ὅτι ἐὰν φυγῇ φύγωμεν, οὐ θήσουσιν ἐφʼ ἡμᾶς καρδίαν· καὶ ἐὰν ἀποθάνωμεν τὸ ἥμισυ ἡμῶν, οὐ θήσουσιν ἐφʼ ἡμᾶς καρδίαν, ὅτι σὺ ὡς ἡμεῖς δέκα χιλιάδες· καὶ νῦν ἀγαθὸν, ὅτι ἔσῃ ἡμῖν ἐν τῇ πόλει βοήθεια τοῦ βοηθεῖν.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 4] Καὶ εἶπε πρὸς αὐτοὺς ὁ βασιλεὺς, ὃ ἐὰν ἀρέσῃ ἐν ὀφθαλμοῖς ὑμῶν, ποιήσω· καὶ ἔστη ὁ βασιλεὺς ἀνὰ χεῖρα τῆς πύλης· καὶ πᾶς ὁ λαὸς ἐξεπορεύετο εἰς ἑκατοντάδας καὶ εἰς χιλιάδας.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 5] Καὶ ἐνετείλατο ὁ βασιλεὺς τῷ Ἰωὰβ καὶ τῷ Ἀβεσσὰ καὶ τῷ Ἐθὶ, λέγων, φείσασθέ μου τοῦ παιδαρίου τοῦ Ἀβεσσαλώμ· καὶ πᾶς ὁ λαὸς ἤκουσεν ἐντελλομένου τοῦ βασιλέως πᾶσι τοῖς ἄρχουσιν ὑπὲρ Ἀβεσσαλώμ.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 6] Καὶ ἐξῆλθε πᾶς ὁ λαὸς εἰς τὸν δρυμὸν ἐξεναντίας Ἰσραήλ· καὶ ἐγένετο ὁ πόλεμος ἐν τῷ δρυμῷ Ἐφραίμ.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 7] Καὶ ἔπταισεν ἐκεῖ ὁ λαὸς Ἰσραὴλ ἐνώπιον τῶν παίδων Δαυὶδ, καὶ ἐγένετο ἡ θραῦσις μεγάλη ἐν τῇ ἡμέρᾳ ἐκείνῃ, εἴκοσι χιλιάδες ἀνδρῶν.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 8] Καὶ ἐγένετο ἐκεῖ ὁ πόλεμος διεσπαρμένος ἐπὶ πρόσωπον πάσης τῆς γῆς· καὶ ἐπλεόνασεν ὁ δρυμὸς τοῦ καταφαγεῖν ἐκ τοῦ λαοῦ, ὑπὲρ οὓς κατέφαγεν ἐν τῷ λαῷ ἡ μάχαιρα τῇ ἡμέρᾳ ἐκαίνῃ.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 9] Καὶ συνήντησεν Ἀβεσσαλὼμ ἐνώπιον τῶν παίδων Δαυίδ· καὶ Ἀβεσσαλὼμ ἦν ἐπιβεβηκὼς ἐπὶ τοῦ ἡμιόνου αὐτοῦ, καὶ εἰσῆλθεν ὁ ἡμίονος ὑπὸ τὸ δάσος τῆς δρυὸς τῆς μεγάλης, καὶ περιεπλάκη ἡ κεφαλὴ αὐτοῦ ἐν τῇ δρυῒ, καὶ ἐκρεμάσθη ἀναμέσον τοῦ οὐρανοῦ καὶ ἀναμέσον τῆς γῆς, καὶ ὁ ἡμίονος ὑποκάτω αὐτοῦ παρῆλθε.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 10] Καὶ εἶδεν ἀνὴρ εἷς, καὶ ἀνήγγειλε τῷ Ἰωὰβ, καὶ εἶπεν, ἰδοὺ ἑώρακα τὸν Ἀβεσσαλὼμ κρεμάμενον ἐν τῇ δρυΐ.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 11] Καὶ εἶπεν Ἰωὰβ τῷ ἀνδρὶ τῇ ἀναγγέλλοντι αὐτῷ, καὶ ἰδοὺ ἑώρακας· τί ὅτι οὐκ ἐπάταξας αὐτὸν ἐκεῖ εἰς τὴν γῆν; καὶ ἐγὼ ἂν δεδώκειν σοι δέκα ἀργυρίου καὶ παραζώνην μίαν.
