[LXX | EL | OT | 2 Samuel | Chapter 1 | Verse 1] ΚΑΙ ἐγένετο μετὰ τὸ ἀποθανεῖν Σαοὺλ, καὶ Δαυὶδ ἀνέστρεψε τύπτων τὸν Ἀμαλὴκ, καὶ ἐκάθισε Δαυὶδ ἐν Σεκελὰκ ἡμέρας δύο.
[LXX | EL | OT | 2 Samuel | Chapter 1 | Verse 2] Καὶ ἐγενήθη τῇ ἡμέρᾳ τῇ τρίτῃ, καὶ ἰδοὺ ἀνὴρ ἦλθεν ἐκ τῆς παρεμβολῆς ἐκ τοῦ λαοῦ Σαοὺλ, καὶ τὰ ἱμάτια αὐτοῦ διεῤῥωγότα, καὶ γῆ ἐπὶ τῆς κεφαλῆς αὐτοῦ· καὶ ἐγένετο ἐν τῷ εἰσελθεῖν αὐτὸν πρὸς Δαυὶδ, καὶ ἔπεσεν ἐπὶ τὴν γῆν καὶ προσεκύνησεν αὐτῷ.
[LXX | EL | OT | 2 Samuel | Chapter 1 | Verse 3] Καὶ εἶπεν αὐτῷ Δαυὶδ, πόθεν σὺ παραγίνῃ; καὶ εἶπεν πρὸς αὐτὸν, ἐκ τῆς παρεμβολῆς Ἰσραὴλ ἐγὼ διασέσωσμαι.
[LXX | EL | OT | 2 Samuel | Chapter 1 | Verse 4] Καὶ εἶπεν αὐτῷ Δαυὶδ, τίς ὁ λόγος οὗτος; ἀπάγγειλόν μοι· καὶ εἶπεν, ὅτι ἔφυγεν ὁ λαὸς ἐκ τοῦ πολέμου, καὶ πεπτώκασι πολλοὶ ἐκ τοῦ λαοῦ καὶ ἀπέθανον, καὶ Σαοὺλ καὶ Ἰωνάθαν ὁ υἱὸς αὐτοῦ ἀπέθανε.
[LXX | EL | OT | 2 Samuel | Chapter 1 | Verse 5] Καὶ εἶπε Δαυὶδ τῷ παιδαρίῳ τῷ ἀπαγγελλοντι αὐτῷ, πῶς οἶδας ὅτι τέθνηκε Σαοὺλ καὶ Ἰωνάθαν ὁ υἱὸς αὐτοῦ;
[LXX | EL | OT | 2 Samuel | Chapter 1 | Verse 6] Καὶ εἶπε τὸ παιδάριον τὸ ἀπαγγέλλον αὐτῷ, περιπτώματι περιέπεσον ἐν τῷ ὄρει τῷ Γελβουὲ, καὶ ἰδοὺ Σαοὺλ ἐπεστήρικτο ἐπὶ τὸ δόρυ αὐτοῦ, καὶ ἰδοὺ τὰ ἅρματα καὶ οἱ ἱππάρχαι συνῆψαν αὐτῷ.
[LXX | EL | OT | 2 Samuel | Chapter 1 | Verse 7] Καὶ ἐπέβλεψεν ἐπὶ τὰ ὀπίσω αὐτοῦ, καὶ εἶδέ με, καὶ ἐκάλεσέ με· καὶ εἶπα, ἰδοὺ ἐγώ.
[LXX | EL | OT | 2 Samuel | Chapter 1 | Verse 8] Καὶ εἶπέ μοι, τίς εἶ σύ; καὶ εἶπα, Ἀμαληκίτης ἐγώ εἰμι.
[LXX | EL | OT | 2 Samuel | Chapter 1 | Verse 9] Καὶ εἶπε πρὸς μὲ, στῆθι δὴ ἐπάνω μου καὶ θανάτωσόν με, ὅτι κατέσχε με σκότος δεινὸν, ὅτι πᾶσα ἡ ψυχή μου ἐν ἐμοί.
[LXX | EL | OT | 2 Samuel | Chapter 1 | Verse 10] Καὶ ἐπέστην ἐπʼ αὐτὸν καὶ ἐθανάτωσα αὐτὸν, ὅτι ᾔδειν ὅτι οὐ ζήσεται μετὰ τὸ πεσεῖν αὐτόν· καὶ ἔλαβον τὸ βασίλειον τὸ ἐπὶ τὴν κεφαλὴν αὐτοῦ, καὶ τὸν χλιδόνα τὸν ἐπὶ τοῦ βραχίονος αὐτοῦ, καὶ ἐνήνοχα αὐτὰ τῷ κυρίῳ μου ὧδε.
[LXX | EL | OT | 2 Samuel | Chapter 1 | Verse 11] Καὶ ἐκράτησε Δαυὶδ τῶν ἱματίων αὐτοῦ, καὶ διέῤῥηξεν αὐτά· καὶ πάντες οἱ ἄνδρες οἱ μετʼ αὐτοῦ διέῤῥηξαν τὰ ἱμάτια αὐτῶν.
