[LXX | EL | OT | 2 Samuel | Chapter 11 | Verse 1] Καὶ ἐγένετο, ἐπιστρέψαντος τοῦ ἐνιαυτοῦ εἰς τὸν καιρὸν τῆς ἐξοδίας τῶν βασιλέων, καὶ ἀπέστειλε Δαυὶδ τὸν Ἰωὰβ, καὶ τοὺς παῖδας αὐτοῦ μετʼ αὐτοῦ, καὶ τὸν πάντα Ἰσραὴλ, καὶ διέφθειραν τοὺς υἱοὺς Ἀμμών· καὶ διεκάθισαν ἐπὶ Ῥαββάθ· καὶ Δαυὶδ ἐκάθισεν ἐν Ἱερουσαλήμ.
[LXX | EL | OT | 2 Samuel | Chapter 11 | Verse 2] Καὶ ἐγένετο πρὸς ἑσπέραν, καὶ ἀνέστη Δαυὶδ ἀπὸ τῆς κοίτης αὐτοῦ, καὶ περιεπάτει ἐπὶ τοῦ δώματος τοῦ οἴκου τοῦ βασιλέως, καὶ εἶδε γυναῖκα λουομένην ἀπὸ τοῦ δώματος, καὶ ἡ γυνὴ καλὴ τῷ εἴδει σφόδρα.
[LXX | EL | OT | 2 Samuel | Chapter 11 | Verse 3] Καὶ ἀπέστειλε Δαυὶδ, καὶ ἐζήτησε τὴν γυναῖκα, καὶ εἶπεν, οὐχὶ αὕτη Βηρσαβεὲ θυγάτηρ Ἐλιὰβ γυνὴ Οὐρίου τοῦ Χετταίου;
[LXX | EL | OT | 2 Samuel | Chapter 11 | Verse 4] Καὶ ἀπέστειλεν Δαυὶδ ἀγγέλους, καὶ ἔλαβεν αὐτὴν, καὶ εἰσῆλθε πρὸς αὐτὴν, καὶ ἐκοιμήθη μετʼ αὐτῆς· καὶ αὕτη ἁγιαζομένη ἀπὸ ἀκαθαρσίας αὐτῆς, καὶ ἀπέστρεψεν εἰς τὸν οἶκον αὐτῆς.
[LXX | EL | OT | 2 Samuel | Chapter 11 | Verse 5] Καὶ ἐν γαστρὶ ἔλαβεν ἡ γυνή· καὶ ἀποστείλασα ἀπήγγειλε τῷ Δαυὶδ, καὶ εἶπεν, ἐγώ εἰμι ἐν γαστρὶ ἔχω.
[LXX | EL | OT | 2 Samuel | Chapter 11 | Verse 6] Καὶ ἀπέστειλε Δαυὶδ πρὸς Ἰωὰβ, λέγων, ἀπόστειλον πρὸς μὲ τὸν Οὐρίαν τὸν Χετταῖον· καὶ ἀπέστειλεν Ἰωὰβ τὸν Οὐρίαν πρὸς Δαυίδ.
[LXX | EL | OT | 2 Samuel | Chapter 11 | Verse 7] Καὶ παραγίνεται Οὐρίας καὶ εἰσῆλθε πρὸς αὐτὸν, καὶ ἐπηρώτησε Δαυὶδ εἰς εἰρήνην Ἰωὰβ, καὶ εἰς εἰρήνην τοῦ λαοῦ, καὶ εἰς εἰρήνην τοῦ πολέμου.
[LXX | EL | OT | 2 Samuel | Chapter 11 | Verse 8] Καὶ εἶπε Δαυὶδ τῷ Οὐρίᾳ, Κατάβηθι εἰς τὸν οἶκόν σου, καὶ νίψαι τοὺς πόδας σου· καὶ ἐξῆλθεν Οὐρίας ἐξ οἴκου τοῦ βασιλέως, καὶ ἐξῆλθεν ὀπίσω αὐτοῦ ἄρσις τοῦ βασιλέως.
[LXX | EL | OT | 2 Samuel | Chapter 11 | Verse 9] Καὶ ἐκοιμήθη Οὐρίας παρὰ τῇ θύρᾳ τοῦ βασιλέως μετὰ τῶν δούλων τοῦ κυρίου αὐτοῦ, καὶ οὐ κατέβη εἰς τὸν οἶκον αὐτοῦ.
[LXX | EL | OT | 2 Samuel | Chapter 11 | Verse 10] Καὶ ἀνήγγειλαν τῷ Δαυὶδ, λέγοντες, ὅτι Οὐ κατέβη Οὐρίας εἰς τὸν οἶκον αὐτοῦ· καὶ εἶπε Δαυὶδ πρὸς Οὐρίαν, οὐχὶ ἐξ ὁδοῦ σὺ ἔρχῃ; τί ὅτι οὐ κατέβης εἰς τὸν οἶκόν σου;
[LXX | EL | OT | 2 Samuel | Chapter 11 | Verse 11] Καὶ εἶπεν Οὐρίας πρὸς Δαυὶδ, ἡ κιβωτὸς, καὶ Ἰσραὴλ, καὶ Ἰούδας κατοικοῦσιν ἐν σκηναῖς, καὶ ὁ κύριός μου Ἰωὰβ, καὶ οἱ δοῦλοι τοῦ κυρίου μου ἐπὶ πρόσωπον τοῦ ἀγροῦ παρεμβάλλουσι, καὶ ἐγὼ εἰσελεύσομαι εἰς τὸν οἶκόν μου τοῦ φαγεῖν, καὶ πιεῖν, καὶ κοιμηθῆναι μετὰ τῆς γυναικός μου; πῶς; ζῇ ἡ ψυχή σου, εἰ ποιήσω τὸ ῥῆμα τοῦτο.
