[LXX | EL | OT | 2 Samuel | Chapter 9 | Verse 1] Καὶ εἶπε Δαυὶδ, εἰ ἔστιν ἔτι ὑπολελειμμένος ἐν τῷ οἴκῳ Σαοὺλ, καὶ ποιήσω μετʼ αὐτοῦ ἔλεος ἕνεκεν Ἰωνάθαν;
[LXX | EL | OT | 2 Samuel | Chapter 9 | Verse 2] Καὶ ἐκ τοῦ οἴκου Σαοὺλ ἦν παῖς, καὶ ὄνομα αὐτῷ Σιβά· καὶ καλοῦσιν αὐτὸν πρὸς Δαυίδ· καὶ εἶπε πρὸς αὐτὸν ὁ βασιλεὺς, σὺ εἶ Σιβά; καὶ εἶπεν, ἐγὼ δοῦλος σός.
[LXX | EL | OT | 2 Samuel | Chapter 9 | Verse 3] Καὶ εἶπεν ὁ βασιλεὺς, εἰ ὑπολέλειπται ἐκ τοῦ οἴκου Σαοὺλ ἔτι ἀνὴρ, καὶ ποιήσω μετʼ αὐτοῦ ἔλεος Θεοῦ; καὶ εἶπε Σιβὰ πρὸς τὸν βασιλέα, ἔτι ἐστὶν υἱὸς τῷ Ἰωνάθαν πεπληγὼς τοὺς πόδας.
[LXX | EL | OT | 2 Samuel | Chapter 9 | Verse 4] Καὶ εἶπεν ὁ βασιλεὺς, ποῦ οὗτος; καὶ εἶπε Σιβὰ πρὸς τὸν βασιλέα, ἰδοὺ ἐν οἴκῳ Μαχεὶρ υἱοῦ Ἀμιὴλ ἐκ τῆς Λοδάβαρ.
[LXX | EL | OT | 2 Samuel | Chapter 9 | Verse 5] Καὶ ἀπέστειλεν ὁ βασιλεὺς Δαυὶδ, καὶ ἔλαβεν αὐτὸν ἐκ τοῦ οἴκου Μαχὶρ υἱοῦ Ἀμιὴλ ἐκ τῆς Λαδάβαρ.
[LXX | EL | OT | 2 Samuel | Chapter 9 | Verse 6] Καὶ παραγίνεται Μεμφιβοσθὲ υἱὸς Ἰωνάθαν υἱοῦ Σαοὺλ πρὸς τὸν βασιλέα Δαυίδ, καὶ ἔπεσεν ἐπὶ πρόσωπον αὐτοῦ, καὶ προσεκύνησεν αὐτῷ· καὶ εἶπεν αὐτῷ Δαυίδ, Μεμφιβοσθέ; καὶ εἶπεν, ἰδοὺ ὁ δοῦλός σου.
[LXX | EL | OT | 2 Samuel | Chapter 9 | Verse 7] Καὶ εἶπεν αὐτῷ Δαυίδ, μὴ φοβοῦ, ὅτι ποιῶν ποιήσω μετὰ σοῦ ἔλεος διὰ Ἰωνάθαν τὸν πατέρα σου, καὶ ἀποκαταστήσω σοι πάντα ἀγρὸν Σαοὺλ πατρὸς τοῦ πατρός σου, καὶ σὺ φαγῃ ἄρτον ἐπὶ τῆς τραπέζης μου διαπαντός.
[LXX | EL | OT | 2 Samuel | Chapter 9 | Verse 8] Καὶ προσεκύνησε Μεμφιβοσθὲ, καὶ εἶπε, τίς εἰμι ὁ δοῦλός σου, ὅτι ἐπέβλεψας ἐπὶ τὸν κύνα τὸν τεθνηκότα τὸν ὅμοιον ἐμοί;
[LXX | EL | OT | 2 Samuel | Chapter 9 | Verse 9] Καὶ ἐκάλεσεν ὁ βασιλεὺς Σιβὰ τὸ παιδάριον Σαοὺλ, καὶ εἶπε πρὸς αὐτὸν, πάντα ὅσα ἐστὶ τῷ Σαοὺλ καὶ ὅλῳ τῷ οἴκῳ αὐτοῦ δέδωκα τῷ υἱῷ τοῦ κυρίου σου.
[LXX | EL | OT | 2 Samuel | Chapter 9 | Verse 10] Καὶ ἐργᾷ αὐτῷ τὴν γῆν σὺ, καὶ οἱ υἱοί σου, καὶ οἱ δοῦλοί σου, καὶ εἰσοίσεις τῷ υἱῷ τοῦ κυρίου σου ἄρτους, καὶ ἔδεται ἄρτους· καὶ Μεμφιβοσθὲ υἱὸς τοῦ κυρίου σου φάγεται διαπαντὸς ἄρτον ἐπὶ τῆς τραπέζης μου· καὶ τῷ Σιβᾷ ἦσαν πεντεκαίδεκα υἱοὶ, καὶ εἴκοσι δοῦλοι.
[LXX | EL | OT | 2 Samuel | Chapter 9 | Verse 11] Καὶ εἶπε Σιβὰ πρὸς τὸν βασιλέα, κατὰ πάντα ὅσα ἐντέταλται ὁ κύριός μου ὁ βασιλεὺς τῷ δούλῳ αὐτοῦ, οὕτως ποιήσει ὁ δοῦλός σου· καὶ Μεμφιβοσθὲ ἤσθιεν ἐπὶ τῆς τραπέζης Δαυὶδ καθὼς εἷς τῶν υἱῶν αὐτοῦ τοῦ βασιλέως.
[LXX | EL | OT | 2 Samuel | Chapter 9 | Verse 12] Καὶ τῷ Μεμφιβοσθὲ υἱὸς μικρὸς ἦν, καὶ ὄνομα αὐτῷ Μιχά· καὶ πᾶσα ἡ κατοίκησις τοῦ οἴκου Σιβὰ δοῦλοι τοῦ Μεμφιβοσθέ.
[LXX | EL | OT | 2 Samuel | Chapter 9 | Verse 13] Καὶ Μεμφιβοσθὲ κατῴκει ἐν Ἱερουσαλὴμ, ὅτι ἐπὶ τῆς τραπέζης τοῦ βασιλέως αὐτὸς διαπαντὸς ἤσθιε, καὶ αὐτὸς ἦν χωλὸς ἀμφοτέροις τοῖς ποσὶν αὐτοῦ.
