[LXX | EL | OT | 2 Samuel | Chapter 4 | Verse 1] Καὶ ἤκουσεν Ἰεβοσθὲ υἱὸς Σαοὺλ, ὅτι τέθνηκεν Ἀβεννὴρ υἱὸς Νὴρ ἐν Χεβρὼν, καὶ ἐξελύθησαν αἱ χεῖρες αὐτοῦ, καὶ πάντες οἱ ἄνδρες Ἰσραὴλ παρείθησαν.
[LXX | EL | OT | 2 Samuel | Chapter 4 | Verse 2] Καὶ δύο ἄνδρες ἡγούμενοι συστρεμμάτων τῷ Ἰεβοσθὲ υἱῷ Σαούλ· ὄνομα τῷ ἑνὶ Βαανὰ, καὶ ὄνομα τῷ δευτέρῳ Ῥηχὰβ, υἱοὶ Ῥεμμὼν τοῦ Βηρωθαίου ἐκ τῶν υἱῶν Βενιαμίν· ὅτι Βηρὼθ ἐλογίζετο τοῖς υἱοῖς Βενιαμίν·
[LXX | EL | OT | 2 Samuel | Chapter 4 | Verse 3] Καὶ ἀπέδρασαν οἱ Βηρωθαῖοι εἰς Γεθαὶμ, καὶ ἦσαν ἐκεῖ παροικοῦντες ἕως τῆς ἡμέρας ταύτης.
[LXX | EL | OT | 2 Samuel | Chapter 4 | Verse 4] Καὶ τῷ Ἰωνάθαν υἱῷ Σαοὺλ υἱὸς πεπληγὼς τοὺς πόδας υἱὸς ἐτῶν πέντε, καὶ οὗτος ἐν τῷ ἐλθεῖν τὴν ἀγγελίαν Σαοὺλ καὶ Ἰωνάθαν τοῦ υἱοῦ αὐτοῦ ἐξ Ἰεζραὴλ, καὶ ᾖρεν αὐτὸν ἡ τιθηνὸς αὐτοῦ, καὶ ἔφυγε· καὶ ἐγένετο ἐν τῷ σπεύδειν αὐτὸν καὶ ἀναχωρεῖν, καὶ ἔπεσε καὶ ἐχωλάνθη, καὶ ὄνομα αὐτῷ Μεμφιβοσθέ.
[LXX | EL | OT | 2 Samuel | Chapter 4 | Verse 5] Καὶ ἐπορεύθησαν υἱοὶ Ῥεμμὼν τοῦ Βηρωθαίου Ῥηχὰβ καὶ Βαανὰ, καὶ εἰσῆλθον εν τῷ καύματι τῆς ἡμέρας εἰς οἶκον Ἰεβοσθὲ, καὶ αὐτὸς ἐκάθευδεν ἐν τῇ κοίτῃ τῆς μεσημβρίας.
[LXX | EL | OT | 2 Samuel | Chapter 4 | Verse 6] Καὶ ἰδοὺ ἡ θυρωρὸς τοῦ οἴκου ἐκάθαιρε πυροὺς, καὶ ἐνύσταξε καὶ ἐκάθευδε· καὶ Ῥηχὰβ καὶ Βαανὰ οἱ ἀδελφοὶ διέλαθον,
[LXX | EL | OT | 2 Samuel | Chapter 4 | Verse 7] καὶ εἰσῆλθον εἰς τὸν οἶκον· καὶ Ἰεβοσθὲ ἐκάθευδεν ἐπὶ τῆς κλίνης αὐτοῦ ἐν τῷ κοιτῶνι αὐτοῦ· καὶ τύπτουσιν αὐτὸν, καὶ θανατοῦσιν αὐτὸν, καὶ ἀφαιροῦσι τὴν κεφαλὴν αὐτοῦ· καὶ ἔλαβον τὴν κεφαλὴν αὐτοῦ, καὶ ἀπῆλθον ὁδὸν τὴν κατὰ δυσμὰς ὅλην τὴν νύκτα.
[LXX | EL | OT | 2 Samuel | Chapter 4 | Verse 8] Καὶ ἤνεγκαν τὴν κεφαλὴν Ἰεβοσθὲ τῷ Δαυὶδ εἰς Χεβρὼν, καὶ εἶπον πρὸς τὸν βασιλέα, ἰδοὺ ἡ κεφαλὴ Ἰεβοσθὲ υἱοῦ Σαοὺλ τοῦ ἐχθροῦ σου, ὃς ἐζήτει τὴν ψυχήν σου, καὶ ἔδωκε Κύριος τῷ κυρίῳ βασιλεῖ ἐκδίκησιν τῶν ἐχθρῶν αὐτοῦ, ὡς ἡ ἡμέρα αὕτη, ἐκ Σαοὺλ τοῦ ἐχθροῦ σου καὶ ἐκ τοῦ σπέρματος αὐτοῦ.
[LXX | EL | OT | 2 Samuel | Chapter 4 | Verse 9] Καὶ ἀπεκρίθη Δαυὶδ τῷ Ῥηχὰβ καὶ τῷ Βαανὰ ἀδελφῷ αὐτοῦ υἱοῖς Ῥεμμὼν τοῦ Βηρωθαίου, καὶ εἶπεν αὐτοῖς, ζῇ Κύριος, ὃς ἐλυτρώσατο τὴν ψυχήν μου ἐκ πάσης θλίψεως, ὅτι ὁ ἀπαγγείλας μοι ὅτι τέθνηκε Σαοὺλ,
[LXX | EL | OT | 2 Samuel | Chapter 4 | Verse 10] καὶ αὐτὸς ἦν ὡς εὐαγγελιζόμενος ἐνώπιόν μου, καὶ κατέσχον αὐτὸν καὶ ἀπέκτεινα αὐτὸν ἐν Σεκελὰκ, ᾧ ἔδει με δοῦναι εὐαγγέλια.
[LXX | EL | OT | 2 Samuel | Chapter 4 | Verse 11] Καὶ νῦν ἄνδρες πονηροὶ ἀπεκτάγκασιν ἄνδρα δίκαιον ἐν τῷ οἴκῳ αὐτοῦ ἐπὶ τῆς κοίτης αὐτοῦ· καὶ νῦν ἐκζητήσω τὸ αἷμα αὐτοῦ ἐκ χειρὸς ὑμῶν, καὶ ἐξολοθρεύσω ὑμᾶς ἐκ τῆς γῆς.
