[ERV | EN | NT | Revelation | Chapter 16 | Verse 1] And I heard a great voice out of the temple, saying to the seven angels, Go ye, and pour out the seven bowls of the wrath of God into the earth.
[ERV | EN | NT | Revelation | Chapter 16 | Verse 2] And the first went, and poured out his bowl into the earth; and it became a noisome and grievous sore upon the men which had the mark of the beast, and which worshipped his image.
[ERV | EN | NT | Revelation | Chapter 16 | Verse 3] And the second poured out his bowl into the sea; and it became blood as of a dead man; and every living soul died, even the things that were in the sea.
[ERV | EN | NT | Revelation | Chapter 16 | Verse 4] And the third poured out his bowl into the rivers and the fountains of the waters; and it became blood.
[ERV | EN | NT | Revelation | Chapter 16 | Verse 5] And I heard the angel of the waters saying, Righteous art thou, which art and which wast, thou Holy One, because thou didst thus judge:
[ERV | EN | NT | Revelation | Chapter 16 | Verse 6] for they poured out the blood of saints and prophets, and blood hast thou given them to drink: they are worthy.
[ERV | EN | NT | Revelation | Chapter 16 | Verse 7] And I heard the altar saying, Yea, O Lord God, the Almighty, true and righteous are thy judgments.
[ERV | EN | NT | Revelation | Chapter 16 | Verse 8] And the fourth poured out his bowl upon the sun; and it was given unto it to scorch men with fire.
[ERV | EN | NT | Revelation | Chapter 16 | Verse 9] And men were scorched with great heat: and they blasphemed the name of the God which hath the power over these plagues; and they repented not to give him glory.
[ERV | EN | NT | Revelation | Chapter 16 | Verse 10] And the fifth poured out his bowl upon the throne of the beast; and his kingdom was darkened; and they gnawed their tongues for pain,
[ERV | EN | NT | Revelation | Chapter 16 | Verse 11] and they blasphemed the God of heaven because of their pains and their sores; and they repented not of their works.
[ERV | EN | NT | Revelation | Chapter 16 | Verse 12] And the sixth poured out his bowl upon the great river, the river Euphrates; and the water thereof was dried up, that the way might be made ready for the kings that come from the sunrising.
[ERV | EN | NT | Revelation | Chapter 16 | Verse 13] And I saw coming out of the mouth of the dragon, and out of the mouth of the beast, and out of the mouth of the false prophet, three unclean spirits, as it were frogs:
[ERV | EN | NT | Revelation | Chapter 16 | Verse 14] for they are spirits of devils, working signs; which go forth unto the kings of the whole world, to gather them together unto the war of the great day of God, the Almighty.
[ERV | EN | NT | Revelation | Chapter 16 | Verse 15] ( Behold, I come as a thief. Blessed is he that watcheth, and keepeth his garments, lest he walk naked, and they see his shame.)
[ERV | EN | NT | Revelation | Chapter 16 | Verse 16] And they gathered them together into the place which is called in Hebrew Har-Magedon.
[ERV | EN | NT | Revelation | Chapter 16 | Verse 17] And the seventh poured out his bowl upon the air; and there came forth a great voice out of the temple, from the throne, saying, It is done:
[ERV | EN | NT | Revelation | Chapter 16 | Verse 18] and there were lightnings, and voices, and thunders; and there was a great earthquake, such as was not since there were men upon the earth, so great an earthquake, so mighty.
[ERV | EN | NT | Revelation | Chapter 16 | Verse 19] And the great city was divided into three parts, and the cities of the nations fell: and Babylon the great was remembered in the sight of God, to give unto her the cup of the wine of the fierceness of his wrath.
[ERV | EN | NT | Revelation | Chapter 16 | Verse 20] And every island fled away, and the mountains were not found.
[ERV | EN | NT | Revelation | Chapter 16 | Verse 21] And great hail, every stone about the weight of a talent, cometh down out of heaven upon men: and men blasphemed God because of the plague of the hail; for the plague thereof is exceeding great.
