[DRA | EN | OT | Genesis | Chapter 10 | Verse 1] These are the generations of the sons of Noe: Sem, Cham, and Japheth: and unto them sons were born after the flood.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 2] The sons of Japheth: Gomer, and Magog, and Madai, and Javan, and Thubal, and Mosoch, and Thiras.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 3] And the sons of Gomer: Ascenez and Riphath and Thogorma.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 4] And the sons of Javan: Elisa and Tharsis, Cetthim and Dodanim.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 5] By these were divided the islands of the Gentiles in their lands, every one according to his tongue and their families in their nations.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 6] And the sons of Cham: Chus, and Mesram, and Phuth, and Chanaan.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 7] And the sons of Chus: Saba, and Hevila, and Sabatha, and Regma, and Sabatacha. The sons of Regma: Saba and Dadan.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 8] Now Chus begot Nemrod: he began to be mighty on the earth.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 9] And he was a stout hunter before the Lord. Hence came a proverb: Even as Nemrod the stout hunter before the Lord.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 10] And the beginning of his kingdom was Babylon, and Arach, and Achad, and Chalanne in the land of Sennaar.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 11] Out of that land came forth Assur, and built Ninive, and the streets of the city, and Chale.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 12] Resen also between Ninive and Chale: this is the great city.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 13] And Mesraim begot Ludim, and Anamim, and Laabim, Nepthuim,
[DRA | EN | OT | Genesis | Chapter 10 | Verse 14] And Phetrusim, and Chasluim; of whom came forth the Philistines, and the Capthorim.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 15] And Chanaan begot Sidon, his firstborn, the Hethite,
[DRA | EN | OT | Genesis | Chapter 10 | Verse 16] And the Jebusite, and the Amorrhite, and the Gergesite,
[DRA | EN | OT | Genesis | Chapter 10 | Verse 17] The Hevite and the Aracite: the Sinite,
[DRA | EN | OT | Genesis | Chapter 10 | Verse 18] And the Aradian, the Samarite, and the Hamathite: and afterwards the families of the Chanaanites were spread abroad.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 19] And the limits of Chanaan were from Sidon as one comes to Gerara even to Gaza, until thou enter Sodom and Gomorrha, and Adama, and Seboim even to Lesa.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 20] These are the children of Cham in their kindreds, and tongues, and generations, and lands, and nations.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 21] Of Sem also, the father of all the children of Heber, the elder brother of Japheth, sons were born.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 22] The sons of Sem: Elam and Assur, and Arphaxad, and Lud, and Aram.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 23] The sons of Aram: Us and Hull, and Gether, and Mess.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 24] But Arphaxad begot Sale, of whom was born Heber.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 25] And to Heber were born two sons: the name of the one was Phaleg, because in his days the earth was divided: and his brother’s name Jectan.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 26] Which Jectan begot Elmodad, and Saleph, and Asarmoth, Jare,
[DRA | EN | OT | Genesis | Chapter 10 | Verse 27] And Aduram, and Uzal, and Decla,
[DRA | EN | OT | Genesis | Chapter 10 | Verse 28] And Ebal, and Abimael, Saba,
[DRA | EN | OT | Genesis | Chapter 10 | Verse 29] And Ophir, and Hevila, and Jobab. All these were the sons of Jectan.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 30] And their dwelling was from Messa as we go on as far as Sephar, a mountain in the east.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 31] These are the children of Sem according to their kindreds and tongues, and countries in their nations.
[DRA | EN | OT | Genesis | Chapter 10 | Verse 32] These are the families of Noe, according to their peoples and nations. By these were the nations divided on the earth after the flood.
