[DRA | EN | OT | Genesis | Chapter 24 | Verse 1] Now Abraham was old; and advanced in age: and the Lord had blessed him in all things.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 2] And he said to the elder servant of his house, who was ruler over all he had: Put thy hand under my thigh,
[DRA | EN | OT | Genesis | Chapter 24 | Verse 3] That I may make thee swear by the Lord the God of heaven and earth, that thou take not a wife for my son, of the daughters of the Chanaanites, among whom I dwell:
[DRA | EN | OT | Genesis | Chapter 24 | Verse 4] But that thou go to my own country and kindred, and take a wife from thence for my son Isaac.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 5] The servant answered: If the woman will not come with me into this land, must I bring thy son back again to the place, from whence thou camest out?
[DRA | EN | OT | Genesis | Chapter 24 | Verse 6] And Abraham said: Beware thou never bring my son back again thither.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 7] The Lord God of heaven, who took me out of my father’s house, and out of my native country, who spoke to me, and swore to me, saying: To thy seed will I give this land: he will send his angel before thee, and thou shalt take from thence a wife for my son.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 8] But if the woman will not follow thee, thou shalt not be bound by the oath; only bring not my son back thither again.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 9] The servant therefore put his hand under the thigh of Abraham his lord, and swore to him upon this word.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 10] And he took ten camels of his master’s herd, and departed, carrying something of all his goods with him, and he set forward and went on to Mesopotamia to the city of Nachor.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 11] And when he had made the camels lie down without the town near a well of water in the evening, at the time when women are wont to come out to draw water, he said:
[DRA | EN | OT | Genesis | Chapter 24 | Verse 12] O Lord the God of my master Abraham, meet me today, I beseech thee, and show kindness to my master Abraham.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 13] Behold I stand nigh the spring of water, and the daughters of the inhabitants of this city will come out to draw water.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 14] Now, therefore, the maid to whom I shall say: Let down thy pitcher that I may drink: and she shall answer, Drink, and I will give thy camels drink also: let it be the same whom thou hast provided for thy servant Isaac: and by this I shall understand, that thou hast shown kindness to my master.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 15] He had not yet ended these words within himself, and behold Rebecca came out, the daughter of Bathuel, son of Melcha, wife to Nachor the brother of Abraham, having a pitcher on her shoulder:
[DRA | EN | OT | Genesis | Chapter 24 | Verse 16] An exceeding comely maid, and a most beautiful virgin, and not known to man: and she went down to the spring, and filled her pitcher and was coming back.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 17] And the servant ran to meet her, and said: Give me a little water to drink of thy pitcher.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 18] And she answered: Drink, my lord. And quickly she let down the pitcher upon her arm, and gave him drink.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 19] And when he had drunk, she said: I will draw water for thy camels also, till they all drink.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 20] And pouring out the pitcher into the troughs, she ran back to the well to draw water: and having drawn she gave to all the camels.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 21] But he musing beheld her with silence, desirous to know whether the Lord had made his journey prosperous or not.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 22] And after that the camels had drunk, the man took out golden earrings, weighing two sicles: and as many bracelets of ten sicles weight.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 23] And he said to her: Whose daughter art thou? tell me: is there any place in thy father’s house to lodge?
[DRA | EN | OT | Genesis | Chapter 24 | Verse 24] And she answered: I am the daughter of Bathuel, the son of Melcha, whom she bore to Nachor.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 25] And she said moreover to him: We have good store of both straw and hay, and a large place to lodge in.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 26] The man bowed himself down, and adored the Lord,
[DRA | EN | OT | Genesis | Chapter 24 | Verse 27] Saying: Blessed be the Lord God of my master Abraham, who hath not taken away his mercy and truth from my master, and hath brought me the straight way into the house of my master’s brother.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 28] Then the maid ran, and told in her mother’s house, all that she had heard.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 29] And Rebecca had a brother named Laban, who went out in haste to the man, to the well.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 30] And when he had seen the earrings and bracelets in his sister’s hands, and had heard all that she related, saying: Thus and thus the man spoke to me: he came to the man who stood by the camels, and near to the spring of water,
[DRA | EN | OT | Genesis | Chapter 24 | Verse 31] And said to him: Come in, thou blessed of the Lord: why standest thou without? I have prepared the house, and a place for the camels.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 32] And he brought him in into his lodging: and he unharnessed the camels and gave straw and hay, and water to wash his feet, and the feet of the men that were come with him.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 33] And bread was set before him. But he said: I will not eat, till I tell my message. He answered him: Speak.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 34] And he said: I am the servant of Abraham:
[DRA | EN | OT | Genesis | Chapter 24 | Verse 35] And the Lord hath blessed my master wonderfully, and he is become great: and he hath given him sheep and oxen, silver and gold, men servants and women servants, camels and asses.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 36] And Sara my master’s wife hath borne my master a son in her old age, and he hath given him all that he had.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 37] And my master made me swear, saying: Thou shalt not take a wife for my son of the Chanaanites, in whose land I dwell:
[DRA | EN | OT | Genesis | Chapter 24 | Verse 38] But thou shalt go to my father’s house, and shalt take a wife of my own kindred for my son:
[DRA | EN | OT | Genesis | Chapter 24 | Verse 39] But I answered my master: What if the woman will not come with me?
[DRA | EN | OT | Genesis | Chapter 24 | Verse 40] The Lord, said he, in whose sight I walk, will send his angel with thee, and will direct thy way: and thou shalt take a wife for my son of my own kindred, and of my father’s house.
