[DRA | EN | OT | Genesis | Chapter 6 | Verse 1] And after that men began to be multiplied upon the earth, and daughters were born to them,
[DRA | EN | OT | Genesis | Chapter 6 | Verse 2] The sons of God seeing the daughters of men, that they were fair, took to themselves wives of all which they chose.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 3] And God said: My spirit shall not remain in man for ever, because he is flesh, and his days shall be a hundred and twenty years.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 4] Now giants were upon the earth in those days. For after the sons of God went in to the daughters of men, and they brought forth children, these are the mighty men of old, men of renown.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 5] And God seeing that the wickedness of men was great on the earth, and that all the thought of their heart was bent upon evil at all times,
[DRA | EN | OT | Genesis | Chapter 6 | Verse 6] It repented him that he had made man on the earth. And being touched inwardly with sorrow of heart,
[DRA | EN | OT | Genesis | Chapter 6 | Verse 7] He said: I will destroy man, whom I have created, from the face of the earth, from man even to beasts, from the creeping thing even to the fowls of the air, for it repenteth me that I have made them.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 8] But Noe found grace before the Lord.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 9] These are the generations of Noe: Noe was a just and perfect man in his generations, he walked with God.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 10] And he begot three sons, Sem, Cham, and Japheth.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 11] And the earth was corrupted before God, and was filled with iniquity.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 12] And when God had seen that the earth was corrupted (for all flesh had corrupted its way upon the earth,)
[DRA | EN | OT | Genesis | Chapter 6 | Verse 13] He said to Noe: The end of all flesh is come before me, the earth is filled with iniquity through them, and I will destroy them with the earth.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 14] Make thee an ark of timber planks: thou shalt make little rooms in the ark, and thou shalt pitch it within and without.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 15] And thus shalt thou make it: The length of the ark shall be three hundred cubits: the breadth of it fifty cubits, and the height of it thirty cubits.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 16] Thou shalt make a window in the ark, and in a cubit shalt thou finish the top of it: and the door of the ark thou shalt set in the side: with lower, middle chambers, and third stories shalt thou make it.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 17] Behold I will bring the waters of a great flood upon the earth, to destroy all flesh, wherein is the breath of life, under heaven. All things that are in the earth shall be consumed.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 18] And I will establish my covenant with thee, and thou shalt enter into the ark, thou and thy sons, and thy wife, and the wives of thy sons with thee.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 19] And of every living creature of all flesh, thou shalt bring two of a sort into the ark, that they may live with thee: of the male sex, and the female.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 20] Of fowls according to their kind, and of beasts in their kind, and of every thing that creepeth on the earth according to its kind; two of every sort shall go in with thee, that they may live.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 21] Thou shalt take unto thee of all food that may be eaten, and thou shalt lay it up with thee: and it shall be food for thee and them.
[DRA | EN | OT | Genesis | Chapter 6 | Verse 22] And Noe did all things which God commanded him.
