[DRA | EN | OT | Genesis | Chapter 46 | Verse 1] And Israel taking his journey, with all that he had, came to the well of the oath, and killing victims there to the God of his father Isaac,
[DRA | EN | OT | Genesis | Chapter 46 | Verse 2] He heard him by a vision in the night calling him, and saying to him: Jacob, Jacob. And he answered him: Lo, here I am.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 3] God said to him: I am the most mighty God of thy father: fear not, go down into Egypt, for I will make a great nation of thee there.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 4] I will go down with thee thither, and will bring thee back again from thence: Joseph also shall put his hands upon thy eyes.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 5] And Jacob rose up from the well of the oath: and his sons took him up, with their children and wives in the wagons, which Pharao had sent to carry the old man,
[DRA | EN | OT | Genesis | Chapter 46 | Verse 6] And all that he had in the land of Chanaan, and he came into Egypt with all his seed:
[DRA | EN | OT | Genesis | Chapter 46 | Verse 7] His sons, and grandsons, daughters, and all his offspring together.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 8] And these are the names of the children of Israel, that entered into Egypt, he and his children. His firstborn Ruben,
[DRA | EN | OT | Genesis | Chapter 46 | Verse 9] The sons of Ruben: Henoch and Phallu, and Hesron and Charmi.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 10] The sons of Simeon: Jamuel and Jamin and Ahod, and Jachin and Sohar, and Saul the son of a woman of Chanaan.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 11] The sons of Levi: Gerson and Caath and Merari.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 12] The sons of Juda: Her and Onan and Sela and Phares and Zara. And Her and Onan died in the land of Chanaan. And sons were born to Phares: Hesron and Hamul.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 13] The sons of Issachar: Thola and Phua and Job and Semron.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 14] The sons of Zabulon: Sared and Elon and Jahelel.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 15] These are the sons of Lia, whom she bore in Mesopotamia of Syria, with Dina his daughter. All the souls of her sons and daughters, thirty-three.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 16] The sons of Gad: Sephian and Haggi and Suni and Esebon and Heri and Arodi and Areli.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 17] The sons of Aser: Jamne and Jesua and Jessuri and Beria, and Sara their sister. The sons of Beria: Heber and Melchiel.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 18] These are the sons of Zelpha, whom Laban gave to Lia his daughter. And these she bore to Jacob, sixteen souls.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 19] The sons of Rachel Jacob’s wife: Joseph and Benjamin.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 20] And sons were born to Joseph, in the land of Egypt, whom Aseneth the daughter of Putiphare priest of Heliopolis bore him: Manasses and Ephraim.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 21] The sons of Benjamin: Bela and Bechor and Asbel and Gera and Naaman and Echi and Ros and Mophim and Ophim and Ared.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 22] These are the sons of Rachel, whom she bore to Jacob: all the souls, fourteen.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 23] The sons of Dan: Husim.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 24] The sons of Nephtali: Jaziel and Guni and Jeser and Sallem.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 25] These are the sons of Bala, whom Laban gave to Rachel his daughter: and these she bore to Jacob: all the souls, seven.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 26] All the souls that went with Jacob into Egypt, and that came out of his thigh, besides his sons’ wives, sixty-six.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 27] And the sons of Joseph, that were born to him in the land of Egypt, two souls. All the souls of the house of Jacob, that entered into Egypt, were seventy.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 28] And he sent Juda before him to Joseph, to tell him; and that he should meet him in Gessen.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 29] And when he was come thither, Joseph made ready his chariot, and went up to meet his father, in the same place: and seeing him, he fell upon his neck, and embracing him wept.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 30] And the father said to Joseph: Now shall I die with joy, because I have seen thy face, and leave thee alive.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 31] And Joseph said to his brethren, and to all his father’s house: I will go up, and will tell Pharao, and will say to him: My brethren and my father’s house, that were in the land of Chanaan, are come to me:
[DRA | EN | OT | Genesis | Chapter 46 | Verse 32] And the men are shepherds, and their occupation is to feed cattle: their flocks and herds, and all they have, they have brought with them.
[DRA | EN | OT | Genesis | Chapter 46 | Verse 33] And when he shall call you, and shall say: What is your occupation?
[DRA | EN | OT | Genesis | Chapter 46 | Verse 34] You shall answer: We thy servants are shepherds, from our infancy until now, both we and our fathers. And this you shall say, that you may dwell in the land of Gessen, because the Egyptians have all shepherds in abomination.
