[WEB | EN | OT | Psalms | Chapter 17 | Verse 1] Hear, LORD, my righteous plea. Give ear to my prayer that doesn’t go out of deceitful lips.
[WEB | EN | OT | Psalms | Chapter 17 | Verse 2] Let my sentence come out of your presence. Let your eyes look on equity.
[WEB | EN | OT | Psalms | Chapter 17 | Verse 3] You have proved my heart. You have visited me in the night. You have tried me, and found nothing. I have resolved that my mouth shall not disobey.
[WEB | EN | OT | Psalms | Chapter 17 | Verse 4] As for the deeds of men, by the word of your lips, I have kept myself from the ways of the violent.
[WEB | EN | OT | Psalms | Chapter 17 | Verse 5] My steps have held fast to your paths. My feet have not slipped.
[WEB | EN | OT | Psalms | Chapter 17 | Verse 6] I have called on you, for you will answer me, God. Turn your ear to me. Hear my speech.
[WEB | EN | OT | Psalms | Chapter 17 | Verse 7] Show your marvelous loving kindness, you who save those who take refuge by your right hand from their enemies.
[WEB | EN | OT | Psalms | Chapter 17 | Verse 8] Keep me as the apple of your eye. Hide me under the shadow of your wings,
[WEB | EN | OT | Psalms | Chapter 17 | Verse 9] from the wicked who oppress me, my deadly enemies, who surround me.
[WEB | EN | OT | Psalms | Chapter 17 | Verse 10] They close up their callous hearts. With their mouth they speak proudly.
[WEB | EN | OT | Psalms | Chapter 17 | Verse 11] They have now surrounded us in our steps. They set their eyes to cast us down to the earth.
[WEB | EN | OT | Psalms | Chapter 17 | Verse 12] He is like a lion that is greedy of his prey, as it were a young lion lurking in secret places.
[WEB | EN | OT | Psalms | Chapter 17 | Verse 13] Arise, LORD, confront him. Cast him down. Deliver my soul from the wicked by your sword,
[WEB | EN | OT | Psalms | Chapter 17 | Verse 14] from men by your hand, LORD, from men of the world, whose portion is in this life. You fill the belly of your cherished ones. Your sons have plenty, and they store up wealth for their children.
[WEB | EN | OT | Psalms | Chapter 17 | Verse 15] As for me, I shall see your face in righteousness. I shall be satisfied, when I awake, with seeing your form.
