[WEB | EN | OT | Psalms | Chapter 91 | Verse 1] He who dwells in the secret place of the Most High will rest in the shadow of the Almighty.
[WEB | EN | OT | Psalms | Chapter 91 | Verse 2] I will say of the LORD, “He is my refuge and my fortress; my God, in whom I trust.”
[WEB | EN | OT | Psalms | Chapter 91 | Verse 3] For he will deliver you from the snare of the fowler, and from the deadly pestilence.
[WEB | EN | OT | Psalms | Chapter 91 | Verse 4] He will cover you with his feathers. Under his wings you will take refuge. His faithfulness is your shield and rampart.
[WEB | EN | OT | Psalms | Chapter 91 | Verse 5] You shall not be afraid of the terror by night, nor of the arrow that flies by day,
[WEB | EN | OT | Psalms | Chapter 91 | Verse 6] nor of the pestilence that walks in darkness, nor of the destruction that wastes at noonday.
[WEB | EN | OT | Psalms | Chapter 91 | Verse 7] A thousand may fall at your side, and ten thousand at your right hand; but it will not come near you.
[WEB | EN | OT | Psalms | Chapter 91 | Verse 8] You will only look with your eyes, and see the recompense of the wicked.
[WEB | EN | OT | Psalms | Chapter 91 | Verse 9] Because you have made the LORD your refuge, and the Most High your dwelling place,
[WEB | EN | OT | Psalms | Chapter 91 | Verse 10] no evil shall happen to you, neither shall any plague come near your dwelling.
[WEB | EN | OT | Psalms | Chapter 91 | Verse 11] For he will put his angels in charge of you, to guard you in all your ways.
[WEB | EN | OT | Psalms | Chapter 91 | Verse 12] They will bear you up in their hands, so that you won’t dash your foot against a stone.
[WEB | EN | OT | Psalms | Chapter 91 | Verse 13] You will tread on the lion and cobra. You will trample the young lion and the serpent underfoot.
[WEB | EN | OT | Psalms | Chapter 91 | Verse 14] “Because he has set his love on me, therefore I will deliver him. I will set him on high, because he has known my name.
[WEB | EN | OT | Psalms | Chapter 91 | Verse 15] He will call on me, and I will answer him. I will be with him in trouble. I will deliver him, and honor him.
[WEB | EN | OT | Psalms | Chapter 91 | Verse 16] I will satisfy him with long life, and show him my salvation.”
