[WEB | EN | OT | Psalms | Chapter 46 | Verse 1] God is our refuge and strength, a very present help in trouble.
[WEB | EN | OT | Psalms | Chapter 46 | Verse 2] Therefore we won’t be afraid, though the earth changes, though the mountains are shaken into the heart of the seas;
[WEB | EN | OT | Psalms | Chapter 46 | Verse 3] though its waters roar and are troubled, though the mountains tremble with their swelling. Selah.
[WEB | EN | OT | Psalms | Chapter 46 | Verse 4] There is a river, the streams of which make the city of God glad, the holy place of the tents of the Most High.
[WEB | EN | OT | Psalms | Chapter 46 | Verse 5] God is within her. She shall not be moved. God will help her at dawn.
[WEB | EN | OT | Psalms | Chapter 46 | Verse 6] The nations raged. The kingdoms were moved. He lifted his voice and the earth melted.
[WEB | EN | OT | Psalms | Chapter 46 | Verse 7] The LORD of Armies is with us. The God of Jacob is our refuge. Selah.
[WEB | EN | OT | Psalms | Chapter 46 | Verse 8] Come, see the LORD’s works, what desolations he has made in the earth.
[WEB | EN | OT | Psalms | Chapter 46 | Verse 9] He makes wars cease to the end of the earth. He breaks the bow, and shatters the spear. He burns the chariots in the fire.
[WEB | EN | OT | Psalms | Chapter 46 | Verse 10] “Be still, and know that I am God. I will be exalted among the nations. I will be exalted in the earth.”
[WEB | EN | OT | Psalms | Chapter 46 | Verse 11] The LORD of Armies is with us. The God of Jacob is our refuge. Selah.
