[WEB | EN | OT | Psalms | Chapter 51 | Verse 1] Have mercy on me, God, according to your loving kindness. According to the multitude of your tender mercies, blot out my transgressions.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 2] Wash me thoroughly from my iniquity. Cleanse me from my sin.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 3] For I know my transgressions. My sin is constantly before me.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 4] Against you, and you only, I have sinned, and done that which is evil in your sight, so you may be proved right when you speak, and justified when you judge.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 5] Behold, I was born in iniquity. My mother conceived me in sin.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 6] Behold, you desire truth in the inward parts. You teach me wisdom in the inmost place.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 7] Purify me with hyssop, and I will be clean. Wash me, and I will be whiter than snow.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 8] Let me hear joy and gladness, that the bones which you have broken may rejoice.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 9] Hide your face from my sins, and blot out all of my iniquities.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 10] Create in me a clean heart, O God. Renew a right spirit within me.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 11] Don’t throw me from your presence, and don’t take your Holy Spirit from me.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 12] Restore to me the joy of your salvation. Uphold me with a willing spirit.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 13] Then I will teach transgressors your ways. Sinners will be converted to you.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 14] Deliver me from the guilt of bloodshed, O God, the God of my salvation. My tongue will sing aloud of your righteousness.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 15] Lord, open my lips. My mouth will declare your praise.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 16] For you don’t delight in sacrifice, or else I would give it. You have no pleasure in burnt offering.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 17] The sacrifices of God are a broken spirit. O God, you will not despise a broken and contrite heart.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 18] Do well in your good pleasure to Zion. Build the walls of Jerusalem.
[WEB | EN | OT | Psalms | Chapter 51 | Verse 19] Then you will delight in the sacrifices of righteousness, in burnt offerings and in whole burnt offerings. Then they will offer bulls on your altar.
