[WEB | EN | OT | Psalms | Chapter 29 | Verse 1] Ascribe to the LORD, you sons of the mighty, ascribe to the LORD glory and strength.
[WEB | EN | OT | Psalms | Chapter 29 | Verse 2] Ascribe to the LORD the glory due to his name. Worship the LORD in holy array.
[WEB | EN | OT | Psalms | Chapter 29 | Verse 3] The LORD’s voice is on the waters. The God of glory thunders, even the LORD on many waters.
[WEB | EN | OT | Psalms | Chapter 29 | Verse 4] The LORD’s voice is powerful. The LORD’s voice is full of majesty.
[WEB | EN | OT | Psalms | Chapter 29 | Verse 5] The LORD’s voice breaks the cedars. Yes, the LORD breaks in pieces the cedars of Lebanon.
[WEB | EN | OT | Psalms | Chapter 29 | Verse 6] He makes them also to skip like a calf; Lebanon and Sirion like a young, wild ox.
[WEB | EN | OT | Psalms | Chapter 29 | Verse 7] The LORD’s voice strikes with flashes of lightning.
[WEB | EN | OT | Psalms | Chapter 29 | Verse 8] The LORD’s voice shakes the wilderness. The LORD shakes the wilderness of Kadesh.
[WEB | EN | OT | Psalms | Chapter 29 | Verse 9] The LORD’s voice makes the deer calve, and strips the forests bare. In his temple everything says, “Glory!”
[WEB | EN | OT | Psalms | Chapter 29 | Verse 10] The LORD sat enthroned at the Flood. Yes, the LORD sits as King forever.
[WEB | EN | OT | Psalms | Chapter 29 | Verse 11] The LORD will give strength to his people. The LORD will bless his people with peace.
