[WEB | EN | OT | Psalms | Chapter 105 | Verse 1] Give thanks to the LORD! Call on his name! Make his doings known among the peoples.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 2] Sing to him, sing praises to him! Tell of all his marvelous works.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 3] Glory in his holy name. Let the heart of those who seek the LORD rejoice.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 4] Seek the LORD and his strength. Seek his face forever more.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 5] Remember his marvelous works that he has done: his wonders, and the judgments of his mouth,
[WEB | EN | OT | Psalms | Chapter 105 | Verse 6] you offspring of Abraham, his servant, you children of Jacob, his chosen ones.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 7] He is the LORD, our God. His judgments are in all the earth.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 8] He has remembered his covenant forever, the word which he commanded to a thousand generations,
[WEB | EN | OT | Psalms | Chapter 105 | Verse 9] the covenant which he made with Abraham, his oath to Isaac,
[WEB | EN | OT | Psalms | Chapter 105 | Verse 10] and confirmed it to Jacob for a statute; to Israel for an everlasting covenant,
[WEB | EN | OT | Psalms | Chapter 105 | Verse 11] saying, “To you I will give the land of Canaan, the lot of your inheritance,”
[WEB | EN | OT | Psalms | Chapter 105 | Verse 12] when they were but a few men in number, yes, very few, and foreigners in it.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 13] They went about from nation to nation, from one kingdom to another people.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 14] He allowed no one to do them wrong. Yes, he reproved kings for their sakes,
[WEB | EN | OT | Psalms | Chapter 105 | Verse 15] “Don’t touch my anointed ones! Do my prophets no harm!”
[WEB | EN | OT | Psalms | Chapter 105 | Verse 16] He called for a famine on the land. He destroyed the food supplies.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 17] He sent a man before them. Joseph was sold for a slave.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 18] They bruised his feet with shackles. His neck was locked in irons,
[WEB | EN | OT | Psalms | Chapter 105 | Verse 19] until the time that his word happened, and the LORD’s word proved him true.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 20] The king sent and freed him, even the ruler of peoples, and let him go free.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 21] He made him lord of his house, and ruler of all of his possessions,
[WEB | EN | OT | Psalms | Chapter 105 | Verse 22] to discipline his princes at his pleasure, and to teach his elders wisdom.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 23] Israel also came into Egypt. Jacob lived in the land of Ham.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 24] He increased his people greatly, and made them stronger than their adversaries.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 25] He turned their heart to hate his people, to conspire against his servants.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 26] He sent Moses, his servant, and Aaron, whom he had chosen.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 27] They performed miracles among them, and wonders in the land of Ham.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 28] He sent darkness, and made it dark. They didn’t rebel against his words.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 29] He turned their waters into blood, and killed their fish.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 30] Their land swarmed with frogs, even in the rooms of their kings.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 31] He spoke, and swarms of flies came, and lice in all their borders.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 32] He gave them hail for rain, with lightning in their land.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 33] He struck their vines and also their fig trees, and shattered the trees of their country.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 34] He spoke, and the locusts came with the grasshoppers, without number.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 35] They ate up every plant in their land, and ate up the fruit of their ground.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 36] He struck also all the firstborn in their land, the first fruits of all their manhood.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 37] He brought them out with silver and gold. There was not one feeble person among his tribes.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 38] Egypt was glad when they departed, for the fear of them had fallen on them.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 39] He spread a cloud for a covering, fire to give light in the night.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 40] They asked, and he brought quails, and satisfied them with the bread of the sky.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 41] He opened the rock, and waters gushed out. They ran as a river in the dry places.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 42] For he remembered his holy word, and Abraham, his servant.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 43] He brought his people out with joy, his chosen with singing.
[WEB | EN | OT | Psalms | Chapter 105 | Verse 44] He gave them the lands of the nations. They took the labor of the peoples in possession,
[WEB | EN | OT | Psalms | Chapter 105 | Verse 45] that they might keep his statutes, and observe his laws. Praise the LORD!
