[WEB | EN | OT | Psalms | Chapter 109 | Verse 1] God of my praise, don’t remain silent,
[WEB | EN | OT | Psalms | Chapter 109 | Verse 2] for they have opened the mouth of the wicked and the mouth of deceit against me. They have spoken to me with a lying tongue.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 3] They have also surrounded me with words of hatred, and fought against me without a cause.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 4] In return for my love, they are my adversaries; but I am in prayer.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 5] They have rewarded me evil for good, and hatred for my love.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 6] Set a wicked man over him. Let an adversary stand at his right hand.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 7] When he is judged, let him come out guilty. Let his prayer be turned into sin.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 8] Let his days be few. Let another take his office.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 9] Let his children be fatherless, and his wife a widow.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 10] Let his children be wandering beggars. Let them be sought from their ruins.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 11] Let the creditor seize all that he has. Let strangers plunder the fruit of his labor.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 12] Let there be no one to extend kindness to him, neither let there be anyone to have pity on his fatherless children.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 13] Let his posterity be cut off. In the generation following let their name be blotted out.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 14] Let the iniquity of his fathers be remembered by the LORD. Don’t let the sin of his mother be blotted out.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 15] Let them be before the LORD continually, that he may cut off their memory from the earth;
[WEB | EN | OT | Psalms | Chapter 109 | Verse 16] because he didn’t remember to show kindness, but persecuted the poor and needy man, the broken in heart, to kill them.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 17] Yes, he loved cursing, and it came to him. He didn’t delight in blessing, and it was far from him.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 18] He clothed himself also with cursing as with his garment. It came into his inward parts like water, like oil into his bones.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 19] Let it be to him as the clothing with which he covers himself, for the belt that is always around him.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 20] This is the reward of my adversaries from the LORD, of those who speak evil against my soul.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 21] But deal with me, GOD the Lord, for your name’s sake, because your loving kindness is good, deliver me;
[WEB | EN | OT | Psalms | Chapter 109 | Verse 22] for I am poor and needy. My heart is wounded within me.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 23] I fade away like an evening shadow. I am shaken off like a locust.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 24] My knees are weak through fasting. My body is thin and lacks fat.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 25] I have also become a reproach to them. When they see me, they shake their head.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 26] Help me, LORD, my God. Save me according to your loving kindness;
[WEB | EN | OT | Psalms | Chapter 109 | Verse 27] that they may know that this is your hand; that you, LORD, have done it.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 28] They may curse, but you bless. When they arise, they will be shamed, but your servant shall rejoice.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 29] Let my adversaries be clothed with dishonor. Let them cover themselves with their own shame as with a robe.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 30] I will give great thanks to the LORD with my mouth. Yes, I will praise him among the multitude.
[WEB | EN | OT | Psalms | Chapter 109 | Verse 31] For he will stand at the right hand of the needy, to save him from those who judge his soul.
