[WEB | EN | OT | Psalms | Chapter 77 | Verse 1] My cry goes to God! Indeed, I cry to God for help, and for him to listen to me.
[WEB | EN | OT | Psalms | Chapter 77 | Verse 2] In the day of my trouble I sought the Lord. My hand was stretched out in the night, and didn’t get tired. My soul refused to be comforted.
[WEB | EN | OT | Psalms | Chapter 77 | Verse 3] I remember God, and I groan. I complain, and my spirit is overwhelmed. Selah.
[WEB | EN | OT | Psalms | Chapter 77 | Verse 4] You hold my eyelids open. I am so troubled that I can’t speak.
[WEB | EN | OT | Psalms | Chapter 77 | Verse 5] I have considered the days of old, the years of ancient times.
[WEB | EN | OT | Psalms | Chapter 77 | Verse 6] I remember my song in the night. I consider in my own heart; my spirit diligently inquires:
[WEB | EN | OT | Psalms | Chapter 77 | Verse 7] “Will the Lord reject us forever? Will he be favorable no more?
[WEB | EN | OT | Psalms | Chapter 77 | Verse 8] Has his loving kindness vanished forever? Does his promise fail for generations?
[WEB | EN | OT | Psalms | Chapter 77 | Verse 9] Has God forgotten to be gracious? Has he, in anger, withheld his compassion?” Selah.
[WEB | EN | OT | Psalms | Chapter 77 | Verse 10] Then I thought, “I will appeal to this: the years of the right hand of the Most High.”
[WEB | EN | OT | Psalms | Chapter 77 | Verse 11] I will remember the LORD’s deeds; for I will remember your wonders of old.
[WEB | EN | OT | Psalms | Chapter 77 | Verse 12] I will also meditate on all your work, and consider your doings.
[WEB | EN | OT | Psalms | Chapter 77 | Verse 13] Your way, God, is in the sanctuary. What god is great like God?
[WEB | EN | OT | Psalms | Chapter 77 | Verse 14] You are the God who does wonders. You have made your strength known among the peoples.
[WEB | EN | OT | Psalms | Chapter 77 | Verse 15] You have redeemed your people with your arm, the sons of Jacob and Joseph. Selah.
[WEB | EN | OT | Psalms | Chapter 77 | Verse 16] The waters saw you, God. The waters saw you, and they writhed. The depths also convulsed.
[WEB | EN | OT | Psalms | Chapter 77 | Verse 17] The clouds poured out water. The skies resounded with thunder. Your arrows also flashed around.
[WEB | EN | OT | Psalms | Chapter 77 | Verse 18] The voice of your thunder was in the whirlwind. The lightnings lit up the world. The earth trembled and shook.
[WEB | EN | OT | Psalms | Chapter 77 | Verse 19] Your way was through the sea, your paths through the great waters. Your footsteps were not known.
[WEB | EN | OT | Psalms | Chapter 77 | Verse 20] You led your people like a flock, by the hand of Moses and Aaron.
