[WEB | EN | OT | Psalms | Chapter 16 | Verse 1] Preserve me, God, for I take refuge in you.
[WEB | EN | OT | Psalms | Chapter 16 | Verse 2] My soul, you have said to the LORD, “You are my Lord. Apart from you I have no good thing.”
[WEB | EN | OT | Psalms | Chapter 16 | Verse 3] As for the saints who are in the earth, they are the excellent ones in whom is all my delight.
[WEB | EN | OT | Psalms | Chapter 16 | Verse 4] Their sorrows shall be multiplied who give gifts to another god. Their drink offerings of blood I will not offer, nor take their names on my lips.
[WEB | EN | OT | Psalms | Chapter 16 | Verse 5] The LORD assigned my portion and my cup. You made my lot secure.
[WEB | EN | OT | Psalms | Chapter 16 | Verse 6] The lines have fallen to me in pleasant places. Yes, I have a good inheritance.
[WEB | EN | OT | Psalms | Chapter 16 | Verse 7] I will bless the LORD, who has given me counsel. Yes, my heart instructs me in the night seasons.
[WEB | EN | OT | Psalms | Chapter 16 | Verse 8] I have set the LORD always before me. Because he is at my right hand, I shall not be moved.
[WEB | EN | OT | Psalms | Chapter 16 | Verse 9] Therefore my heart is glad, and my tongue rejoices. My body shall also dwell in safety.
[WEB | EN | OT | Psalms | Chapter 16 | Verse 10] For you will not leave my soul in Sheol, neither will you allow your holy one to see corruption.
[WEB | EN | OT | Psalms | Chapter 16 | Verse 11] You will show me the path of life. In your presence is fullness of joy. In your right hand there are pleasures forever more.
