[WEB | EN | OT | Psalms | Chapter 84 | Verse 1] How lovely are your dwellings, LORD of Armies!
[WEB | EN | OT | Psalms | Chapter 84 | Verse 2] My soul longs, and even faints for the courts of the LORD. My heart and my flesh cry out for the living God.
[WEB | EN | OT | Psalms | Chapter 84 | Verse 3] Yes, the sparrow has found a home, and the swallow a nest for herself, where she may have her young, near your altars, LORD of Armies, my King, and my God.
[WEB | EN | OT | Psalms | Chapter 84 | Verse 4] Blessed are those who dwell in your house. They are always praising you. Selah.
[WEB | EN | OT | Psalms | Chapter 84 | Verse 5] Blessed are those whose strength is in you, who have set their hearts on a pilgrimage.
[WEB | EN | OT | Psalms | Chapter 84 | Verse 6] Passing through the valley of Weeping, they make it a place of springs. Yes, the autumn rain covers it with blessings.
[WEB | EN | OT | Psalms | Chapter 84 | Verse 7] They go from strength to strength. Every one of them appears before God in Zion.
[WEB | EN | OT | Psalms | Chapter 84 | Verse 8] LORD, God of Armies, hear my prayer. Listen, God of Jacob. Selah.
[WEB | EN | OT | Psalms | Chapter 84 | Verse 9] Behold, God our shield, look at the face of your anointed.
[WEB | EN | OT | Psalms | Chapter 84 | Verse 10] For a day in your courts is better than a thousand. I would rather be a doorkeeper in the house of my God, than to dwell in the tents of wickedness.
[WEB | EN | OT | Psalms | Chapter 84 | Verse 11] For the LORD God is a sun and a shield. The LORD will give grace and glory. He withholds no good thing from those who walk blamelessly.
[WEB | EN | OT | Psalms | Chapter 84 | Verse 12] LORD of Armies, blessed is the man who trusts in you.
