[WEB | EN | OT | Psalms | Chapter 97 | Verse 1] The LORD reigns! Let the earth rejoice! Let the multitude of islands be glad!
[WEB | EN | OT | Psalms | Chapter 97 | Verse 2] Clouds and darkness are around him. Righteousness and justice are the foundation of his throne.
[WEB | EN | OT | Psalms | Chapter 97 | Verse 3] A fire goes before him, and burns up his adversaries on every side.
[WEB | EN | OT | Psalms | Chapter 97 | Verse 4] His lightning lights up the world. The earth sees, and trembles.
[WEB | EN | OT | Psalms | Chapter 97 | Verse 5] The mountains melt like wax at the presence of the LORD, at the presence of the Lord of the whole earth.
[WEB | EN | OT | Psalms | Chapter 97 | Verse 6] The heavens declare his righteousness. All the peoples have seen his glory.
[WEB | EN | OT | Psalms | Chapter 97 | Verse 7] Let all them be shamed who serve engraved images, who boast in their idols. Worship him, all you gods!
[WEB | EN | OT | Psalms | Chapter 97 | Verse 8] Zion heard and was glad. The daughters of Judah rejoiced because of your judgments, LORD.
[WEB | EN | OT | Psalms | Chapter 97 | Verse 9] For you, LORD, are most high above all the earth. You are exalted far above all gods.
[WEB | EN | OT | Psalms | Chapter 97 | Verse 10] You who love the LORD, hate evil! He preserves the souls of his saints. He delivers them out of the hand of the wicked.
[WEB | EN | OT | Psalms | Chapter 97 | Verse 11] Light is sown for the righteous, and gladness for the upright in heart.
[WEB | EN | OT | Psalms | Chapter 97 | Verse 12] Be glad in the LORD, you righteous people! Give thanks to his holy Name.
