[WEB | EN | OT | Psalms | Chapter 22 | Verse 1] My God, my God, why have you forsaken me? Why are you so far from helping me, and from the words of my groaning?
[WEB | EN | OT | Psalms | Chapter 22 | Verse 2] My God, I cry in the daytime, but you don’t answer; in the night season, and am not silent.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 3] But you are holy, you who inhabit the praises of Israel.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 4] Our fathers trusted in you. They trusted, and you delivered them.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 5] They cried to you, and were delivered. They trusted in you, and were not disappointed.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 6] But I am a worm, and no man; a reproach of men, and despised by the people.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 7] All those who see me mock me. They insult me with their lips. They shake their heads, saying,
[WEB | EN | OT | Psalms | Chapter 22 | Verse 8] “He trusts in the LORD. Let him deliver him. Let him rescue him, since he delights in him.”
[WEB | EN | OT | Psalms | Chapter 22 | Verse 9] But you brought me out of the womb. You made me trust while at my mother’s breasts.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 10] I was thrown on you from my mother’s womb. You are my God since my mother bore me.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 11] Don’t be far from me, for trouble is near. For there is no one to help.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 12] Many bulls have surrounded me. Strong bulls of Bashan have encircled me.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 13] They open their mouths wide against me, lions tearing prey and roaring.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 14] I am poured out like water. All my bones are out of joint. My heart is like wax. It is melted within me.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 15] My strength is dried up like a potsherd. My tongue sticks to the roof of my mouth. You have brought me into the dust of death.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 16] For dogs have surrounded me. A company of evildoers have enclosed me. They have pierced my hands and feet.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 17] I can count all of my bones. They look and stare at me.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 18] They divide my garments among them. They cast lots for my clothing.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 19] But don’t be far off, LORD. You are my help. Hurry to help me!
[WEB | EN | OT | Psalms | Chapter 22 | Verse 20] Deliver my soul from the sword, my precious life from the power of the dog.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 21] Save me from the lion’s mouth! Yes, you have rescued me from the horns of the wild oxen.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 22] I will declare your name to my brothers. Among the assembly, I will praise you.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 23] You who fear the LORD, praise him! All you descendants of Jacob, glorify him! Stand in awe of him, all you descendants of Israel!
[WEB | EN | OT | Psalms | Chapter 22 | Verse 24] For he has not despised nor abhorred the affliction of the afflicted, neither has he hidden his face from him; but when he cried to him, he heard.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 25] My praise of you comes in the great assembly. I will pay my vows before those who fear him.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 26] The humble shall eat and be satisfied. They shall praise the LORD who seek after him. Let your hearts live forever.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 27] All the ends of the earth shall remember and turn to the LORD. All the relatives of the nations shall worship before you.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 28] For the kingdom is the LORD’s. He is the ruler over the nations.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 29] All the rich ones of the earth shall eat and worship. All those who go down to the dust shall bow before him, even he who can’t keep his soul alive.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 30] Posterity shall serve him. Future generations shall be told about the Lord.
[WEB | EN | OT | Psalms | Chapter 22 | Verse 31] They shall come and shall declare his righteousness to a people that shall be born, for he has done it.
