[WEB | EN | OT | Psalms | Chapter 80 | Verse 1] Hear us, Shepherd of Israel, you who lead Joseph like a flock, you who sit above the cherubim, shine out.
[WEB | EN | OT | Psalms | Chapter 80 | Verse 2] Before Ephraim, Benjamin, and Manasseh, stir up your might! Come to save us!
[WEB | EN | OT | Psalms | Chapter 80 | Verse 3] Turn us again, God. Cause your face to shine, and we will be saved.
[WEB | EN | OT | Psalms | Chapter 80 | Verse 4] LORD God of Armies, how long will you be angry against the prayer of your people?
[WEB | EN | OT | Psalms | Chapter 80 | Verse 5] You have fed them with the bread of tears, and given them tears to drink in large measure.
[WEB | EN | OT | Psalms | Chapter 80 | Verse 6] You make us a source of contention to our neighbors. Our enemies laugh among themselves.
[WEB | EN | OT | Psalms | Chapter 80 | Verse 7] Turn us again, God of Armies. Cause your face to shine, and we will be saved.
[WEB | EN | OT | Psalms | Chapter 80 | Verse 8] You brought a vine out of Egypt. You drove out the nations, and planted it.
[WEB | EN | OT | Psalms | Chapter 80 | Verse 9] You cleared the ground for it. It took deep root, and filled the land.
[WEB | EN | OT | Psalms | Chapter 80 | Verse 10] The mountains were covered with its shadow. Its boughs were like God’s cedars.
[WEB | EN | OT | Psalms | Chapter 80 | Verse 11] It sent out its branches to the sea, its shoots to the River.
[WEB | EN | OT | Psalms | Chapter 80 | Verse 12] Why have you broken down its walls, so that all those who pass by the way pluck it?
[WEB | EN | OT | Psalms | Chapter 80 | Verse 13] The boar out of the wood ravages it. The wild animals of the field feed on it.
[WEB | EN | OT | Psalms | Chapter 80 | Verse 14] Turn again, we beg you, God of Armies. Look down from heaven, and see, and visit this vine,
[WEB | EN | OT | Psalms | Chapter 80 | Verse 15] the stock which your right hand planted, the branch that you made strong for yourself.
[WEB | EN | OT | Psalms | Chapter 80 | Verse 16] It’s burned with fire. It’s cut down. They perish at your rebuke.
[WEB | EN | OT | Psalms | Chapter 80 | Verse 17] Let your hand be on the man of your right hand, on the son of man whom you made strong for yourself.
[WEB | EN | OT | Psalms | Chapter 80 | Verse 18] So we will not turn away from you. Revive us, and we will call on your name.
[WEB | EN | OT | Psalms | Chapter 80 | Verse 19] Turn us again, LORD God of Armies. Cause your face to shine, and we will be saved.
