[WEB | EN | OT | Psalms | Chapter 108 | Verse 1] My heart is steadfast, God. I will sing and I will make music with my soul.
[WEB | EN | OT | Psalms | Chapter 108 | Verse 2] Wake up, harp and lyre! I will wake up the dawn.
[WEB | EN | OT | Psalms | Chapter 108 | Verse 3] I will give thanks to you, LORD, among the nations. I will sing praises to you among the peoples.
[WEB | EN | OT | Psalms | Chapter 108 | Verse 4] For your loving kindness is great above the heavens. Your faithfulness reaches to the skies.
[WEB | EN | OT | Psalms | Chapter 108 | Verse 5] Be exalted, God, above the heavens! Let your glory be over all the earth.
[WEB | EN | OT | Psalms | Chapter 108 | Verse 6] That your beloved may be delivered, save with your right hand, and answer us.
[WEB | EN | OT | Psalms | Chapter 108 | Verse 7] God has spoken from his sanctuary: “In triumph, I will divide Shechem, and measure out the valley of Succoth.
[WEB | EN | OT | Psalms | Chapter 108 | Verse 8] Gilead is mine. Manasseh is mine. Ephraim also is my helmet. Judah is my scepter.
[WEB | EN | OT | Psalms | Chapter 108 | Verse 9] Moab is my wash pot. I will toss my sandal on Edom. I will shout over Philistia.”
[WEB | EN | OT | Psalms | Chapter 108 | Verse 10] Who will bring me into the fortified city? Who will lead me to Edom?
[WEB | EN | OT | Psalms | Chapter 108 | Verse 11] Haven’t you rejected us, God? You don’t go out, God, with our armies.
[WEB | EN | OT | Psalms | Chapter 108 | Verse 12] Give us help against the enemy, for the help of man is vain.
[WEB | EN | OT | Psalms | Chapter 108 | Verse 13] Through God, we will do valiantly, for it is he who will tread down our enemies.
