[WEB | EN | OT | Psalms | Chapter 66 | Verse 1] Make a joyful shout to God, all the earth!
[WEB | EN | OT | Psalms | Chapter 66 | Verse 2] Sing to the glory of his name! Offer glory and praise!
[WEB | EN | OT | Psalms | Chapter 66 | Verse 3] Tell God, “How awesome are your deeds! Through the greatness of your power, your enemies submit themselves to you.
[WEB | EN | OT | Psalms | Chapter 66 | Verse 4] All the earth will worship you, and will sing to you; they will sing to your name.” Selah.
[WEB | EN | OT | Psalms | Chapter 66 | Verse 5] Come, and see God’s deeds— awesome work on behalf of the children of men.
[WEB | EN | OT | Psalms | Chapter 66 | Verse 6] He turned the sea into dry land. They went through the river on foot. There, we rejoiced in him.
[WEB | EN | OT | Psalms | Chapter 66 | Verse 7] He rules by his might forever. His eyes watch the nations. Don’t let the rebellious rise up against him. Selah.
[WEB | EN | OT | Psalms | Chapter 66 | Verse 8] Praise our God, you peoples! Make the sound of his praise heard,
[WEB | EN | OT | Psalms | Chapter 66 | Verse 9] who preserves our life among the living, and doesn’t allow our feet to be moved.
[WEB | EN | OT | Psalms | Chapter 66 | Verse 10] For you, God, have tested us. You have refined us, as silver is refined.
[WEB | EN | OT | Psalms | Chapter 66 | Verse 11] You brought us into prison. You laid a burden on our backs.
[WEB | EN | OT | Psalms | Chapter 66 | Verse 12] You allowed men to ride over our heads. We went through fire and through water, but you brought us to the place of abundance.
[WEB | EN | OT | Psalms | Chapter 66 | Verse 13] I will come into your temple with burnt offerings. I will pay my vows to you,
[WEB | EN | OT | Psalms | Chapter 66 | Verse 14] which my lips promised, and my mouth spoke, when I was in distress.
[WEB | EN | OT | Psalms | Chapter 66 | Verse 15] I will offer to you burnt offerings of fat animals, with the offering of rams, I will offer bulls with goats. Selah.
[WEB | EN | OT | Psalms | Chapter 66 | Verse 16] Come and hear, all you who fear God. I will declare what he has done for my soul.
[WEB | EN | OT | Psalms | Chapter 66 | Verse 17] I cried to him with my mouth. He was extolled with my tongue.
[WEB | EN | OT | Psalms | Chapter 66 | Verse 18] If I cherished sin in my heart, the Lord wouldn’t have listened.
[WEB | EN | OT | Psalms | Chapter 66 | Verse 19] But most certainly, God has listened. He has heard the voice of my prayer.
[WEB | EN | OT | Psalms | Chapter 66 | Verse 20] Blessed be God, who has not turned away my prayer, nor his loving kindness from me.
