[WEB | EN | OT | Psalms | Chapter 45 | Verse 1] My heart overflows with a noble theme. I recite my verses for the king. My tongue is like the pen of a skillful writer.
[WEB | EN | OT | Psalms | Chapter 45 | Verse 2] You are the most excellent of the sons of men. Grace has anointed your lips, therefore God has blessed you forever.
[WEB | EN | OT | Psalms | Chapter 45 | Verse 3] Strap your sword on your thigh, O mighty one, in your splendor and your majesty.
[WEB | EN | OT | Psalms | Chapter 45 | Verse 4] In your majesty ride on victoriously on behalf of truth, humility, and righteousness. Let your right hand display awesome deeds.
[WEB | EN | OT | Psalms | Chapter 45 | Verse 5] Your arrows are sharp. The nations fall under you, with arrows in the heart of the king’s enemies.
[WEB | EN | OT | Psalms | Chapter 45 | Verse 6] Your throne, God, is forever and ever. A scepter of equity is the scepter of your kingdom.
[WEB | EN | OT | Psalms | Chapter 45 | Verse 7] You have loved righteousness, and hated wickedness. Therefore God, your God, has anointed you with the oil of gladness above your fellows.
[WEB | EN | OT | Psalms | Chapter 45 | Verse 8] All your garments smell like myrrh, aloes, and cassia. Out of ivory palaces stringed instruments have made you glad.
[WEB | EN | OT | Psalms | Chapter 45 | Verse 9] Kings’ daughters are among your honorable women. At your right hand the queen stands in gold of Ophir.
[WEB | EN | OT | Psalms | Chapter 45 | Verse 10] Listen, daughter, consider, and turn your ear. Forget your own people, and also your father’s house.
[WEB | EN | OT | Psalms | Chapter 45 | Verse 11] So the king will desire your beauty, honor him, for he is your lord.
[WEB | EN | OT | Psalms | Chapter 45 | Verse 12] The daughter of Tyre comes with a gift. The rich among the people entreat your favor.
[WEB | EN | OT | Psalms | Chapter 45 | Verse 13] The princess inside is all glorious. Her clothing is interwoven with gold.
[WEB | EN | OT | Psalms | Chapter 45 | Verse 14] She shall be led to the king in embroidered work. The virgins, her companions who follow her, shall be brought to you.
[WEB | EN | OT | Psalms | Chapter 45 | Verse 15] With gladness and rejoicing they shall be led. They shall enter into the king’s palace.
[WEB | EN | OT | Psalms | Chapter 45 | Verse 16] Your sons will take the place of your fathers. You shall make them princes in all the earth.
[WEB | EN | OT | Psalms | Chapter 45 | Verse 17] I will make your name to be remembered in all generations. Therefore the peoples shall give you thanks forever and ever.
