[WEB | EN | OT | Psalms | Chapter 85 | Verse 1] LORD, you have been favorable to your land. You have restored the fortunes of Jacob.
[WEB | EN | OT | Psalms | Chapter 85 | Verse 2] You have forgiven the iniquity of your people. You have covered all their sin. Selah.
[WEB | EN | OT | Psalms | Chapter 85 | Verse 3] You have taken away all your wrath. You have turned from the fierceness of your anger.
[WEB | EN | OT | Psalms | Chapter 85 | Verse 4] Turn us, God of our salvation, and cause your indignation toward us to cease.
[WEB | EN | OT | Psalms | Chapter 85 | Verse 5] Will you be angry with us forever? Will you draw out your anger to all generations?
[WEB | EN | OT | Psalms | Chapter 85 | Verse 6] Won’t you revive us again, that your people may rejoice in you?
[WEB | EN | OT | Psalms | Chapter 85 | Verse 7] Show us your loving kindness, LORD. Grant us your salvation.
[WEB | EN | OT | Psalms | Chapter 85 | Verse 8] I will hear what God, the LORD, will speak, for he will speak peace to his people, his saints; but let them not turn again to folly.
[WEB | EN | OT | Psalms | Chapter 85 | Verse 9] Surely his salvation is near those who fear him, that glory may dwell in our land.
[WEB | EN | OT | Psalms | Chapter 85 | Verse 10] Mercy and truth meet together. Righteousness and peace have kissed each other.
[WEB | EN | OT | Psalms | Chapter 85 | Verse 11] Truth springs out of the earth. Righteousness has looked down from heaven.
[WEB | EN | OT | Psalms | Chapter 85 | Verse 12] Yes, the LORD will give that which is good. Our land will yield its increase.
[WEB | EN | OT | Psalms | Chapter 85 | Verse 13] Righteousness goes before him, and prepares the way for his steps.
