[WEB | EN | OT | Psalms | Chapter 9 | Verse 1] I will give thanks to the LORD with my whole heart. I will tell of all your marvelous works.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 2] I will be glad and rejoice in you. I will sing praise to your name, O Most High.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 3] When my enemies turn back, they stumble and perish in your presence.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 4] For you have maintained my just cause. You sit on the throne judging righteously.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 5] You have rebuked the nations. You have destroyed the wicked. You have blotted out their name forever and ever.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 6] The enemy is overtaken by endless ruin. The very memory of the cities which you have overthrown has perished.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 7] But the LORD reigns forever. He has prepared his throne for judgment.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 8] He will judge the world in righteousness. He will administer judgment to the peoples in uprightness.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 9] The LORD will also be a high tower for the oppressed; a high tower in times of trouble.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 10] Those who know your name will put their trust in you, for you, LORD, have not forsaken those who seek you.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 11] Sing praises to the LORD, who dwells in Zion, and declare among the people what he has done.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 12] For he who avenges blood remembers them. He doesn’t forget the cry of the afflicted.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 13] Have mercy on me, LORD. See my affliction by those who hate me, and lift me up from the gates of death,
[WEB | EN | OT | Psalms | Chapter 9 | Verse 14] that I may show all of your praise. I will rejoice in your salvation in the gates of the daughter of Zion.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 15] The nations have sunk down in the pit that they made. In the net which they hid, their own foot is taken.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 16] The LORD has made himself known. He has executed judgment. The wicked is snared by the work of his own hands. Meditation. Selah.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 17] The wicked shall be turned back to Sheol, even all the nations that forget God.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 18] For the needy shall not always be forgotten, nor the hope of the poor perish forever.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 19] Arise, LORD! Don’t let man prevail. Let the nations be judged in your sight.
[WEB | EN | OT | Psalms | Chapter 9 | Verse 20] Put them in fear, LORD. Let the nations know that they are only men. Selah.
