[WEB | EN | OT | Psalms | Chapter 86 | Verse 1] Hear, LORD, and answer me, for I am poor and needy.
[WEB | EN | OT | Psalms | Chapter 86 | Verse 2] Preserve my soul, for I am godly. You, my God, save your servant who trusts in you.
[WEB | EN | OT | Psalms | Chapter 86 | Verse 3] Be merciful to me, Lord, for I call to you all day long.
[WEB | EN | OT | Psalms | Chapter 86 | Verse 4] Bring joy to the soul of your servant, for to you, Lord, do I lift up my soul.
[WEB | EN | OT | Psalms | Chapter 86 | Verse 5] For you, Lord, are good, and ready to forgive, abundant in loving kindness to all those who call on you.
[WEB | EN | OT | Psalms | Chapter 86 | Verse 6] Hear, LORD, my prayer. Listen to the voice of my petitions.
[WEB | EN | OT | Psalms | Chapter 86 | Verse 7] In the day of my trouble I will call on you, for you will answer me.
[WEB | EN | OT | Psalms | Chapter 86 | Verse 8] There is no one like you among the gods, Lord, nor any deeds like your deeds.
[WEB | EN | OT | Psalms | Chapter 86 | Verse 9] All nations you have made will come and worship before you, Lord. They shall glorify your name.
[WEB | EN | OT | Psalms | Chapter 86 | Verse 10] For you are great, and do wondrous things. You are God alone.
[WEB | EN | OT | Psalms | Chapter 86 | Verse 11] Teach me your way, LORD. I will walk in your truth. Make my heart undivided to fear your name.
[WEB | EN | OT | Psalms | Chapter 86 | Verse 12] I will praise you, Lord my God, with my whole heart. I will glorify your name forever more.
[WEB | EN | OT | Psalms | Chapter 86 | Verse 13] For your loving kindness is great toward me. You have delivered my soul from the lowest Sheol.
[WEB | EN | OT | Psalms | Chapter 86 | Verse 14] God, the proud have risen up against me. A company of violent men have sought after my soul, and they don’t hold regard for you before them.
[WEB | EN | OT | Psalms | Chapter 86 | Verse 15] But you, Lord, are a merciful and gracious God, slow to anger, and abundant in loving kindness and truth.
[WEB | EN | OT | Psalms | Chapter 86 | Verse 16] Turn to me, and have mercy on me! Give your strength to your servant. Save the son of your servant.
[WEB | EN | OT | Psalms | Chapter 86 | Verse 17] Show me a sign of your goodness, that those who hate me may see it, and be shamed, because you, LORD, have helped me, and comforted me.
