[WEB | EN | OT | Psalms | Chapter 18 | Verse 1] I love you, LORD, my strength.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 2] The LORD is my rock, my fortress, and my deliverer; my God, my rock, in whom I take refuge; my shield, and the horn of my salvation, my high tower.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 3] I call on the LORD, who is worthy to be praised; and I am saved from my enemies.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 4] The cords of death surrounded me. The floods of ungodliness made me afraid.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 5] The cords of Sheol were around me. The snares of death came on me.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 6] In my distress I called on the LORD, and cried to my God. He heard my voice out of his temple. My cry before him came into his ears.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 7] Then the earth shook and trembled. The foundations also of the mountains quaked and were shaken, because he was angry.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 8] Smoke went out of his nostrils. Consuming fire came out of his mouth. Coals were kindled by it.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 9] He bowed the heavens also, and came down. Thick darkness was under his feet.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 10] He rode on a cherub, and flew. Yes, he soared on the wings of the wind.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 11] He made darkness his hiding place, his pavilion around him, darkness of waters, thick clouds of the skies.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 12] At the brightness before him his thick clouds passed, hailstones and coals of fire.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 13] The LORD also thundered in the sky. The Most High uttered his voice: hailstones and coals of fire.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 14] He sent out his arrows, and scattered them. He routed them with great lightning bolts.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 15] Then the channels of waters appeared. The foundations of the world were laid bare at your rebuke, LORD, at the blast of the breath of your nostrils.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 16] He sent from on high. He took me. He drew me out of many waters.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 17] He delivered me from my strong enemy, from those who hated me; for they were too mighty for me.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 18] They came on me in the day of my calamity, but the LORD was my support.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 19] He brought me out also into a large place. He delivered me, because he delighted in me.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 20] The LORD has rewarded me according to my righteousness. According to the cleanness of my hands, he has recompensed me.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 21] For I have kept the ways of the LORD, and have not wickedly departed from my God.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 22] For all his ordinances were before me. I didn’t put away his statutes from me.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 23] I was also blameless with him. I kept myself from my iniquity.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 24] Therefore the LORD has rewarded me according to my righteousness, according to the cleanness of my hands in his eyesight.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 25] With the merciful you will show yourself merciful. With the perfect man, you will show yourself perfect.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 26] With the pure, you will show yourself pure. With the crooked you will show yourself shrewd.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 27] For you will save the afflicted people, but the arrogant eyes you will bring down.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 28] For you will light my lamp, LORD. My God will light up my darkness.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 29] For by you, I advance through a troop. By my God, I leap over a wall.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 30] As for God, his way is perfect. The LORD’s word is tried. He is a shield to all those who take refuge in him.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 31] For who is God, except the LORD? Who is a rock, besides our God,
[WEB | EN | OT | Psalms | Chapter 18 | Verse 32] the God who arms me with strength, and makes my way perfect?
[WEB | EN | OT | Psalms | Chapter 18 | Verse 33] He makes my feet like deer’s feet, and sets me on my high places.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 34] He teaches my hands to war, so that my arms bend a bow of bronze.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 35] You have also given me the shield of your salvation. Your right hand sustains me. Your gentleness has made me great.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 36] You have enlarged my steps under me, My feet have not slipped.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 37] I will pursue my enemies, and overtake them. I won’t turn away until they are consumed.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 38] I will strike them through, so that they will not be able to rise. They shall fall under my feet.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 39] For you have armed me with strength to the battle. You have subdued under me those who rose up against me.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 40] You have also made my enemies turn their backs to me, that I might cut off those who hate me.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 41] They cried, but there was no one to save; even to the LORD, but he didn’t answer them.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 42] Then I beat them small as the dust before the wind. I cast them out as the mire of the streets.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 43] You have delivered me from the strivings of the people. You have made me the head of the nations. A people whom I have not known shall serve me.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 44] As soon as they hear of me they shall obey me. The foreigners shall submit themselves to me.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 45] The foreigners shall fade away, and shall come trembling out of their strongholds.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 46] The LORD lives! Blessed be my rock. Exalted be the God of my salvation,
[WEB | EN | OT | Psalms | Chapter 18 | Verse 47] even the God who executes vengeance for me, and subdues peoples under me.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 48] He rescues me from my enemies. Yes, you lift me up above those who rise up against me. You deliver me from the violent man.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 49] Therefore I will give thanks to you, LORD, among the nations, and will sing praises to your name.
[WEB | EN | OT | Psalms | Chapter 18 | Verse 50] He gives great deliverance to his king, and shows loving kindness to his anointed, to David and to his offspring, forever more.
