[WEB | EN | OT | Psalms | Chapter 40 | Verse 1] I waited patiently for the LORD. He turned to me, and heard my cry.
[WEB | EN | OT | Psalms | Chapter 40 | Verse 2] He brought me up also out of a horrible pit, out of the miry clay. He set my feet on a rock, and gave me a firm place to stand.
[WEB | EN | OT | Psalms | Chapter 40 | Verse 3] He has put a new song in my mouth, even praise to our God. Many shall see it, and fear, and shall trust in the LORD.
[WEB | EN | OT | Psalms | Chapter 40 | Verse 4] Blessed is the man who makes the LORD his trust, and doesn’t respect the proud, nor such as turn away to lies.
[WEB | EN | OT | Psalms | Chapter 40 | Verse 5] Many, LORD, my God, are the wonderful works which you have done, and your thoughts which are toward us. They can’t be declared back to you. If I would declare and speak of them, they are more than can be counted.
[WEB | EN | OT | Psalms | Chapter 40 | Verse 6] Sacrifice and offering you didn’t desire. You have opened my ears. You have not required burnt offering and sin offering.
[WEB | EN | OT | Psalms | Chapter 40 | Verse 7] Then I said, “Behold, I have come. It is written about me in the book in the scroll.
[WEB | EN | OT | Psalms | Chapter 40 | Verse 8] I delight to do your will, my God. Yes, your law is within my heart.”
[WEB | EN | OT | Psalms | Chapter 40 | Verse 9] I have proclaimed glad news of righteousness in the great assembly. Behold, I will not seal my lips, LORD, you know.
[WEB | EN | OT | Psalms | Chapter 40 | Verse 10] I have not hidden your righteousness within my heart. I have declared your faithfulness and your salvation. I have not concealed your loving kindness and your truth from the great assembly.
[WEB | EN | OT | Psalms | Chapter 40 | Verse 11] Don’t withhold your tender mercies from me, LORD. Let your loving kindness and your truth continually preserve me.
[WEB | EN | OT | Psalms | Chapter 40 | Verse 12] For innumerable evils have surrounded me. My iniquities have overtaken me, so that I am not able to look up. They are more than the hairs of my head. My heart has failed me.
[WEB | EN | OT | Psalms | Chapter 40 | Verse 13] Be pleased, LORD, to deliver me. Hurry to help me, LORD.
[WEB | EN | OT | Psalms | Chapter 40 | Verse 14] Let them be disappointed and confounded together who seek after my soul to destroy it. Let them be turned backward and brought to dishonor who delight in my hurt.
[WEB | EN | OT | Psalms | Chapter 40 | Verse 15] Let them be desolate by reason of their shame that tell me, “Aha! Aha!”
[WEB | EN | OT | Psalms | Chapter 40 | Verse 16] Let all those who seek you rejoice and be glad in you. Let such as love your salvation say continually, “Let the LORD be exalted!”
[WEB | EN | OT | Psalms | Chapter 40 | Verse 17] But I am poor and needy. May the Lord think about me. You are my help and my deliverer. Don’t delay, my God.
