[WEB | EN | OT | Psalms | Chapter 102 | Verse 1] Hear my prayer, LORD! Let my cry come to you.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 2] Don’t hide your face from me in the day of my distress. Turn your ear to me. Answer me quickly in the day when I call.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 3] For my days consume away like smoke. My bones are burned as a torch.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 4] My heart is blighted like grass, and withered, for I forget to eat my bread.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 5] By reason of the voice of my groaning, my bones stick to my skin.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 6] I am like a pelican of the wilderness. I have become as an owl of the waste places.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 7] I watch, and have become like a sparrow that is alone on the housetop.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 8] My enemies reproach me all day. Those who are mad at me use my name as a curse.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 9] For I have eaten ashes like bread, and mixed my drink with tears,
[WEB | EN | OT | Psalms | Chapter 102 | Verse 10] because of your indignation and your wrath; for you have taken me up and thrown me away.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 11] My days are like a long shadow. I have withered like grass.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 12] But you, LORD, will remain forever; your renown endures to all generations.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 13] You will arise and have mercy on Zion, for it is time to have pity on her. Yes, the set time has come.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 14] For your servants take pleasure in her stones, and have pity on her dust.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 15] So the nations will fear the LORD’s name, all the kings of the earth your glory.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 16] For the LORD has built up Zion. He has appeared in his glory.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 17] He has responded to the prayer of the destitute, and has not despised their prayer.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 18] This will be written for the generation to come. A people which will be created will praise the LORD,
[WEB | EN | OT | Psalms | Chapter 102 | Verse 19] for he has looked down from the height of his sanctuary. From heaven, the LORD saw the earth,
[WEB | EN | OT | Psalms | Chapter 102 | Verse 20] to hear the groans of the prisoner, to free those who are condemned to death,
[WEB | EN | OT | Psalms | Chapter 102 | Verse 21] that men may declare the LORD’s name in Zion, and his praise in Jerusalem,
[WEB | EN | OT | Psalms | Chapter 102 | Verse 22] when the peoples are gathered together, the kingdoms, to serve the LORD.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 23] He weakened my strength along the course. He shortened my days.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 24] I said, “My God, don’t take me away in the middle of my days. Your years are throughout all generations.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 25] Of old, you laid the foundation of the earth. The heavens are the work of your hands.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 26] They will perish, but you will endure. Yes, all of them will wear out like a garment. You will change them like a cloak, and they will be changed.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 27] But you are the same. Your years will have no end.
[WEB | EN | OT | Psalms | Chapter 102 | Verse 28] The children of your servants will continue. Their offspring will be established before you.”
