[WEB | EN | OT | Psalms | Chapter 5 | Verse 1] Give ear to my words, LORD. Consider my meditation.
[WEB | EN | OT | Psalms | Chapter 5 | Verse 2] Listen to the voice of my cry, my King and my God, for I pray to you.
[WEB | EN | OT | Psalms | Chapter 5 | Verse 3] LORD, in the morning you will hear my voice. In the morning I will lay my requests before you, and will watch expectantly.
[WEB | EN | OT | Psalms | Chapter 5 | Verse 4] For you are not a God who has pleasure in wickedness. Evil can’t live with you.
[WEB | EN | OT | Psalms | Chapter 5 | Verse 5] The arrogant will not stand in your sight. You hate all workers of iniquity.
[WEB | EN | OT | Psalms | Chapter 5 | Verse 6] You will destroy those who speak lies. The LORD abhors the bloodthirsty and deceitful man.
[WEB | EN | OT | Psalms | Chapter 5 | Verse 7] But as for me, in the abundance of your loving kindness I will come into your house. I will bow toward your holy temple in reverence of you.
[WEB | EN | OT | Psalms | Chapter 5 | Verse 8] Lead me, LORD, in your righteousness because of my enemies. Make your way straight before my face.
[WEB | EN | OT | Psalms | Chapter 5 | Verse 9] For there is no faithfulness in their mouth. Their heart is destruction. Their throat is an open tomb. They flatter with their tongue.
[WEB | EN | OT | Psalms | Chapter 5 | Verse 10] Hold them guilty, God. Let them fall by their own counsels. Thrust them out in the multitude of their transgressions, for they have rebelled against you.
[WEB | EN | OT | Psalms | Chapter 5 | Verse 11] But let all those who take refuge in you rejoice. Let them always shout for joy, because you defend them. Let them also who love your name be joyful in you.
[WEB | EN | OT | Psalms | Chapter 5 | Verse 12] For you will bless the righteous. LORD, you will surround him with favor as with a shield.
