[WEB | EN | OT | Psalms | Chapter 136 | Verse 1] Give thanks to the LORD, for he is good, for his loving kindness endures forever.
[WEB | EN | OT | Psalms | Chapter 136 | Verse 2] Give thanks to the God of gods, for his loving kindness endures forever.
[WEB | EN | OT | Psalms | Chapter 136 | Verse 3] Give thanks to the Lord of lords, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 4] to him who alone does great wonders, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 5] to him who by understanding made the heavens, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 6] to him who spread out the earth above the waters, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 7] to him who made the great lights, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 8] the sun to rule by day, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 9] the moon and stars to rule by night, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 10] to him who struck down the Egyptian firstborn, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 11] and brought out Israel from among them, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 12] with a strong hand, and with an outstretched arm, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 13] to him who divided the Red Sea apart, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 14] and made Israel to pass through the middle of it, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 15] but overthrew Pharaoh and his army in the Red Sea, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 16] to him who led his people through the wilderness, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 17] to him who struck great kings, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 18] and killed mighty kings, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 19] Sihon king of the Amorites, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 20] Og king of Bashan, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 21] and gave their land as an inheritance, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 22] even a heritage to Israel his servant, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 23] who remembered us in our low estate, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 24] and has delivered us from our adversaries, for his loving kindness endures forever;
[WEB | EN | OT | Psalms | Chapter 136 | Verse 25] who gives food to every creature, for his loving kindness endures forever.
[WEB | EN | OT | Psalms | Chapter 136 | Verse 26] Oh give thanks to the God of heaven, for his loving kindness endures forever.
