[WEB | EN | OT | Psalms | Chapter 147 | Verse 1] Praise the LORD, for it is good to sing praises to our God; for it is pleasant and fitting to praise him.
[WEB | EN | OT | Psalms | Chapter 147 | Verse 2] The LORD builds up Jerusalem. He gathers together the outcasts of Israel.
[WEB | EN | OT | Psalms | Chapter 147 | Verse 3] He heals the broken in heart, and binds up their wounds.
[WEB | EN | OT | Psalms | Chapter 147 | Verse 4] He counts the number of the stars. He calls them all by their names.
[WEB | EN | OT | Psalms | Chapter 147 | Verse 5] Great is our Lord, and mighty in power. His understanding is infinite.
[WEB | EN | OT | Psalms | Chapter 147 | Verse 6] The LORD upholds the humble. He brings the wicked down to the ground.
[WEB | EN | OT | Psalms | Chapter 147 | Verse 7] Sing to the LORD with thanksgiving. Sing praises on the harp to our God,
[WEB | EN | OT | Psalms | Chapter 147 | Verse 8] who covers the sky with clouds, who prepares rain for the earth, who makes grass grow on the mountains.
[WEB | EN | OT | Psalms | Chapter 147 | Verse 9] He provides food for the livestock, and for the young ravens when they call.
[WEB | EN | OT | Psalms | Chapter 147 | Verse 10] He doesn’t delight in the strength of the horse. He takes no pleasure in the legs of a man.
[WEB | EN | OT | Psalms | Chapter 147 | Verse 11] The LORD takes pleasure in those who fear him, in those who hope in his loving kindness.
[WEB | EN | OT | Psalms | Chapter 147 | Verse 12] Praise the LORD, Jerusalem! Praise your God, Zion!
[WEB | EN | OT | Psalms | Chapter 147 | Verse 13] For he has strengthened the bars of your gates. He has blessed your children within you.
[WEB | EN | OT | Psalms | Chapter 147 | Verse 14] He makes peace in your borders. He fills you with the finest of the wheat.
[WEB | EN | OT | Psalms | Chapter 147 | Verse 15] He sends out his commandment to the earth. His word runs very swiftly.
[WEB | EN | OT | Psalms | Chapter 147 | Verse 16] He gives snow like wool, and scatters frost like ashes.
[WEB | EN | OT | Psalms | Chapter 147 | Verse 17] He hurls down his hail like pebbles. Who can stand before his cold?
[WEB | EN | OT | Psalms | Chapter 147 | Verse 18] He sends out his word, and melts them. He causes his wind to blow, and the waters flow.
[WEB | EN | OT | Psalms | Chapter 147 | Verse 19] He shows his word to Jacob, his statutes and his ordinances to Israel.
[WEB | EN | OT | Psalms | Chapter 147 | Verse 20] He has not done this for just any nation. They don’t know his ordinances. Praise the LORD!
