[WEB | EN | OT | Psalms | Chapter 36 | Verse 1] A revelation is within my heart about the disobedience of the wicked: There is no fear of God before his eyes.
[WEB | EN | OT | Psalms | Chapter 36 | Verse 2] For he flatters himself in his own eyes, too much to detect and hate his sin.
[WEB | EN | OT | Psalms | Chapter 36 | Verse 3] The words of his mouth are iniquity and deceit. He has ceased to be wise and to do good.
[WEB | EN | OT | Psalms | Chapter 36 | Verse 4] He plots iniquity on his bed. He sets himself in a way that is not good. He doesn’t abhor evil.
[WEB | EN | OT | Psalms | Chapter 36 | Verse 5] Your loving kindness, LORD, is in the heavens. Your faithfulness reaches to the skies.
[WEB | EN | OT | Psalms | Chapter 36 | Verse 6] Your righteousness is like the mountains of God. Your judgments are like a great deep. LORD, you preserve man and animal.
[WEB | EN | OT | Psalms | Chapter 36 | Verse 7] How precious is your loving kindness, God! The children of men take refuge under the shadow of your wings.
[WEB | EN | OT | Psalms | Chapter 36 | Verse 8] They shall be abundantly satisfied with the abundance of your house. You will make them drink of the river of your pleasures.
[WEB | EN | OT | Psalms | Chapter 36 | Verse 9] For with you is the spring of life. In your light we will see light.
[WEB | EN | OT | Psalms | Chapter 36 | Verse 10] Oh continue your loving kindness to those who know you, your righteousness to the upright in heart.
[WEB | EN | OT | Psalms | Chapter 36 | Verse 11] Don’t let the foot of pride come against me. Don’t let the hand of the wicked drive me away.
[WEB | EN | OT | Psalms | Chapter 36 | Verse 12] There the workers of iniquity are fallen. They are thrust down, and shall not be able to rise.
