[WEB | EN | OT | Psalms | Chapter 57 | Verse 1] Be merciful to me, God, be merciful to me, for my soul takes refuge in you. Yes, in the shadow of your wings, I will take refuge, until disaster has passed.
[WEB | EN | OT | Psalms | Chapter 57 | Verse 2] I cry out to God Most High, to God who accomplishes my requests for me.
[WEB | EN | OT | Psalms | Chapter 57 | Verse 3] He will send from heaven, and save me, he rebukes the one who is pursuing me. Selah. God will send out his loving kindness and his truth.
[WEB | EN | OT | Psalms | Chapter 57 | Verse 4] My soul is among lions. I lie among those who are set on fire, even the sons of men, whose teeth are spears and arrows, and their tongue a sharp sword.
[WEB | EN | OT | Psalms | Chapter 57 | Verse 5] Be exalted, God, above the heavens! Let your glory be above all the earth!
[WEB | EN | OT | Psalms | Chapter 57 | Verse 6] They have prepared a net for my steps. My soul is bowed down. They dig a pit before me. They fall into the middle of it themselves. Selah.
[WEB | EN | OT | Psalms | Chapter 57 | Verse 7] My heart is steadfast, God. My heart is steadfast. I will sing, yes, I will sing praises.
[WEB | EN | OT | Psalms | Chapter 57 | Verse 8] Wake up, my glory! Wake up, lute and harp! I will wake up the dawn.
[WEB | EN | OT | Psalms | Chapter 57 | Verse 9] I will give thanks to you, Lord, among the peoples. I will sing praises to you among the nations.
[WEB | EN | OT | Psalms | Chapter 57 | Verse 10] For your great loving kindness reaches to the heavens, and your truth to the skies.
[WEB | EN | OT | Psalms | Chapter 57 | Verse 11] Be exalted, God, above the heavens. Let your glory be over all the earth.
