[WEB | EN | OT | Psalms | Chapter 145 | Verse 1] I will exalt you, my God, the King. I will praise your name forever and ever.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 2] Every day I will praise you. I will extol your name forever and ever.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 3] Great is the LORD, and greatly to be praised! His greatness is unsearchable.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 4] One generation will commend your works to another, and will declare your mighty acts.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 5] I will meditate on the glorious majesty of your honor, on your wondrous works.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 6] Men will speak of the might of your awesome acts. I will declare your greatness.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 7] They will utter the memory of your great goodness, and will sing of your righteousness.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 8] The LORD is gracious, merciful, slow to anger, and of great loving kindness.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 9] The LORD is good to all. His tender mercies are over all his works.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 10] All your works will give thanks to you, LORD. Your saints will extol you.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 11] They will speak of the glory of your kingdom, and talk about your power,
[WEB | EN | OT | Psalms | Chapter 145 | Verse 12] to make known to the sons of men his mighty acts, the glory of the majesty of his kingdom.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 13] Your kingdom is an everlasting kingdom. Your dominion endures throughout all generations. The LORD is faithful in all his words, and loving in all his deeds.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 14] The LORD upholds all who fall, and raises up all those who are bowed down.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 15] The eyes of all wait for you. You give them their food in due season.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 16] You open your hand, and satisfy the desire of every living thing.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 17] The LORD is righteous in all his ways, and gracious in all his works.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 18] The LORD is near to all those who call on him, to all who call on him in truth.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 19] He will fulfill the desire of those who fear him. He also will hear their cry, and will save them.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 20] The LORD preserves all those who love him, but he will destroy all the wicked.
[WEB | EN | OT | Psalms | Chapter 145 | Verse 21] My mouth will speak the praise of the LORD. Let all flesh bless his holy name forever and ever.
