[WEB | EN | OT | Psalms | Chapter 83 | Verse 1] God, don’t keep silent. Don’t keep silent, and don’t be still, God.
[WEB | EN | OT | Psalms | Chapter 83 | Verse 2] For, behold, your enemies are stirred up. Those who hate you have lifted up their heads.
[WEB | EN | OT | Psalms | Chapter 83 | Verse 3] They conspire with cunning against your people. They plot against your cherished ones.
[WEB | EN | OT | Psalms | Chapter 83 | Verse 4] “Come,” they say, “let’s destroy them as a nation, that the name of Israel may be remembered no more.”
[WEB | EN | OT | Psalms | Chapter 83 | Verse 5] For they have conspired together with one mind. They form an alliance against you.
[WEB | EN | OT | Psalms | Chapter 83 | Verse 6] The tents of Edom and the Ishmaelites; Moab, and the Hagrites;
[WEB | EN | OT | Psalms | Chapter 83 | Verse 7] Gebal, Ammon, and Amalek; Philistia with the inhabitants of Tyre;
[WEB | EN | OT | Psalms | Chapter 83 | Verse 8] Assyria also is joined with them. They have helped the children of Lot. Selah.
[WEB | EN | OT | Psalms | Chapter 83 | Verse 9] Do to them as you did to Midian, as to Sisera, as to Jabin, at the river Kishon;
[WEB | EN | OT | Psalms | Chapter 83 | Verse 10] who perished at Endor, who became as dung for the earth.
[WEB | EN | OT | Psalms | Chapter 83 | Verse 11] Make their nobles like Oreb and Zeeb, yes, all their princes like Zebah and Zalmunna,
[WEB | EN | OT | Psalms | Chapter 83 | Verse 12] who said, “Let’s take possession of God’s pasture lands.”
[WEB | EN | OT | Psalms | Chapter 83 | Verse 13] My God, make them like tumbleweed, like chaff before the wind.
[WEB | EN | OT | Psalms | Chapter 83 | Verse 14] As the fire that burns the forest, as the flame that sets the mountains on fire,
[WEB | EN | OT | Psalms | Chapter 83 | Verse 15] so pursue them with your tempest, and terrify them with your storm.
[WEB | EN | OT | Psalms | Chapter 83 | Verse 16] Fill their faces with confusion, that they may seek your name, LORD.
[WEB | EN | OT | Psalms | Chapter 83 | Verse 17] Let them be disappointed and dismayed forever. Yes, let them be confounded and perish;
[WEB | EN | OT | Psalms | Chapter 83 | Verse 18] that they may know that you alone, whose name is the LORD, are the Most High over all the earth.
