[WEB | EN | OT | Psalms | Chapter 76 | Verse 1] In Judah, God is known. His name is great in Israel.
[WEB | EN | OT | Psalms | Chapter 76 | Verse 2] His tabernacle is also in Salem. His dwelling place in Zion.
[WEB | EN | OT | Psalms | Chapter 76 | Verse 3] There he broke the flaming arrows of the bow, the shield, and the sword, and the weapons of war. Selah.
[WEB | EN | OT | Psalms | Chapter 76 | Verse 4] Glorious are you, and excellent, more than mountains of game.
[WEB | EN | OT | Psalms | Chapter 76 | Verse 5] Valiant men lie plundered, they have slept their last sleep. None of the men of war can lift their hands.
[WEB | EN | OT | Psalms | Chapter 76 | Verse 6] At your rebuke, God of Jacob, both chariot and horse are cast into a dead sleep.
[WEB | EN | OT | Psalms | Chapter 76 | Verse 7] You, even you, are to be feared. Who can stand in your sight when you are angry?
[WEB | EN | OT | Psalms | Chapter 76 | Verse 8] You pronounced judgment from heaven. The earth feared, and was silent,
[WEB | EN | OT | Psalms | Chapter 76 | Verse 9] when God arose to judgment, to save all the afflicted ones of the earth. Selah.
[WEB | EN | OT | Psalms | Chapter 76 | Verse 10] Surely the wrath of man praises you. The survivors of your wrath are restrained.
[WEB | EN | OT | Psalms | Chapter 76 | Verse 11] Make vows to the LORD your God, and fulfill them! Let all of his neighbors bring presents to him who is to be feared.
[WEB | EN | OT | Psalms | Chapter 76 | Verse 12] He will cut off the spirit of princes. He is feared by the kings of the earth.
