[WEB | EN | OT | Psalms | Chapter 144 | Verse 1] Blessed be the LORD, my rock, who trains my hands to war, and my fingers to battle—
[WEB | EN | OT | Psalms | Chapter 144 | Verse 2] my loving kindness, my fortress, my high tower, my deliverer, my shield, and he in whom I take refuge, who subdues my people under me.
[WEB | EN | OT | Psalms | Chapter 144 | Verse 3] LORD, what is man, that you care for him? Or the son of man, that you think of him?
[WEB | EN | OT | Psalms | Chapter 144 | Verse 4] Man is like a breath. His days are like a shadow that passes away.
[WEB | EN | OT | Psalms | Chapter 144 | Verse 5] Part your heavens, LORD, and come down. Touch the mountains, and they will smoke.
[WEB | EN | OT | Psalms | Chapter 144 | Verse 6] Throw out lightning, and scatter them. Send out your arrows, and rout them.
[WEB | EN | OT | Psalms | Chapter 144 | Verse 7] Stretch out your hand from above, rescue me, and deliver me out of great waters, out of the hands of foreigners,
[WEB | EN | OT | Psalms | Chapter 144 | Verse 8] whose mouths speak deceit, whose right hand is a right hand of falsehood.
[WEB | EN | OT | Psalms | Chapter 144 | Verse 9] I will sing a new song to you, God. On a ten-stringed lyre, I will sing praises to you.
[WEB | EN | OT | Psalms | Chapter 144 | Verse 10] You are he who gives salvation to kings, who rescues David, his servant, from the deadly sword.
[WEB | EN | OT | Psalms | Chapter 144 | Verse 11] Rescue me, and deliver me out of the hands of foreigners, whose mouths speak deceit, whose right hand is a right hand of falsehood.
[WEB | EN | OT | Psalms | Chapter 144 | Verse 12] Then our sons will be like well-nurtured plants, our daughters like pillars carved to adorn a palace.
[WEB | EN | OT | Psalms | Chapter 144 | Verse 13] Our barns are full, filled with all kinds of provision. Our sheep produce thousands and ten thousands in our fields.
[WEB | EN | OT | Psalms | Chapter 144 | Verse 14] Our oxen will pull heavy loads. There is no breaking in, and no going away, and no outcry in our streets.
[WEB | EN | OT | Psalms | Chapter 144 | Verse 15] Happy are the people who are in such a situation. Happy are the people whose God is the LORD.
